1787668675.069220, NoOp Chain Depth 6 Size 0 Mode ref, pipeline, prepare, start, 216851991701416
1787668675.069886, NoOp Chain Depth 6 Size 0 Mode ref, pipeline, prepare, end, 216851992146958
1787668675.070475, NoOp Chain Depth 6 Size 0 Mode ref, pipeline - train, run, start, 194420020693331537807148674360726123205, 1787668675.070411, 1, 1, 216851992733791
1787668675.070530, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 0, run, start, 216851992785125
1787668675.070577, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 0, run, end, 216851992831375
1787668675.070599, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 1, run, start, 216851992856500
1787668675.070667, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 1, run, end, 216851992921375
1787668675.070717, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 2, run, start, 216851992973166
1787668675.070782, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 2, run, end, 216851993036791
1787668675.070802, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 3, run, start, 216851993057208
1787668675.070848, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 3, run, end, 216851993101750
1787668675.070867, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 4, run, start, 216851993122041
1787668675.070914, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 4, run, end, 216851993167625
1787668675.070929, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 5, run, start, 216851993183583
1787668675.070988, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 5, run, end, 216851993245500
1787668675.071008, NoOp Chain Depth 6 Size 0 Mode ref, pipeline - train, run, end, 194420020693331537807148674360726123205, 1787668675.070411, 1, 1, 216851993263708
1787668675.071070, NoOp Chain Depth 6 Size 0 Mode ref, pipeline - train, run, start, 8826163498412779236802055077046254055, 1787668675.071055, 2, 1, 216851993324208
1787668675.071101, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 0, run, start, 216851993354791
1787668675.071128, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 0, run, end, 216851993380875
1787668675.071141, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 1, run, start, 216851993394916
1787668675.071181, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 1, run, end, 216851993434291
1787668675.071199, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 2, run, start, 216851993453250
1787668675.071237, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 2, run, end, 216851993490500
1787668675.071250, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 3, run, start, 216851993503458
1787668675.071291, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 3, run, end, 216851993545333
1787668675.071308, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 4, run, start, 216851993563250
1787668675.071350, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 4, run, end, 216851993604041
1787668675.071366, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 5, run, start, 216851993619666
1787668675.071404, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 5, run, end, 216851993657708
1787668675.071417, NoOp Chain Depth 6 Size 0 Mode ref, pipeline - train, run, end, 8826163498412779236802055077046254055, 1787668675.071055, 2, 1, 216851993671000
1787668675.071471, NoOp Chain Depth 6 Size 0 Mode ref, pipeline - train, run, start, 111279627217050359114898254894894834575, 1787668675.071457, 3, 1, 216851993724500
1787668675.071500, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 0, run, start, 216851993753750
1787668675.071525, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 0, run, end, 216851993777916
1787668675.071540, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 1, run, start, 216851993794416
1787668675.071579, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 1, run, end, 216851993833541
1787668675.071593, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 2, run, start, 216851993846458
1787668675.071626, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 2, run, end, 216851993879125
1787668675.071639, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 3, run, start, 216851993892791
1787668675.071680, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 3, run, end, 216851993933666
1787668675.071693, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 4, run, start, 216851993946666
1787668675.071735, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 4, run, end, 216851993988541
1787668675.071748, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 5, run, start, 216851994001291
1787668675.071782, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 5, run, end, 216851994035708
1787668675.071796, NoOp Chain Depth 6 Size 0 Mode ref, pipeline - train, run, end, 111279627217050359114898254894894834575, 1787668675.071457, 3, 1, 216851994050166
1787668675.071852, NoOp Chain Depth 6 Size 0 Mode ref, pipeline - train, run, start, 27585029370979754575956409663091157171, 1787668675.071838, 4, 1, 216851994106125
1787668675.071882, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 0, run, start, 216851994136291
1787668675.071909, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 0, run, end, 216851994162583
1787668675.071922, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 1, run, start, 216851994175791
1787668675.071955, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 1, run, end, 216851994207875
1787668675.071967, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 2, run, start, 216851994220375
1787668675.071998, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 2, run, end, 216851994251625
1787668675.072010, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 3, run, start, 216851994263541
1787668675.072048, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 3, run, end, 216851994302250
1787668675.072062, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 4, run, start, 216851994314791
1787668675.072094, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 4, run, end, 216851994347125
1787668675.072107, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 5, run, start, 216851994360958
1787668675.072140, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 5, run, end, 216851994393291
1787668675.072152, NoOp Chain Depth 6 Size 0 Mode ref, pipeline - train, run, end, 27585029370979754575956409663091157171, 1787668675.071838, 4, 1, 216851994406125
1787668675.072206, NoOp Chain Depth 6 Size 0 Mode ref, pipeline - train, run, start, 86883056792375057018291594626862423560, 1787668675.072191, 5, 1, 216851994460583
1787668675.072237, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 0, run, start, 216851994490875
1787668675.072260, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 0, run, end, 216851994513583
1787668675.072276, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 1, run, start, 216851994530500
1787668675.072316, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 1, run, end, 216851994570250
1787668675.072331, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 2, run, start, 216851994585541
1787668675.072367, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 2, run, end, 216851994620875
1787668675.072380, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 3, run, start, 216851994633750
1787668675.072412, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 3, run, end, 216851994664958
1787668675.072424, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 4, run, start, 216851994678083
1787668675.072459, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 4, run, end, 216851994711958
1787668675.072473, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 5, run, start, 216851994727875
1787668675.072510, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 5, run, end, 216851994763083
1787668675.072522, NoOp Chain Depth 6 Size 0 Mode ref, pipeline - train, run, end, 86883056792375057018291594626862423560, 1787668675.072191, 5, 1, 216851994775375
1787668675.072582, NoOp Chain Depth 6 Size 0 Mode ref, pipeline - train, run, start, 217364827882273334348192472124448501650, 1787668675.072559, 6, 1, 216851994836916
1787668675.072613, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 0, run, start, 216851994866875
1787668675.072637, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 0, run, end, 216851994889916
1787668675.072652, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 1, run, start, 216851994905416
1787668675.072688, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 1, run, end, 216851994942666
1787668675.072702, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 2, run, start, 216851994955166
1787668675.072732, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 2, run, end, 216851994985291
1787668675.072746, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 3, run, start, 216851995000833
1787668675.072783, NoOp Chain Depth 6 Size 0 Mode ref, Ref Stage 3, run, end, 216851995036708
