1787669320.430624, NoOp Chain Depth 9 Size 0 Mode ref, pipeline, prepare, start, 217497351604125
1787669320.432614, NoOp Chain Depth 9 Size 0 Mode ref, pipeline, prepare, end, 217497353288375
1787669320.433067, NoOp Chain Depth 9 Size 0 Mode ref, pipeline - train, run, start, 270358899290132678717205068194409549163, 1787669320.432989, 1, 1, 217497353739041
1787669320.433175, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 0, run, start, 217497353842458
1787669320.433244, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 0, run, end, 217497353910458
1787669320.433311, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 1, run, start, 217497353976625
1787669320.433467, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 1, run, end, 217497354138541
1787669320.433548, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 2, run, start, 217497354219791
1787669320.433658, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 2, run, end, 217497354326916
1787669320.433747, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 3, run, start, 217497354414500
1787669320.433874, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 3, run, end, 217497354544500
1787669320.433975, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 4, run, start, 217497354642208
1787669320.434087, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 4, run, end, 217497354756333
1787669320.434147, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 5, run, start, 217497354813208
1787669320.434226, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 5, run, end, 217497354892291
1787669320.434287, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 6, run, start, 217497354952333
1787669320.434366, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 6, run, end, 217497355033416
1787669320.434417, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 7, run, start, 217497355082291
1787669320.434489, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 7, run, end, 217497355154875
1787669320.434531, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 8, run, start, 217497355200500
1787669320.434641, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 8, run, end, 217497355306125
1787669320.434737, NoOp Chain Depth 9 Size 0 Mode ref, pipeline - train, run, end, 270358899290132678717205068194409549163, 1787669320.432989, 1, 1, 217497355407583
1787669320.434875, NoOp Chain Depth 9 Size 0 Mode ref, pipeline - train, run, start, 309396228299888639984444007108611552634, 1787669320.434840, 2, 1, 217497355542291
1787669320.434945, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 0, run, start, 217497355611333
1787669320.435017, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 0, run, end, 217497355682458
1787669320.435098, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 1, run, start, 217497355765500
1787669320.435166, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 1, run, end, 217497355831166
1787669320.435267, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 2, run, start, 217497355934000
1787669320.435338, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 2, run, end, 217497356003541
1787669320.435372, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 3, run, start, 217497356039166
1787669320.435461, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 3, run, end, 217497356127458
1787669320.435513, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 4, run, start, 217497356179208
1787669320.435583, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 4, run, end, 217497356248208
1787669320.435631, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 5, run, start, 217497356296791
1787669320.435700, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 5, run, end, 217497356365250
1787669320.435757, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 6, run, start, 217497356422958
1787669320.435827, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 6, run, end, 217497356492375
1787669320.435876, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 7, run, start, 217497356542708
1787669320.435948, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 7, run, end, 217497356613416
1787669320.435994, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 8, run, start, 217497356663791
1787669320.436098, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 8, run, end, 217497356768416
1787669320.436136, NoOp Chain Depth 9 Size 0 Mode ref, pipeline - train, run, end, 309396228299888639984444007108611552634, 1787669320.434840, 2, 1, 217497356801791
1787669320.436317, NoOp Chain Depth 9 Size 0 Mode ref, pipeline - train, run, start, 256701602520447088713465037852480185497, 1787669320.436263, 3, 1, 217497356986416
1787669320.436415, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 0, run, start, 217497357085250
1787669320.436511, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 0, run, end, 217497357177500
1787669320.436569, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 1, run, start, 217497357233958
1787669320.436647, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 1, run, end, 217497357313375
1787669320.436727, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 2, run, start, 217497357394000
1787669320.436833, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 2, run, end, 217497357499083
1787669320.436937, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 3, run, start, 217497357602916
1787669320.436987, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 3, run, end, 217497357652458
1787669320.437029, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 4, run, start, 217497357698500
1787669320.437147, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 4, run, end, 217497357813125
1787669320.437225, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 5, run, start, 217497357890375
1787669320.437356, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 5, run, end, 217497358026958
1787669320.437470, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 6, run, start, 217497358137791
1787669320.437544, NoOp Chain Depth 9 Size 0 Mode ref, Ref Stage 6, run, end, 217497358210583
