1787042235.523002, Self-RAG Monolith, pipeline, prepare, start, 343161990844125
1787042235.523247, Self-RAG Monolith, Question dataloader, prepare, start, 343161990966083
1787042237.951592, Self-RAG Monolith, Question dataloader, prepare, end, 343164419364916
1787042237.951685, Self-RAG Monolith, Document retriever, prepare, start, 343164419446416
1787042265.437245, Self-RAG Monolith, Document retriever, prepare, end, 343191905388625
1787042265.437734, Self-RAG Monolith, Monolith formatter, prepare, start, 343191905765416
1787042265.438214, Self-RAG Monolith, Monolith formatter, prepare, end, 343191906243833
1787042265.438412, Self-RAG Monolith, Monolith LLM, prepare, start, 343191906445458
1787042267.580858, Self-RAG Monolith, Monolith LLM, prepare, end, 343194048915125
1787042267.581182, Self-RAG Monolith, Query rewrite formatter, prepare, start, 343194049237583
1787042267.581334, Self-RAG Monolith, Query rewrite formatter, prepare, end, 343194049377583
1787042267.581358, Self-RAG Monolith, Query rewrite LLM, prepare, start, 343194049399833
1787042267.581473, Self-RAG Monolith, Query rewrite LLM, prepare, end, 343194049520666
1787042267.581511, Self-RAG Monolith, pipeline, prepare, end, 343194049556583
1787042267.581920, Self-RAG Monolith, pipeline - val, run, start, 34926024455654475757906505075091297916, 1787042267.581868, 1, 1, 343194049966708
1787042267.581990, Self-RAG Monolith, Question dataloader, run, start, 343194050034708
1787042267.583790, Self-RAG Monolith, Question dataloader, run, end, 343194051833583
1787042267.583844, Self-RAG Monolith, Document retriever, run, start, 343194051886333
1787042268.048441, Self-RAG Monolith, Document retriever, run, end, 343194516514333
1787042268.048566, Self-RAG Monolith, Monolith formatter, run, start, 343194516613458
1787042268.064752, Self-RAG Monolith, Monolith formatter, run, end, 343194532818666
1787042268.064865, Self-RAG Monolith, Monolith LLM, run, start, 343194532916791
1787042268.064995, Self-RAG Monolith, Monolith LLM, first_token, start, 343194533043750
1787042268.562655, Self-RAG Monolith, pipeline - val, run, start, 61508368756699575207786713351211668446, 1787042268.562172, 1, 2, 343195030871583
1787042268.563256, Self-RAG Monolith, Question dataloader, run, start, 343195031330208
1787042268.569458, Self-RAG Monolith, Question dataloader, run, end, 343195037513833
1787042268.569579, Self-RAG Monolith, Document retriever, run, start, 343195037630541
1787042268.644534, Self-RAG Monolith, Document retriever, run, end, 343195112598625
1787042268.644662, Self-RAG Monolith, Monolith formatter, run, start, 343195112714000
1787042268.645025, Self-RAG Monolith, Monolith formatter, run, end, 343195113075458
