1787041789.818848, 3D-UNet KiTS19, pipeline, prepare, start, 342716240061833
1787041789.819061, 3D-UNet KiTS19, KiTS19 case loader, prepare, start, 342716240181125
1787041789.819956, 3D-UNet KiTS19, KiTS19 case loader, prepare, end, 342716241077125
1787041789.819986, 3D-UNet KiTS19, KiTS19 preprocess, prepare, start, 342716241103500
1787041789.820105, 3D-UNet KiTS19, KiTS19 preprocess, prepare, end, 342716241227208
1787041789.820143, 3D-UNet KiTS19, 3D-UNet sliding-window inference, prepare, start, 342716241261208
1787041789.947315, 3D-UNet KiTS19, 3D-UNet sliding-window inference, prepare, end, 342716368443416
1787041789.947521, 3D-UNet KiTS19, pipeline, prepare, end, 342716368648625
1787041789.947876, 3D-UNet KiTS19, pipeline - inference, run, start, 327607403010205397758139662559626042027, 1787041789.947819, 1, 1, 342716368999541
1787041789.948023, 3D-UNet KiTS19, KiTS19 case loader, run, start, 342716369142875
1787041789.948171, 3D-UNet KiTS19, KiTS19 case loader, run, end, 342716369290500
1787041789.948236, 3D-UNet KiTS19, KiTS19 preprocess, run, start, 342716369356458
1787041797.015358, 3D-UNet KiTS19, KiTS19 preprocess, run, end, 342723436447291
1787041797.015560, 3D-UNet KiTS19, 3D-UNet sliding-window inference, run, start, 342723436634041
1787041861.860133, 3D-UNet KiTS19, 3D-UNet sliding-window inference, run, end, 342788281567875
1787041861.861461, 3D-UNet KiTS19, End stage, run, start, 342788282035083
1787041861.865885, 3D-UNet KiTS19, End stage, run, end, 342788286455958
1787041861.865977, 3D-UNet KiTS19, pipeline - inference, run, end, 327607403010205397758139662559626042027, 1787041789.947819, 1, 1, 342788286548458
1787041861.866366, 3D-UNet KiTS19, pipeline - inference, run, start, 154361395768733427614652212183992069634, 1787041861.866185, 1, 2, 342788286941625
1787041861.866551, 3D-UNet KiTS19, KiTS19 case loader, run, start, 342788287120875
1787041861.867161, 3D-UNet KiTS19, KiTS19 case loader, run, end, 342788287731208
1787041861.867270, 3D-UNet KiTS19, KiTS19 preprocess, run, start, 342788287847500
1787041865.756426, 3D-UNet KiTS19, KiTS19 preprocess, run, end, 342792176979583
1787041865.756562, 3D-UNet KiTS19, 3D-UNet sliding-window inference, run, start, 342792177111833
1787041930.457673, 3D-UNet KiTS19, 3D-UNet sliding-window inference, run, end, 342856877879166
1787041930.458859, 3D-UNet KiTS19, End stage, run, start, 342856878910375
1787041930.461598, 3D-UNet KiTS19, End stage, run, end, 342856881644708
1787041930.461657, 3D-UNet KiTS19, pipeline - inference, run, end, 154361395768733427614652212183992069634, 1787041861.866185, 1, 2, 342856881700125
1787041930.462013, 3D-UNet KiTS19, pipeline - inference, run, start, 323097548761036977529800530343729138937, 1787041930.461910, 1, 3, 342856882061583
1787041930.462209, 3D-UNet KiTS19, KiTS19 case loader, run, start, 342856882253791
1787041930.462502, 3D-UNet KiTS19, KiTS19 case loader, run, end, 342856882545125
1787041930.462578, 3D-UNet KiTS19, KiTS19 preprocess, run, start, 342856882624750
1787041941.423292, 3D-UNet KiTS19, KiTS19 preprocess, run, end, 342867843328916
1787041941.423658, 3D-UNet KiTS19, 3D-UNet sliding-window inference, run, start, 342867843624791
1787042081.836086, 3D-UNet KiTS19, 3D-UNet sliding-window inference, run, end, 343008255410958
1787042081.838009, 3D-UNet KiTS19, End stage, run, start, 343008256899333
1787042081.850429, 3D-UNet KiTS19, End stage, run, end, 343008269317208
1787042081.850512, 3D-UNet KiTS19, pipeline - inference, run, end, 323097548761036977529800530343729138937, 1787041930.461910, 1, 3, 343008269399666
1787042081.851074, 3D-UNet KiTS19, pipeline - inference, run, start, 102591998193282237471829539335019656040, 1787042081.850702, 1, 4, 343008269962208
1787042081.851247, 3D-UNet KiTS19, KiTS19 case loader, run, start, 343008270131041
1787042081.851732, 3D-UNet KiTS19, KiTS19 case loader, run, end, 343008270615958
1787042081.851817, 3D-UNet KiTS19, KiTS19 preprocess, run, start, 343008270702750
1787042086.663412, 3D-UNet KiTS19, KiTS19 preprocess, run, end, 343013082275416
1787042086.663581, 3D-UNet KiTS19, 3D-UNet sliding-window inference, run, start, 343013082440666
1787042169.621324, 3D-UNet KiTS19, 3D-UNet sliding-window inference, run, end, 343096074663416
1787042169.622816, 3D-UNet KiTS19, End stage, run, start, 343096076044416
1787042169.626017, 3D-UNet KiTS19, End stage, run, end, 343096079251125
1787042169.626139, 3D-UNet KiTS19, pipeline - inference, run, end, 102591998193282237471829539335019656040, 1787042081.850702, 1, 4, 343096079366041
