1769541867.719176, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline, prepare, start
1769541867.720064, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline, prepare, end
1769541867.720530, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, start, 38640133514089458584439396417302596950, 1769541867.720505, 1, 1
1769541867.720610, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, start
1769541867.720676, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, end
1769541867.720709, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, start
1769541867.720801, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, end
1769541867.720823, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, start
1769541867.720872, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, end
1769541867.720888, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, start
1769541867.720925, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, end
1769541867.720939, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, start
1769541867.720971, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, end
1769541867.720993, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, start
1769541867.721054, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, end
1769541867.721096, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, start
1769541867.721161, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, end
1769541867.721183, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, start
1769541867.721251, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, end
1769541867.721274, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, start
1769541867.721338, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, end
1769541867.721360, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, start
1769541867.721408, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, end
1769541867.721428, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, end, 38640133514089458584439396417302596950, 1769541867.720505, 1, 1
1769541867.721484, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, start, 38640133514089458584439396417302596950, 1769541867.721473, 2, 1
1769541867.721507, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, start
1769541867.721530, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, end
1769541867.721543, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, start
1769541867.721571, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, end
1769541867.721583, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, start
1769541867.721616, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, end
1769541867.721628, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, start
1769541867.721654, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, end
1769541867.721671, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, start
1769541867.721689, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, end
1769541867.721705, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, start
1769541867.721734, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, end
1769541867.721745, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, start
1769541867.721771, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, end
1769541867.721782, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, start
1769541867.721809, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, end
1769541867.721820, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, start
1769541867.721845, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, end
1769541867.721856, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, start
1769541867.721881, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, end
1769541867.721893, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, end, 38640133514089458584439396417302596950, 1769541867.721473, 2, 1
1769541867.721942, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, start, 38640133514089458584439396417302596950, 1769541867.721933, 3, 1
1769541867.721959, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, start
