1769541973.707155, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline, prepare, start
1769541973.708555, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline, prepare, end
1769541973.708968, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, start, 161815928352309592020950170891952969699, 1769541973.708940, 1, 1
1769541973.709050, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, start
1769541973.709106, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, end
1769541973.709155, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, start
1769541973.709235, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, end
1769541973.709280, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, start
1769541973.709355, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, end
1769541973.709374, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, start
1769541973.709422, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, end
1769541973.709443, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, start
1769541973.709503, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, end
1769541973.709533, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, start
1769541973.709600, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, end
1769541973.709618, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, start
1769541973.709661, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, end
1769541973.709676, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, start
1769541973.709709, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, end
1769541973.709722, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, start
1769541973.709752, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, end
1769541973.709764, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, start
1769541973.709792, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, end
1769541973.709805, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, end, 161815928352309592020950170891952969699, 1769541973.708940, 1, 1
1769541973.709879, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, start, 161815928352309592020950170891952969699, 1769541973.709863, 2, 1
1769541973.709910, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, start
1769541973.709942, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, end
1769541973.709963, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, start
1769541973.710005, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, end
1769541973.710029, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, start
1769541973.710088, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, end
1769541973.710102, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, start
1769541973.710131, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, end
1769541973.710143, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, start
1769541973.710168, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, end
1769541973.710179, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, start
1769541973.710204, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, end
1769541973.710215, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, start
1769541973.710261, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, end
1769541973.710286, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, start
1769541973.710343, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, end
1769541973.710357, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, start
1769541973.710382, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, end
1769541973.710398, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, start
1769541973.710445, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, end
1769541973.710468, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, end, 161815928352309592020950170891952969699, 1769541973.709863, 2, 1
1769541973.710548, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, start, 161815928352309592020950170891952969699, 1769541973.710530, 3, 1
1769541973.710574, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, start
1769541973.710591, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, end
1769541973.710603, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, start
1769541973.710628, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, end
1769541973.710642, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, start
1769541973.710689, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, end
1769541973.710704, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, start
1769541973.710727, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, end
1769541973.710739, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, start
1769541973.710762, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, end
1769541973.710773, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, start
1769541973.710799, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, end
1769541973.710811, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, start
1769541973.710833, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, end
1769541973.710845, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, start
1769541973.710869, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, end
1769541973.710881, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, start
1769541973.710903, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, end
