arm	run	rc	seconds	csv_rows
factoid_decomposed_cuda	1	0	802	4182
factoid_decomposed_shared_cuda	1	0	641	4182
factoid_monolith_4b_cuda	1	0	636	2100
factoid_monolith_cuda	1	0	602	2064
multihop_decomposed_cuda	1	0	952	4576
multihop_decomposed_shared_cuda	1	0	891	4592
multihop_monolith_4b_cuda	1	0	797	3450
multihop_monolith_cuda	1	0	970	3288
factoid_decomposed_cuda	2	0	791	4182
factoid_decomposed_shared_cuda	2	0	701	4182
factoid_monolith_4b_cuda	2	0	594	2100
factoid_monolith_cuda	2	0	653	2064
multihop_decomposed_cuda	2	0	984	4576
multihop_decomposed_shared_cuda	2	0	895	4576
multihop_monolith_4b_cuda	2	0	890	3450
multihop_monolith_cuda	2	0	901	3270
factoid_decomposed_cuda	3	0	744	4182
factoid_decomposed_shared_cuda	3	0	706	4182
factoid_monolith_4b_cuda	3	0	707	2100
factoid_monolith_cuda	3	0	648	2064
multihop_decomposed_cuda	3	0	952	4592
multihop_decomposed_shared_cuda	3	0	963	4576
multihop_monolith_4b_cuda	3	0	815	3450
multihop_monolith_cuda	3	0	799	3270
