arm	run	rc	seconds	csv_rows
factoid_decomposed_mlx	1	0	1917	1827
factoid_decomposed_shared_mlx	1	0	1206	3900
factoid_monolith_4b_mlx	1	0	1100	2172
factoid_monolith_mlx	1	0	1153	2262
multihop_decomposed_mlx	1	0	5597	3392
multihop_decomposed_shared_mlx	1	0	5581	4380
multihop_monolith_4b_mlx	1	0	5154	3234
multihop_monolith_mlx	1	0	4957	3666
factoid_decomposed_serial_mlx	1	0	1215	1146
factoid_decomposed_shared_serial_mlx	1	0	451	1146
factoid_monolith_4b_serial_mlx	1	0	256	574
factoid_monolith_serial_mlx	1	0	391	594
multihop_decomposed_serial_mlx	1	0	1177	1246
multihop_decomposed_shared_serial_mlx	1	0	468	1246
multihop_monolith_4b_serial_mlx	1	0	370	914
multihop_monolith_serial_mlx	1	0	688	1094
factoid_decomposed_serial_mlx	2	0	1218	1146
