1787212845.683914, Self-RAG Decomposed, pipeline, prepare, start, 9331911522215300
1787212845.684242, Self-RAG Decomposed, Question dataloader, prepare, start, 9331911522306484
1787212852.085938, Self-RAG Decomposed, Question dataloader, prepare, end, 9331917924022231
1787212852.086006, Self-RAG Decomposed, Document retriever, prepare, start, 9331917924067015
1787212866.163727, Self-RAG Decomposed, Document retriever, prepare, end, 9331932001818164
1787212866.163827, Self-RAG Decomposed, Retrieval grader formatter, prepare, start, 9331932001888004
1787212866.164257, Self-RAG Decomposed, Retrieval grader formatter, prepare, end, 9331932002320151
1787212866.164278, Self-RAG Decomposed, Grader LLM, prepare, start, 9331932002337207
1787212911.320088, Self-RAG Decomposed, Grader LLM, prepare, end, 9331977158167900
1787212911.321569, Self-RAG Decomposed, Answer generator formatter, prepare, start, 9331977159681126
1787212911.322752, Self-RAG Decomposed, Answer generator formatter, prepare, end, 9331977160839133
1787212911.322836, Self-RAG Decomposed, Generator LLM, prepare, start, 9331977160896429
1787212955.895015, Self-RAG Decomposed, Generator LLM, prepare, end, 9332021733095793
1787212955.899139, Self-RAG Decomposed, Hallucination grader formatter, prepare, start, 9332021737238569
1787212955.899853, Self-RAG Decomposed, Hallucination grader formatter, prepare, end, 9332021737932861
1787212955.899994, Self-RAG Decomposed, Hallucination LLM, prepare, start, 9332021738054910
1787213000.048567, Self-RAG Decomposed, Hallucination LLM, prepare, end, 9332065886645780
1787213000.050336, Self-RAG Decomposed, Query rewrite formatter, prepare, start, 9332065888444142
1787213000.051393, Self-RAG Decomposed, Query rewrite formatter, prepare, end, 9332065889483203
1787213000.051475, Self-RAG Decomposed, Query rewrite LLM, prepare, start, 9332065889535156
1787213000.051679, Self-RAG Decomposed, Query rewrite LLM, prepare, end, 9332065889740885
1787213000.051864, Self-RAG Decomposed, pipeline, prepare, end, 9332065890184439
1787213000.054057, Self-RAG Decomposed, pipeline - val, run, start, 258490394820916051052120764685595683222, 1787213000.053938, 1, 1, 9332065892146706
1787213000.054372, Self-RAG Decomposed, Question dataloader, run, start, 9332065892442660
1787213000.054842, Self-RAG Decomposed, Question dataloader, run, end, 9332065892913895
1787213000.055154, Self-RAG Decomposed, Document retriever, run, start, 9332065893228728
1787213000.072688, Self-RAG Decomposed, Document retriever, run, end, 9332065910769530
1787213000.072818, Self-RAG Decomposed, Retrieval grader formatter, run, start, 9332065910900779
1787213000.106502, Self-RAG Decomposed, Retrieval grader formatter, run, end, 9332065944582855
1787213000.106863, Self-RAG Decomposed, Grader LLM, run, start, 9332065944939817
1787213000.111687, Self-RAG Decomposed, Grader LLM, first_token, start, 9332065949770932
1787213000.865882, Self-RAG Decomposed, Grader LLM, first_token, end, 9332066703974296
1787213001.010571, Self-RAG Decomposed, Grader LLM, n_generated_tokens, 4, 9332066848658480
1787213001.011568, Self-RAG Decomposed, Grader LLM, run, end, 9332066849634357
1787213001.011925, Self-RAG Decomposed, Grade router, run, start, 9332066850029815
1787213001.012462, Self-RAG Decomposed, Grade router, run, end, 9332066850541082
1787213001.012871, Self-RAG Decomposed, Answer generator formatter, run, start, 9332066850942908
1787213001.013411, Self-RAG Decomposed, Answer generator formatter, run, end, 9332066851481759
1787213001.013765, Self-RAG Decomposed, Generator LLM, run, start, 9332066851847922
1787213001.018160, Self-RAG Decomposed, Generator LLM, first_token, start, 9332066856243146
1787213001.487642, Self-RAG Decomposed, Generator LLM, first_token, end, 9332067325907958
1787213001.670216, Self-RAG Decomposed, Generator LLM, n_generated_tokens, 4, 9332067508322480
1787213001.671656, Self-RAG Decomposed, Generator LLM, run, end, 9332067509742488
1787213001.671811, Self-RAG Decomposed, Hallucination grader formatter, run, start, 9332067509909464
1787213001.672705, Self-RAG Decomposed, Hallucination grader formatter, run, end, 9332067510788077
1787213001.673020, Self-RAG Decomposed, Hallucination LLM, run, start, 9332067511095487
1787213001.677072, Self-RAG Decomposed, Hallucination LLM, first_token, start, 9332067515147574
1787213002.115985, Self-RAG Decomposed, Hallucination LLM, first_token, end, 9332067954086246
1787213002.246657, Self-RAG Decomposed, Hallucination LLM, n_generated_tokens, 4, 9332068084745870
1787213002.246960, Self-RAG Decomposed, Hallucination LLM, run, end, 9332068085023791
1787213002.247257, Self-RAG Decomposed, Hallucination router, run, start, 9332068085343361
1787213002.248062, Self-RAG Decomposed, Hallucination router, run, end, 9332068086144630
1787213002.248322, Self-RAG Decomposed, End stage, run, start, 9332068086404007
1787213002.248935, Self-RAG Decomposed, End stage, run, end, 9332068087027115
1787213002.249207, Self-RAG Decomposed, pipeline - val, run, end, 258490394820916051052120764685595683222, 1787213000.053938, 1, 1, 9332068087287628
1787213002.508173, Self-RAG Decomposed, pipeline - val, run, start, 49697777238495099199844172323709092291, 1787213002.507644, 1, 2, 9332068346286656
1787213002.509344, Self-RAG Decomposed, Question dataloader, run, start, 9332068347428822
1787213002.509629, Self-RAG Decomposed, Question dataloader, run, end, 9332068347692024
1787213002.510222, Self-RAG Decomposed, Document retriever, run, start, 9332068348308347
1787213002.521209, Self-RAG Decomposed, Document retriever, run, end, 9332068359289560
1787213002.521363, Self-RAG Decomposed, Retrieval grader formatter, run, start, 9332068359456409
1787213002.522441, Self-RAG Decomposed, Retrieval grader formatter, run, end, 9332068360512191
1787213002.522515, Self-RAG Decomposed, Grader LLM, run, start, 9332068360587631
1787213002.525902, Self-RAG Decomposed, Grader LLM, first_token, start, 9332068363968130
1787213003.166317, Self-RAG Decomposed, Grader LLM, first_token, end, 9332069004422051
1787213003.337272, Self-RAG Decomposed, Grader LLM, n_generated_tokens, 4, 9332069175360283
1787213003.338583, Self-RAG Decomposed, Grader LLM, run, end, 9332069176675250
1787213003.338986, Self-RAG Decomposed, Grade router, run, start, 9332069177073636
1787213003.339288, Self-RAG Decomposed, Grade router, run, end, 9332069177355894
1787213003.339775, Self-RAG Decomposed, Answer generator formatter, run, start, 9332069177843849
1787213003.340270, Self-RAG Decomposed, Answer generator formatter, run, end, 9332069178338891
1787213003.340624, Self-RAG Decomposed, Generator LLM, run, start, 9332069178721581
1787213003.344388, Self-RAG Decomposed, Generator LLM, first_token, start, 9332069182459810
1787213004.011428, Self-RAG Decomposed, Generator LLM, first_token, end, 9332069849675285
1787213004.174450, Self-RAG Decomposed, Generator LLM, n_generated_tokens, 4, 9332070012538462
1787213004.174797, Self-RAG Decomposed, Generator LLM, run, end, 9332070012863184
1787213004.174898, Self-RAG Decomposed, Hallucination grader formatter, run, start, 9332070012978768
1787213004.175635, Self-RAG Decomposed, Hallucination grader formatter, run, end, 9332070013706084
1787213004.175731, Self-RAG Decomposed, Hallucination LLM, run, start, 9332070013800005
1787213004.180335, Self-RAG Decomposed, Hallucination LLM, first_token, start, 9332070018431791
1787213004.814084, Self-RAG Decomposed, Hallucination LLM, first_token, end, 9332070652259620
1787213004.968961, Self-RAG Decomposed, Hallucination LLM, n_generated_tokens, 4, 9332070807044448
1787213004.969814, Self-RAG Decomposed, Hallucination LLM, run, end, 9332070807888597
1787213004.970222, Self-RAG Decomposed, Hallucination router, run, start, 9332070808308792
1787213004.970530, Self-RAG Decomposed, Hallucination router, run, end, 9332070808598681
1787213004.970918, Self-RAG Decomposed, End stage, run, start, 9332070808997787
1787213004.971380, Self-RAG Decomposed, End stage, run, end, 9332070809450414
