1787219927.379342, Self-RAG Decomposed-Shared, pipeline, prepare, start, 9338993217640342
1787219927.379668, Self-RAG Decomposed-Shared, Question dataloader, prepare, start, 9338993217734246
1787219933.808836, Self-RAG Decomposed-Shared, Question dataloader, prepare, end, 9338999646908286
1787219933.808893, Self-RAG Decomposed-Shared, Document retriever, prepare, start, 9338999646954254
1787219948.112390, Self-RAG Decomposed-Shared, Document retriever, prepare, end, 9339013950481048
1787219948.112491, Self-RAG Decomposed-Shared, Retrieval grader formatter, prepare, start, 9339013950552696
1787219948.112872, Self-RAG Decomposed-Shared, Retrieval grader formatter, prepare, end, 9339013950935226
1787219948.112890, Self-RAG Decomposed-Shared, Shared LLM (grade), prepare, start, 9339013950949450
1787219996.449556, Self-RAG Decomposed-Shared, Shared LLM (grade), prepare, end, 9339062287636834
1787219996.450868, Self-RAG Decomposed-Shared, Answer generator formatter, prepare, start, 9339062288975142
1787219996.462508, Self-RAG Decomposed-Shared, Answer generator formatter, prepare, end, 9339062300620922
1787219996.462665, Self-RAG Decomposed-Shared, Shared LLM (generate), prepare, start, 9339062300726027
1787219996.463313, Self-RAG Decomposed-Shared, Shared LLM (generate), prepare, end, 9339062301398605
1787219996.463393, Self-RAG Decomposed-Shared, Hallucination grader formatter, prepare, start, 9339062301454317
1787219996.464207, Self-RAG Decomposed-Shared, Hallucination grader formatter, prepare, end, 9339062302295968
1787219996.464299, Self-RAG Decomposed-Shared, Shared LLM (hallucination), prepare, start, 9339062302359776
1787219996.464624, Self-RAG Decomposed-Shared, Shared LLM (hallucination), prepare, end, 9339062302685809
1787219996.464786, Self-RAG Decomposed-Shared, Query rewrite formatter, prepare, start, 9339062302846913
1787219996.464921, Self-RAG Decomposed-Shared, Query rewrite formatter, prepare, end, 9339062302982162
1787219996.464934, Self-RAG Decomposed-Shared, Shared LLM (rewrite), prepare, start, 9339062302993874
1787219996.465076, Self-RAG Decomposed-Shared, Shared LLM (rewrite), prepare, end, 9339062303136530
1787219996.465236, Self-RAG Decomposed-Shared, pipeline, prepare, end, 9339062303682852
1787219996.466495, Self-RAG Decomposed-Shared, pipeline - val, run, start, 195119969698281020765454133128331800692, 1787219996.466334, 1, 1, 9339062304574599
1787219996.466738, Self-RAG Decomposed-Shared, Question dataloader, run, start, 9339062304816407
1787219996.467205, Self-RAG Decomposed-Shared, Question dataloader, run, end, 9339062305279593
1787219996.467403, Self-RAG Decomposed-Shared, Document retriever, run, start, 9339062305481834
1787219996.498789, Self-RAG Decomposed-Shared, Document retriever, run, end, 9339062336882412
1787219996.499105, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, start, 9339062337177661
1787219996.515723, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, end, 9339062353801809
1787219996.516518, Self-RAG Decomposed-Shared, Shared LLM (grade), run, start, 9339062354606404
1787219996.520125, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, start, 9339062358218559
1787219996.810985, Self-RAG Decomposed-Shared, pipeline - val, run, start, 304860242250600653481429581756893781505, 1787219996.810548, 1, 2, 9339062649076577
1787219996.811481, Self-RAG Decomposed-Shared, Question dataloader, run, start, 9339062649572626
1787219996.811908, Self-RAG Decomposed-Shared, Question dataloader, run, end, 9339062649977987
1787219996.812239, Self-RAG Decomposed-Shared, Document retriever, run, start, 9339062650312628
1787219996.839336, Self-RAG Decomposed-Shared, Document retriever, run, end, 9339062677413898
1787219996.839495, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, start, 9339062677565946
1787219996.840193, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, end, 9339062678257676
1787219997.277784, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, end, 9339063115880442
1787219997.412274, Self-RAG Decomposed-Shared, Shared LLM (grade), n_generated_tokens, 4, 9339063250360385
1787219997.413604, Self-RAG Decomposed-Shared, Shared LLM (grade), run, end, 9339063251697877
