1787226991.377756, Self-RAG Monolith 4B, pipeline, prepare, start, 9346057216095135
1787226991.378325, Self-RAG Monolith 4B, Question dataloader, prepare, start, 9346057216392288
1787226992.788893, Self-RAG Monolith 4B, Question dataloader, prepare, end, 9346058626966409
1787226992.788955, Self-RAG Monolith 4B, Document retriever, prepare, start, 9346058627016089
1787227006.914327, Self-RAG Monolith 4B, Document retriever, prepare, end, 9346072752418331
1787227006.914433, Self-RAG Monolith 4B, Monolith formatter, prepare, start, 9346072752497564
1787227006.914797, Self-RAG Monolith 4B, Monolith formatter, prepare, end, 9346072752860125
1787227006.914816, Self-RAG Monolith 4B, Monolith LLM, prepare, start, 9346072752876349
1787227052.334717, Self-RAG Monolith 4B, Monolith LLM, prepare, end, 9346118172796215
1787227052.336213, Self-RAG Monolith 4B, Query rewrite formatter, prepare, start, 9346118174313420
1787227052.336670, Self-RAG Monolith 4B, Query rewrite formatter, prepare, end, 9346118174748029
1787227052.336734, Self-RAG Monolith 4B, Query rewrite LLM, prepare, start, 9346118174794605
1787227052.336989, Self-RAG Monolith 4B, Query rewrite LLM, prepare, end, 9346118175051262
1787227052.337023, Self-RAG Monolith 4B, pipeline, prepare, end, 9346118175324847
1787227052.338458, Self-RAG Monolith 4B, pipeline - val, run, start, 117947583905056533707081407201611497295, 1787227052.338364, 1, 1, 9346118176549058
1787227052.338775, Self-RAG Monolith 4B, Question dataloader, run, start, 9346118176851235
1787227052.339224, Self-RAG Monolith 4B, Question dataloader, run, end, 9346118177296997
1787227052.339379, Self-RAG Monolith 4B, Document retriever, run, start, 9346118177454277
1787227052.369530, Self-RAG Monolith 4B, Document retriever, run, end, 9346118207612782
1787227052.369631, Self-RAG Monolith 4B, Monolith formatter, run, start, 9346118207703998
1787227052.385878, Self-RAG Monolith 4B, Monolith formatter, run, end, 9346118223946222
1787227052.385996, Self-RAG Monolith 4B, Monolith LLM, run, start, 9346118224068654
1787227052.390524, Self-RAG Monolith 4B, Monolith LLM, first_token, start, 9346118228637420
1787227053.234998, Self-RAG Monolith 4B, Monolith LLM, first_token, end, 9346119073090143
1787227054.384050, Self-RAG Monolith 4B, Monolith LLM, n_generated_tokens, 26, 9346120222135633
1787227054.384550, Self-RAG Monolith 4B, Monolith LLM, run, end, 9346120222613907
1787227054.384676, Self-RAG Monolith 4B, Monolith router, run, start, 9346120222773667
1787227054.395974, Self-RAG Monolith 4B, Monolith router, run, end, 9346120234062724
1787227054.396760, Self-RAG Monolith 4B, End stage, run, start, 9346120234858839
1787227054.397498, Self-RAG Monolith 4B, End stage, run, end, 9346120235576857
1787227054.397726, Self-RAG Monolith 4B, pipeline - val, run, end, 117947583905056533707081407201611497295, 1787227052.338364, 1, 1, 9346120235803273
1787227054.738729, Self-RAG Monolith 4B, pipeline - val, run, start, 326391646514956823094602695858470588587, 1787227054.738400, 1, 2, 9346120576859844
1787227054.739370, Self-RAG Monolith 4B, Question dataloader, run, start, 9346120577446518
1787227054.739745, Self-RAG Monolith 4B, Question dataloader, run, end, 9346120577815719
1787227054.739875, Self-RAG Monolith 4B, Document retriever, run, start, 9346120577949239
1787227054.760329, Self-RAG Monolith 4B, Document retriever, run, end, 9346120598409475
1787227054.760422, Self-RAG Monolith 4B, Monolith formatter, run, start, 9346120598495140
1787227054.760879, Self-RAG Monolith 4B, Monolith formatter, run, end, 9346120598941525
1787227054.760989, Self-RAG Monolith 4B, Monolith LLM, run, start, 9346120599076501
1787227054.764618, Self-RAG Monolith 4B, Monolith LLM, first_token, start, 9346120602683936
1787227054.772431, Self-RAG Monolith 4B, pipeline - val, run, start, 82437326995190958542474262615277908249, 1787227054.772325, 1, 3, 9346120610517655
1787227054.772922, Self-RAG Monolith 4B, Question dataloader, run, start, 9346120611022121
1787227054.773489, Self-RAG Monolith 4B, Question dataloader, run, end, 9346120611559450
1787227054.773744, Self-RAG Monolith 4B, Document retriever, run, start, 9346120611820107
1787227054.811615, Self-RAG Monolith 4B, Document retriever, run, end, 9346120649693034
1787227054.811786, Self-RAG Monolith 4B, Monolith formatter, run, start, 9346120649860763
1787227054.812356, Self-RAG Monolith 4B, Monolith formatter, run, end, 9346120650419468
1787227055.491582, Self-RAG Monolith 4B, Monolith LLM, first_token, end, 9346121329685386
1787227055.969782, Self-RAG Monolith 4B, pipeline - val, run, start, 207563068437711556301905786953794629389, 1787227055.969506, 1, 4, 9346121807875192
1787227055.970250, Self-RAG Monolith 4B, Question dataloader, run, start, 9346121808327529
1787227055.971082, Self-RAG Monolith 4B, Question dataloader, run, end, 9346121809153820
1787227055.971229, Self-RAG Monolith 4B, Document retriever, run, start, 9346121809307692
1787227056.001288, Self-RAG Monolith 4B, Document retriever, run, end, 9346121839375460
1787227056.001497, Self-RAG Monolith 4B, Monolith formatter, run, start, 9346121839570853
1787227056.001962, Self-RAG Monolith 4B, Monolith formatter, run, end, 9346121840025846
1787227056.776000, Self-RAG Monolith 4B, Monolith LLM, n_generated_tokens, 26, 9346122614092106
1787227056.776762, Self-RAG Monolith 4B, Monolith LLM, run, end, 9346122614837644
1787227056.776833, Self-RAG Monolith 4B, Monolith LLM, run, start, 9346122614893869
1787227056.777456, Self-RAG Monolith 4B, Monolith router, run, start, 9346122615532558
1787227056.777621, Self-RAG Monolith 4B, Monolith router, run, end, 9346122615689519
1787227056.777749, Self-RAG Monolith 4B, End stage, run, start, 9346122615823871
1787227056.778238, Self-RAG Monolith 4B, End stage, run, end, 9346122616306625
1787227056.778915, Self-RAG Monolith 4B, pipeline - val, run, end, 326391646514956823094602695858470588587, 1787227054.738400, 1, 2, 9346122616994227
1787227056.779176, Self-RAG Monolith 4B, Monolith LLM, first_token, start, 9346122617249940
1787227057.187186, Self-RAG Monolith 4B, Monolith LLM, first_token, end, 9346123025292531
1787227058.356696, Self-RAG Monolith 4B, Monolith LLM, n_generated_tokens, 24, 9346124194781202
1787227058.357234, Self-RAG Monolith 4B, Monolith LLM, run, end, 9346124195310675
1787227058.357431, Self-RAG Monolith 4B, Monolith router, run, start, 9346124195511956
1787227058.357491, Self-RAG Monolith 4B, Monolith LLM, run, start, 9346124195553940
1787227058.357991, Self-RAG Monolith 4B, Monolith router, run, end, 9346124196060454
1787227058.358113, Self-RAG Monolith 4B, Query rewrite formatter, run, start, 9346124196190582
1787227058.358751, Self-RAG Monolith 4B, Query rewrite formatter, run, end, 9346124196824952
1787227058.358847, Self-RAG Monolith 4B, Query rewrite LLM, run, start, 9346124196915384
1787227058.360640, Self-RAG Monolith 4B, Monolith LLM, first_token, start, 9346124198711437
1787227058.919398, Self-RAG Monolith 4B, Monolith LLM, first_token, end, 9346124757530536
1787227060.173291, Self-RAG Monolith 4B, Monolith LLM, n_generated_tokens, 28, 9346126011377343
1787227060.173387, Self-RAG Monolith 4B, Query rewrite LLM, first_token, start, 9346126011470303
1787227060.174791, Self-RAG Monolith 4B, Monolith LLM, run, end, 9346126012864179
1787227060.174961, Self-RAG Monolith 4B, Monolith router, run, start, 9346126013038868
1787227060.175697, Self-RAG Monolith 4B, Monolith router, run, end, 9346126013768566
1787227060.175982, Self-RAG Monolith 4B, End stage, run, start, 9346126014053191
1787227060.176614, Self-RAG Monolith 4B, End stage, run, end, 9346126014687128
1787227060.176878, Self-RAG Monolith 4B, pipeline - val, run, end, 207563068437711556301905786953794629389, 1787227055.969506, 1, 4, 9346126014957945
1787227060.501175, Self-RAG Monolith 4B, Query rewrite LLM, first_token, end, 9346126339286739
1787227060.978990, Self-RAG Monolith 4B, Query rewrite LLM, n_generated_tokens, 12, 9346126817079104
1787227060.979277, Self-RAG Monolith 4B, Query rewrite LLM, run, end, 9346126817341824
1787227060.979621, Self-RAG Monolith 4B, Document retriever, run, start, 9346126817711057
1787227061.000142, Self-RAG Monolith 4B, Document retriever, run, end, 9346126838226686
1787227061.000244, Self-RAG Monolith 4B, Monolith formatter, run, start, 9346126838316702
