1787221218.090971, Self-RAG Monolith, pipeline, prepare, start, 9340283929285306
1787221218.091743, Self-RAG Monolith, Question dataloader, prepare, start, 9340283929809580
1787221219.546593, Self-RAG Monolith, Question dataloader, prepare, end, 9340285384665680
1787221219.546645, Self-RAG Monolith, Document retriever, prepare, start, 9340285384706544
1787221233.814076, Self-RAG Monolith, Document retriever, prepare, end, 9340299652181713
1787221233.814228, Self-RAG Monolith, Monolith formatter, prepare, start, 9340299652296161
1787221233.814726, Self-RAG Monolith, Monolith formatter, prepare, end, 9340299652797762
1787221233.814777, Self-RAG Monolith, Monolith LLM, prepare, start, 9340299652841763
1787221309.636170, Self-RAG Monolith, Monolith LLM, prepare, end, 9340375474250268
1787221309.638724, Self-RAG Monolith, Query rewrite formatter, prepare, start, 9340375476833827
1787221309.639859, Self-RAG Monolith, Query rewrite formatter, prepare, end, 9340375477947974
1787221309.639956, Self-RAG Monolith, Query rewrite LLM, prepare, start, 9340375478016919
1787221309.640718, Self-RAG Monolith, Query rewrite LLM, prepare, end, 9340375478804409
1787221309.640801, Self-RAG Monolith, pipeline, prepare, end, 9340375479149242
1787221309.643588, Self-RAG Monolith, pipeline - val, run, start, 206403960533493724560810239445920425701, 1787221309.643492, 1, 1, 9340375481668033
1787221309.643841, Self-RAG Monolith, Question dataloader, run, start, 9340375481930433
1787221309.644375, Self-RAG Monolith, Question dataloader, run, end, 9340375482447587
1787221309.644650, Self-RAG Monolith, Document retriever, run, start, 9340375482727572
1787221309.677157, Self-RAG Monolith, Document retriever, run, end, 9340375515245421
1787221309.677323, Self-RAG Monolith, Monolith formatter, run, start, 9340375515415469
1787221309.710972, Self-RAG Monolith, Monolith formatter, run, end, 9340375549048089
1787221309.711258, Self-RAG Monolith, Monolith LLM, run, start, 9340375549333034
1787221309.716044, Self-RAG Monolith, Monolith LLM, first_token, start, 9340375554118903
1787221309.798929, Self-RAG Monolith, pipeline - val, run, start, 184232422385866626558245817073391071571, 1787221309.798608, 1, 2, 9340375637029242
1787221309.799813, Self-RAG Monolith, Question dataloader, run, start, 9340375637904412
1787221309.800257, Self-RAG Monolith, Question dataloader, run, end, 9340375638326733
1787221309.800544, Self-RAG Monolith, Document retriever, run, start, 9340375638618286
1787221309.820189, Self-RAG Monolith, Document retriever, run, end, 9340375658282468
1787221309.820361, Self-RAG Monolith, Monolith formatter, run, start, 9340375658453044
1787221309.821039, Self-RAG Monolith, Monolith formatter, run, end, 9340375659110934
1787221310.718775, Self-RAG Monolith, Monolith LLM, first_token, end, 9340376556868108
1787221312.526874, Self-RAG Monolith, Monolith LLM, n_generated_tokens, 32, 9340378364964460
1787221312.527279, Self-RAG Monolith, Monolith LLM, run, end, 9340378365344381
1787221312.527550, Self-RAG Monolith, Monolith router, run, start, 9340378365625997
1787221312.537216, Self-RAG Monolith, Monolith LLM, run, start, 9340378375316680
1787221312.538580, Self-RAG Monolith, Monolith router, run, end, 9340378376658876
1787221312.539403, Self-RAG Monolith, End stage, run, start, 9340378377502254
1787221312.539821, Self-RAG Monolith, End stage, run, end, 9340378377891183
1787221312.540287, Self-RAG Monolith, pipeline - val, run, end, 206403960533493724560810239445920425701, 1787221309.643492, 1, 1, 9340378378356720
1787221312.542778, Self-RAG Monolith, Monolith LLM, first_token, start, 9340378380864871
1787221313.306175, Self-RAG Monolith, pipeline - val, run, start, 6845398520189896373049764336987830560, 1787221313.304714, 1, 3, 9340379144417983
1787221313.307893, Self-RAG Monolith, Question dataloader, run, start, 9340379146032515
1787221313.308905, Self-RAG Monolith, Question dataloader, run, end, 9340379146975926
1787221313.309070, Self-RAG Monolith, Document retriever, run, start, 9340379147146534
1787221313.366021, Self-RAG Monolith, Document retriever, run, end, 9340379204107650
1787221313.366256, Self-RAG Monolith, Monolith formatter, run, start, 9340379204347939
1787221313.366982, Self-RAG Monolith, Monolith formatter, run, end, 9340379205052405
1787221313.535198, Self-RAG Monolith, Monolith LLM, first_token, end, 9340379373300337
1787221314.744205, Self-RAG Monolith, pipeline - val, run, start, 98664588164334364714891912076113086690, 1787221314.743818, 1, 4, 9340380582321723
1787221314.744912, Self-RAG Monolith, Question dataloader, run, start, 9340380582998157
1787221314.745395, Self-RAG Monolith, Question dataloader, run, end, 9340380583466910
1787221314.745773, Self-RAG Monolith, Document retriever, run, start, 9340380583845359
1787221314.756896, Self-RAG Monolith, Document retriever, run, end, 9340380594984654
1787221314.757129, Self-RAG Monolith, Monolith formatter, run, start, 9340380595211502
1787221314.757650, Self-RAG Monolith, Monolith formatter, run, end, 9340380595719632
1787221315.453255, Self-RAG Monolith, Monolith LLM, n_generated_tokens, 32, 9340381291343934
1787221315.453616, Self-RAG Monolith, Monolith LLM, run, end, 9340381291680095
1787221315.453652, Self-RAG Monolith, Monolith LLM, run, start, 9340381291712591
1787221315.453783, Self-RAG Monolith, Monolith router, run, start, 9340381291853007
