1787228350.907767, Self-RAG Decomposed (multi-hop), pipeline, prepare, start, 9347416746080568
1787228350.908112, Self-RAG Decomposed (multi-hop), Question dataloader, prepare, start, 9347416746175609
1787228352.281631, Self-RAG Decomposed (multi-hop), Question dataloader, prepare, end, 9347418119703929
1787228352.281686, Self-RAG Decomposed (multi-hop), Document retriever, prepare, start, 9347418119747289
1787228369.154019, Self-RAG Decomposed (multi-hop), Document retriever, prepare, end, 9347434992112681
1787228369.154128, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, prepare, start, 9347434992192489
1787228369.154478, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, prepare, end, 9347434992540410
1787228369.154496, Self-RAG Decomposed (multi-hop), Grader LLM, prepare, start, 9347434992555514
1787228414.690002, Self-RAG Decomposed (multi-hop), Grader LLM, prepare, end, 9347480528084067
1787228414.690771, Self-RAG Decomposed (multi-hop), Answer generator formatter, prepare, start, 9347480528869782
1787228414.691459, Self-RAG Decomposed (multi-hop), Answer generator formatter, prepare, end, 9347480529538679
1787228414.691701, Self-RAG Decomposed (multi-hop), Generator LLM, prepare, start, 9347480529778248
1787228458.484806, Self-RAG Decomposed (multi-hop), Generator LLM, prepare, end, 9347524322887064
1787228458.484884, Self-RAG Decomposed (multi-hop), Hallucination grader formatter, prepare, start, 9347524322945385
1787228458.485461, Self-RAG Decomposed (multi-hop), Hallucination grader formatter, prepare, end, 9347524323544970
1787228458.485538, Self-RAG Decomposed (multi-hop), Hallucination LLM, prepare, start, 9347524323599115
1787228502.481246, Self-RAG Decomposed (multi-hop), Hallucination LLM, prepare, end, 9347568319327241
1787228502.482572, Self-RAG Decomposed (multi-hop), Query rewrite formatter, prepare, start, 9347568320686333
1787228502.484032, Self-RAG Decomposed (multi-hop), Query rewrite formatter, prepare, end, 9347568322121281
1787228502.484125, Self-RAG Decomposed (multi-hop), Query rewrite LLM, prepare, start, 9347568322185649
1787228502.484783, Self-RAG Decomposed (multi-hop), Query rewrite LLM, prepare, end, 9347568322869523
1787228502.485458, Self-RAG Decomposed (multi-hop), pipeline, prepare, end, 9347568323829302
1787228502.487222, Self-RAG Decomposed (multi-hop), pipeline - val, run, start, 22862610310856272011553288674421496222, 1787228502.487080, 1, 1, 9347568325308282
1787228502.487520, Self-RAG Decomposed (multi-hop), Question dataloader, run, start, 9347568325590427
1787228502.487952, Self-RAG Decomposed (multi-hop), Question dataloader, run, end, 9347568326015693
1787228502.488084, Self-RAG Decomposed (multi-hop), Document retriever, run, start, 9347568326160541
1787228502.565057, Self-RAG Decomposed (multi-hop), Document retriever, run, end, 9347568403151149
1787228502.565182, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, start, 9347568403254445
1787228502.582584, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, end, 9347568420652720
1787228502.583541, Self-RAG Decomposed (multi-hop), Grader LLM, run, start, 9347568421634227
1787228502.587330, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, start, 9347568425404398
1787228503.252657, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, end, 9347569090752799
1787228503.393493, Self-RAG Decomposed (multi-hop), Grader LLM, n_generated_tokens, 4, 9347569231581929
1787228503.393868, Self-RAG Decomposed (multi-hop), Grader LLM, run, end, 9347569231933786
1787228503.394248, Self-RAG Decomposed (multi-hop), Grade router, run, start, 9347569232333211
1787228503.394459, Self-RAG Decomposed (multi-hop), Grade router, run, end, 9347569232521196
1787228503.394686, Self-RAG Decomposed (multi-hop), Query rewrite formatter, run, start, 9347569232770509
1787228503.395393, Self-RAG Decomposed (multi-hop), Query rewrite formatter, run, end, 9347569233462735
1787228503.396015, Self-RAG Decomposed (multi-hop), Query rewrite LLM, run, start, 9347569234108592
1787228503.399209, Self-RAG Decomposed (multi-hop), Query rewrite LLM, first_token, start, 9347569237283514
1787228503.775896, Self-RAG Decomposed (multi-hop), Query rewrite LLM, first_token, end, 9347569614020435
1787228504.091313, Self-RAG Decomposed (multi-hop), Query rewrite LLM, n_generated_tokens, 7, 9347569929401945
1787228504.093341, Self-RAG Decomposed (multi-hop), Query rewrite LLM, run, end, 9347569931424927
1787228504.093484, Self-RAG Decomposed (multi-hop), Document retriever, run, start, 9347569931563887
1787228504.115622, Self-RAG Decomposed (multi-hop), Document retriever, run, end, 9347569953708960
1787228504.115725, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, start, 9347569953798752
1787228504.116376, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, end, 9347569954438866
1787228504.116508, Self-RAG Decomposed (multi-hop), Grader LLM, run, start, 9347569954581410
1787228504.119051, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, start, 9347569957131658
1787228504.601572, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, end, 9347570439675238
1787228504.759138, Self-RAG Decomposed (multi-hop), Grader LLM, n_generated_tokens, 4, 9347570597223569
1787228504.759457, Self-RAG Decomposed (multi-hop), Grader LLM, run, end, 9347570597522978
1787228504.759767, Self-RAG Decomposed (multi-hop), Grade router, run, start, 9347570597846499
1787228504.759936, Self-RAG Decomposed (multi-hop), Grade router, run, end, 9347570597998276
1787228504.760077, Self-RAG Decomposed (multi-hop), Query rewrite formatter, run, start, 9347570598157108
1787228504.761129, Self-RAG Decomposed (multi-hop), Query rewrite formatter, run, end, 9347570599206327
1787228504.761214, Self-RAG Decomposed (multi-hop), Query rewrite LLM, run, start, 9347570599276919
1787228504.763423, Self-RAG Decomposed (multi-hop), Query rewrite LLM, first_token, start, 9347570601492094
1787228505.185016, Self-RAG Decomposed (multi-hop), Query rewrite LLM, first_token, end, 9347571023161449
1787228505.211081, Self-RAG Decomposed (multi-hop), pipeline - val, run, start, 173157268366823760596647340555369896646, 1787228505.210444, 1, 2, 9347571049172836
1787228505.211551, Self-RAG Decomposed (multi-hop), Question dataloader, run, start, 9347571049623062
1787228505.212163, Self-RAG Decomposed (multi-hop), Question dataloader, run, end, 9347571050235624
1787228505.212734, Self-RAG Decomposed (multi-hop), Document retriever, run, start, 9347571050817817
1787228505.245693, Self-RAG Decomposed (multi-hop), Document retriever, run, end, 9347571083781369
