1787216478.225523, Self-RAG Decomposed-Shared (multi-hop), pipeline, prepare, start, 9335544064014098
1787216478.226063, Self-RAG Decomposed-Shared (multi-hop), Question dataloader, prepare, start, 9335544064126866
1787216489.610008, Self-RAG Decomposed-Shared (multi-hop), Question dataloader, prepare, end, 9335555448080572
1787216489.610063, Self-RAG Decomposed-Shared (multi-hop), Document retriever, prepare, start, 9335555448124060
1787216506.378961, Self-RAG Decomposed-Shared (multi-hop), Document retriever, prepare, end, 9335572217057498
1787216506.379075, Self-RAG Decomposed-Shared (multi-hop), Retrieval grader formatter, prepare, start, 9335572217137899
1787216506.379496, Self-RAG Decomposed-Shared (multi-hop), Retrieval grader formatter, prepare, end, 9335572217559660
1787216506.379515, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), prepare, start, 9335572217574908
1787216550.410166, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), prepare, end, 9335616248247438
1787216550.411143, Self-RAG Decomposed-Shared (multi-hop), Answer generator formatter, prepare, start, 9335616249245808
1787216550.411725, Self-RAG Decomposed-Shared (multi-hop), Answer generator formatter, prepare, end, 9335616249800866
1787216550.411784, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (generate), prepare, start, 9335616249844722
1787216550.412763, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (generate), prepare, end, 9335616250841269
1787216550.412833, Self-RAG Decomposed-Shared (multi-hop), Hallucination grader formatter, prepare, start, 9335616250895077
1787216550.413617, Self-RAG Decomposed-Shared (multi-hop), Hallucination grader formatter, prepare, end, 9335616251678327
1787216550.413632, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (hallucination), prepare, start, 9335616251691815
1787216550.414646, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (hallucination), prepare, end, 9335616252708378
1787216550.414831, Self-RAG Decomposed-Shared (multi-hop), Query rewrite formatter, prepare, start, 9335616252892858
1787216550.414968, Self-RAG Decomposed-Shared (multi-hop), Query rewrite formatter, prepare, end, 9335616253029483
1787216550.414982, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (rewrite), prepare, start, 9335616253041899
1787216550.415116, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (rewrite), prepare, end, 9335616253177739
1787216550.415262, Self-RAG Decomposed-Shared (multi-hop), pipeline, prepare, end, 9335616253669069
1787216550.416553, Self-RAG Decomposed-Shared (multi-hop), pipeline - val, run, start, 302511737295446830479948439158215478882, 1787216550.416462, 1, 1, 9335616254642767
1787216550.416855, Self-RAG Decomposed-Shared (multi-hop), Question dataloader, run, start, 9335616254925360
1787216550.417426, Self-RAG Decomposed-Shared (multi-hop), Question dataloader, run, end, 9335616255496194
1787216550.417578, Self-RAG Decomposed-Shared (multi-hop), Document retriever, run, start, 9335616255653282
1787216550.476333, Self-RAG Decomposed-Shared (multi-hop), Document retriever, run, end, 9335616314417252
1787216550.476524, Self-RAG Decomposed-Shared (multi-hop), Retrieval grader formatter, run, start, 9335616314624821
1787216550.512213, Self-RAG Decomposed-Shared (multi-hop), Retrieval grader formatter, run, end, 9335616350300824
1787216550.512498, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), run, start, 9335616350571272
