1787231076.877557, Self-RAG Monolith (multi-hop), pipeline, prepare, start, 9350142715890829
1787231076.878088, Self-RAG Monolith (multi-hop), Question dataloader, prepare, start, 9350142716152493
1787231078.192167, Self-RAG Monolith (multi-hop), Question dataloader, prepare, end, 9350144030241008
1787231078.192225, Self-RAG Monolith (multi-hop), Document retriever, prepare, start, 9350144030286112
1787231095.325732, Self-RAG Monolith (multi-hop), Document retriever, prepare, end, 9350161163826805
1787231095.325842, Self-RAG Monolith (multi-hop), Monolith formatter, prepare, start, 9350161163904277
1787231095.326237, Self-RAG Monolith (multi-hop), Monolith formatter, prepare, end, 9350161164300694
1787231095.326257, Self-RAG Monolith (multi-hop), Monolith LLM, prepare, start, 9350161164316918
1787231170.559056, Self-RAG Monolith (multi-hop), Monolith LLM, prepare, end, 9350236397134941
1787231170.560673, Self-RAG Monolith (multi-hop), Query rewrite formatter, prepare, start, 9350236398759137
1787231170.562085, Self-RAG Monolith (multi-hop), Query rewrite formatter, prepare, end, 9350236400173716
1787231170.562174, Self-RAG Monolith (multi-hop), Query rewrite LLM, prepare, start, 9350236400235092
1787231170.562976, Self-RAG Monolith (multi-hop), Query rewrite LLM, prepare, end, 9350236401064598
1787231170.563220, Self-RAG Monolith (multi-hop), pipeline, prepare, end, 9350236401588200
1787231170.564770, Self-RAG Monolith (multi-hop), pipeline - val, run, start, 299083231851267090353271681472450182715, 1787231170.564680, 1, 1, 9350236402852283
1787231170.565063, Self-RAG Monolith (multi-hop), Question dataloader, run, start, 9350236403145835
1787231170.565744, Self-RAG Monolith (multi-hop), Question dataloader, run, end, 9350236403822285
1787231170.566012, Self-RAG Monolith (multi-hop), Document retriever, run, start, 9350236404097422
1787231170.647031, Self-RAG Monolith (multi-hop), Document retriever, run, end, 9350236485122947
1787231170.647171, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 9350236485249684
1787231170.680890, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 9350236518966998
1787231170.681006, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 9350236519084150
1787231170.685798, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, start, 9350236523879426
