1787219137.283776, Self-RAG Decomposed, pipeline, prepare, start, 9338203122103460
1787219137.284224, Self-RAG Decomposed, Question dataloader, prepare, start, 9338203122287460
1787219138.868628, Self-RAG Decomposed, Question dataloader, prepare, end, 9338204706699027
1787219138.868681, Self-RAG Decomposed, Document retriever, prepare, start, 9338204706742323
1787219152.863415, Self-RAG Decomposed, Document retriever, prepare, end, 9338218701504667
1787219152.863514, Self-RAG Decomposed, Retrieval grader formatter, prepare, start, 9338218701576123
1787219152.863883, Self-RAG Decomposed, Retrieval grader formatter, prepare, end, 9338218701947037
1787219152.863905, Self-RAG Decomposed, Grader LLM, prepare, start, 9338218701965197
1787219197.892395, Self-RAG Decomposed, Grader LLM, prepare, end, 9338263730475254
1787219197.893590, Self-RAG Decomposed, Answer generator formatter, prepare, start, 9338263731695243
1787219197.894455, Self-RAG Decomposed, Answer generator formatter, prepare, end, 9338263732539166
1787219197.894534, Self-RAG Decomposed, Generator LLM, prepare, start, 9338263732594303
1787219243.760837, Self-RAG Decomposed, Generator LLM, prepare, end, 9338309598916826
1787219243.760915, Self-RAG Decomposed, Hallucination grader formatter, prepare, start, 9338309598976411
1787219243.761278, Self-RAG Decomposed, Hallucination grader formatter, prepare, end, 9338309599361868
1787219243.761357, Self-RAG Decomposed, Hallucination LLM, prepare, start, 9338309599417676
1787219289.313533, Self-RAG Decomposed, Hallucination LLM, prepare, end, 9338355151613914
1787219289.314776, Self-RAG Decomposed, Query rewrite formatter, prepare, start, 9338355152869102
1787219289.315524, Self-RAG Decomposed, Query rewrite formatter, prepare, end, 9338355153613969
1787219289.315842, Self-RAG Decomposed, Query rewrite LLM, prepare, start, 9338355153926515
1787219289.316778, Self-RAG Decomposed, Query rewrite LLM, prepare, end, 9338355154861686
1787219289.317636, Self-RAG Decomposed, pipeline, prepare, end, 9338355155967274
1787219289.319702, Self-RAG Decomposed, pipeline - val, run, start, 329862618959955914287089109018355870079, 1787219289.319570, 1, 1, 9338355157786866
1787219289.320009, Self-RAG Decomposed, Question dataloader, run, start, 9338355158078467
1787219289.320443, Self-RAG Decomposed, Question dataloader, run, end, 9338355158513060
1787219289.320892, Self-RAG Decomposed, Document retriever, run, start, 9338355158965222
1787219289.339409, Self-RAG Decomposed, Document retriever, run, end, 9338355177493902
1787219289.339513, Self-RAG Decomposed, Retrieval grader formatter, run, start, 9338355177586974
1787219289.355950, Self-RAG Decomposed, Retrieval grader formatter, run, end, 9338355194021326
1787219289.356449, Self-RAG Decomposed, Grader LLM, run, start, 9338355194522880
1787219289.359930, Self-RAG Decomposed, Grader LLM, first_token, start, 9338355198012334
1787219290.062413, Self-RAG Decomposed, pipeline - val, run, start, 139704951087196872841601315478887010341, 1787219290.061734, 1, 2, 9338355900513523
1787219290.063525, Self-RAG Decomposed, Question dataloader, run, start, 9338355901612887
1787219290.065343, Self-RAG Decomposed, Question dataloader, run, end, 9338355903424718
1787219290.066257, Self-RAG Decomposed, Document retriever, run, start, 9338355904340194
1787219290.080428, Self-RAG Decomposed, Document retriever, run, end, 9338355918505705
1787219290.081278, Self-RAG Decomposed, Retrieval grader formatter, run, start, 9338355919353820
1787219290.082152, Self-RAG Decomposed, Retrieval grader formatter, run, end, 9338355920229695
1787219290.129247, Self-RAG Decomposed, Grader LLM, first_token, end, 9338355967338150
1787219290.254627, Self-RAG Decomposed, Grader LLM, n_generated_tokens, 4, 9338356092717468
1787219290.255035, Self-RAG Decomposed, Grader LLM, run, end, 9338356093101470
1787219290.255077, Self-RAG Decomposed, Grader LLM, run, start, 9338356093137678
1787219290.255326, Self-RAG Decomposed, Grade router, run, start, 9338356093439327
1787219290.255667, Self-RAG Decomposed, Grade router, run, end, 9338356093734432
1787219290.255798, Self-RAG Decomposed, Answer generator formatter, run, start, 9338356093873185
1787219290.256495, Self-RAG Decomposed, Answer generator formatter, run, end, 9338356094566595
1787219290.256736, Self-RAG Decomposed, Generator LLM, run, start, 9338356094810484
1787219290.258418, Self-RAG Decomposed, Grader LLM, first_token, start, 9338356096490603
1787219290.261049, Self-RAG Decomposed, Generator LLM, first_token, start, 9338356099129493
1787219291.110541, Self-RAG Decomposed, pipeline - val, run, start, 74999461761795349327994589429343905907, 1787219291.109586, 1, 3, 9338356948648531
1787219291.111358, Self-RAG Decomposed, Question dataloader, run, start, 9338356949436774
1787219291.111717, Self-RAG Decomposed, Question dataloader, run, end, 9338356949778951
1787219291.111939, Self-RAG Decomposed, Document retriever, run, start, 9338356950024264
1787219291.134062, Self-RAG Decomposed, Document retriever, run, end, 9338356972140206
1787219291.134584, Self-RAG Decomposed, Retrieval grader formatter, run, start, 9338356972661504
1787219291.135140, Self-RAG Decomposed, Retrieval grader formatter, run, end, 9338356973204034
1787219291.306072, Self-RAG Decomposed, Grader LLM, first_token, end, 9338357144188361
1787219291.505827, Self-RAG Decomposed, Generator LLM, first_token, end, 9338357343924463
1787219291.690638, Self-RAG Decomposed, Grader LLM, n_generated_tokens, 4, 9338357528759067
1787219291.697534, Self-RAG Decomposed, Grader LLM, run, end, 9338357535614325
1787219291.697655, Self-RAG Decomposed, Grade router, run, start, 9338357535736422
1787219291.697722, Self-RAG Decomposed, Grader LLM, run, start, 9338357535783862
1787219291.699458, Self-RAG Decomposed, Grade router, run, end, 9338357537543389
1787219291.699609, Self-RAG Decomposed, Answer generator formatter, run, start, 9338357537692830
1787219291.700616, Self-RAG Decomposed, Answer generator formatter, run, end, 9338357538699649
1787219291.701949, Self-RAG Decomposed, Grader LLM, first_token, start, 9338357540022871
1787219291.897815, Self-RAG Decomposed, Generator LLM, n_generated_tokens, 4, 9338357735904606
1787219291.899178, Self-RAG Decomposed, Generator LLM, run, end, 9338357737258499
1787219291.899265, Self-RAG Decomposed, Generator LLM, run, start, 9338357737326019
1787219291.899782, Self-RAG Decomposed, Hallucination grader formatter, run, start, 9338357737876261
1787219291.900807, Self-RAG Decomposed, Hallucination grader formatter, run, end, 9338357738878153
1787219291.901074, Self-RAG Decomposed, Hallucination LLM, run, start, 9338357739160842
1787219291.903713, Self-RAG Decomposed, Generator LLM, first_token, start, 9338357741793285
1787219291.906078, Self-RAG Decomposed, Hallucination LLM, first_token, start, 9338357744155582
1787219292.340586, Self-RAG Decomposed, Grader LLM, first_token, end, 9338358178708097
1787219293.050819, Self-RAG Decomposed, Grader LLM, n_generated_tokens, 4, 9338358888920224
1787219293.055286, Self-RAG Decomposed, Grader LLM, run, end, 9338358893375409
