1787480803.913985, Self-RAG Decomposed, pipeline, prepare, start, 9599869752302202
1787480803.919509, Self-RAG Decomposed, Question dataloader, prepare, start, 9599869757580058
1787480805.430621, Self-RAG Decomposed, Question dataloader, prepare, end, 9599871268691488
1787480805.430672, Self-RAG Decomposed, Document retriever, prepare, start, 9599871268732272
1787480819.504550, Self-RAG Decomposed, Document retriever, prepare, end, 9599885342647391
1787480819.504667, Self-RAG Decomposed, Retrieval grader formatter, prepare, start, 9599885342730079
1787480819.505020, Self-RAG Decomposed, Retrieval grader formatter, prepare, end, 9599885343083776
1787480819.505105, Self-RAG Decomposed, Grader LLM, prepare, start, 9599885343165840
1787480864.990290, Self-RAG Decomposed, Grader LLM, prepare, end, 9599930828369792
1787480864.991626, Self-RAG Decomposed, Answer generator formatter, prepare, start, 9599930829734660
1787480865.002233, Self-RAG Decomposed, Answer generator formatter, prepare, end, 9599930840317412
1787480865.002314, Self-RAG Decomposed, Generator LLM, prepare, start, 9599930840374564
1787480909.115941, Self-RAG Decomposed, Generator LLM, prepare, end, 9599974954024674
1787480909.116024, Self-RAG Decomposed, Hallucination grader formatter, prepare, start, 9599974954087602
1787480909.117774, Self-RAG Decomposed, Hallucination grader formatter, prepare, end, 9599974955864759
1787480909.117870, Self-RAG Decomposed, Hallucination LLM, prepare, start, 9599974955931047
1787480953.503678, Self-RAG Decomposed, Hallucination LLM, prepare, end, 9600019341756347
1787480953.505091, Self-RAG Decomposed, Query rewrite formatter, prepare, start, 9600019343203151
1787480953.505876, Self-RAG Decomposed, Query rewrite formatter, prepare, end, 9600019343957169
1787480953.505961, Self-RAG Decomposed, Query rewrite LLM, prepare, start, 9600019344022001
1787480953.507227, Self-RAG Decomposed, Query rewrite LLM, prepare, end, 9600019345339301
1787480953.508835, Self-RAG Decomposed, pipeline, prepare, end, 9600019347201834
1787480953.511763, Self-RAG Decomposed, pipeline - val, run, start, 137966782010666686101173904923527793115, 1787480953.511664, 1, 1, 9600019349847890
1787480953.512066, Self-RAG Decomposed, Question dataloader, run, start, 9600019350137139
1787480953.512379, Self-RAG Decomposed, Question dataloader, run, end, 9600019350442100
1787480953.512547, Self-RAG Decomposed, Document retriever, run, start, 9600019350626020
1787480953.543576, Self-RAG Decomposed, Document retriever, run, end, 9600019381661823
1787480953.543679, Self-RAG Decomposed, Retrieval grader formatter, run, start, 9600019381751615
1787480953.559658, Self-RAG Decomposed, Retrieval grader formatter, run, end, 9600019397734270
1787480953.560670, Self-RAG Decomposed, Grader LLM, run, start, 9600019398788993
1787480953.565612, Self-RAG Decomposed, Grader LLM, n_prompt_tokens, 908, 9600019403685439
1787480953.565670, Self-RAG Decomposed, Grader LLM, first_token, start, 9600019403736655
1787480954.323425, Self-RAG Decomposed, Grader LLM, first_token, end, 9600020161521984
1787480954.474741, Self-RAG Decomposed, Grader LLM, n_generated_tokens, 4, 9600020312830056
1787480954.476099, Self-RAG Decomposed, Grader LLM, run, end, 9600020314182828
