1787226289.615360, Self-RAG Decomposed-Shared, pipeline, prepare, start, 9345355453682025
1787226289.615713, Self-RAG Decomposed-Shared, Question dataloader, prepare, start, 9345355453775849
1787226291.034935, Self-RAG Decomposed-Shared, Question dataloader, prepare, end, 9345356873009842
1787226291.034991, Self-RAG Decomposed-Shared, Document retriever, prepare, start, 9345356873052370
1787226305.186937, Self-RAG Decomposed-Shared, Document retriever, prepare, end, 9345371025035459
1787226305.187047, Self-RAG Decomposed-Shared, Retrieval grader formatter, prepare, start, 9345371025108883
1787226305.187447, Self-RAG Decomposed-Shared, Retrieval grader formatter, prepare, end, 9345371025510820
1787226305.187465, Self-RAG Decomposed-Shared, Shared LLM (grade), prepare, start, 9345371025525076
1787226350.533349, Self-RAG Decomposed-Shared, Shared LLM (grade), prepare, end, 9345416371428930
1787226350.534421, Self-RAG Decomposed-Shared, Answer generator formatter, prepare, start, 9345416372486661
1787226350.534740, Self-RAG Decomposed-Shared, Answer generator formatter, prepare, end, 9345416372818518
1787226350.534861, Self-RAG Decomposed-Shared, Shared LLM (generate), prepare, start, 9345416372922647
1787226350.535201, Self-RAG Decomposed-Shared, Shared LLM (generate), prepare, end, 9345416373278520
1787226350.535265, Self-RAG Decomposed-Shared, Hallucination grader formatter, prepare, start, 9345416373325864
1787226350.535738, Self-RAG Decomposed-Shared, Hallucination grader formatter, prepare, end, 9345416373815961
1787226350.535800, Self-RAG Decomposed-Shared, Shared LLM (hallucination), prepare, start, 9345416373860698
1787226350.536125, Self-RAG Decomposed-Shared, Shared LLM (hallucination), prepare, end, 9345416374187067
1787226350.536361, Self-RAG Decomposed-Shared, Query rewrite formatter, prepare, start, 9345416374422283
1787226350.536574, Self-RAG Decomposed-Shared, Query rewrite formatter, prepare, end, 9345416374634572
1787226350.536586, Self-RAG Decomposed-Shared, Shared LLM (rewrite), prepare, start, 9345416374645484
1787226350.536811, Self-RAG Decomposed-Shared, Shared LLM (rewrite), prepare, end, 9345416374871277
1787226350.537097, Self-RAG Decomposed-Shared, pipeline, prepare, end, 9345416375476782
1787226350.538388, Self-RAG Decomposed-Shared, pipeline - val, run, start, 90404687107303685817840282899257908336, 1787226350.538269, 1, 1, 9345416376475682
1787226350.538661, Self-RAG Decomposed-Shared, Question dataloader, run, start, 9345416376735970
1787226350.539091, Self-RAG Decomposed-Shared, Question dataloader, run, end, 9345416377162980
1787226350.539250, Self-RAG Decomposed-Shared, Document retriever, run, start, 9345416377322580
1787226350.555220, Self-RAG Decomposed-Shared, Document retriever, run, end, 9345416393295541
1787226350.555425, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, start, 9345416393508629
1787226350.589006, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, end, 9345416427090619
1787226350.589358, Self-RAG Decomposed-Shared, Shared LLM (grade), run, start, 9345416427436364
1787226350.594107, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, start, 9345416432185995
1787226351.339986, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, end, 9345417178082082
1787226351.493973, Self-RAG Decomposed-Shared, Shared LLM (grade), n_generated_tokens, 4, 9345417332062693
1787226351.494344, Self-RAG Decomposed-Shared, Shared LLM (grade), run, end, 9345417332408022
1787226351.494642, Self-RAG Decomposed-Shared, Grade router, run, start, 9345417332729815
1787226351.495032, Self-RAG Decomposed-Shared, Grade router, run, end, 9345417333107288
1787226351.495258, Self-RAG Decomposed-Shared, Answer generator formatter, run, start, 9345417333345257
1787226351.496125, Self-RAG Decomposed-Shared, Answer generator formatter, run, end, 9345417334206443
1787226351.496698, Self-RAG Decomposed-Shared, Shared LLM (generate), run, start, 9345417334790893
1787226351.501163, Self-RAG Decomposed-Shared, Shared LLM (generate), first_token, start, 9345417339247243
1787226351.963128, Self-RAG Decomposed-Shared, pipeline - val, run, start, 97533469491384282001389865352090976319, 1787226351.962732, 1, 2, 9345417801288293
1787226351.963999, Self-RAG Decomposed-Shared, Question dataloader, run, start, 9345417802076551
1787226351.964653, Self-RAG Decomposed-Shared, Question dataloader, run, end, 9345417802723481
1787226351.964961, Self-RAG Decomposed-Shared, Document retriever, run, start, 9345417803045610
1787226351.978248, Self-RAG Decomposed-Shared, Shared LLM (generate), first_token, end, 9345417816357171
1787226351.980383, Self-RAG Decomposed-Shared, Document retriever, run, end, 9345417818452409
1787226351.981066, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, start, 9345417819145947
1787226351.982080, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, end, 9345417820156366
1787226351.982213, Self-RAG Decomposed-Shared, Shared LLM (grade), run, start, 9345417820302783
1787226352.155760, Self-RAG Decomposed-Shared, Shared LLM (generate), n_generated_tokens, 4, 9345417993861261
1787226352.156198, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, start, 9345417994330815
1787226352.157296, Self-RAG Decomposed-Shared, Shared LLM (generate), run, end, 9345417995370434
1787226352.157857, Self-RAG Decomposed-Shared, Hallucination grader formatter, run, start, 9345417995938132
1787226352.158929, Self-RAG Decomposed-Shared, Hallucination grader formatter, run, end, 9345417997020311
1787226352.159333, Self-RAG Decomposed-Shared, Shared LLM (hallucination), run, start, 9345417997413864
1787226352.803606, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, end, 9345418641709739
1787226352.978347, Self-RAG Decomposed-Shared, Shared LLM (grade), n_generated_tokens, 4, 9345418816433293
1787226352.978983, Self-RAG Decomposed-Shared, Shared LLM (hallucination), first_token, start, 9345418817080927
1787226352.980275, Self-RAG Decomposed-Shared, Shared LLM (grade), run, end, 9345418818342051
1787226352.980615, Self-RAG Decomposed-Shared, Grade router, run, start, 9345418818693476
1787226352.981285, Self-RAG Decomposed-Shared, Grade router, run, end, 9345418819358726
1787226352.981588, Self-RAG Decomposed-Shared, Answer generator formatter, run, start, 9345418819697959
1787226352.982201, Self-RAG Decomposed-Shared, Answer generator formatter, run, end, 9345418820271017
1787226352.982828, Self-RAG Decomposed-Shared, Shared LLM (generate), run, start, 9345418820898939
1787226353.429286, Self-RAG Decomposed-Shared, Shared LLM (hallucination), first_token, end, 9345419267516997
1787226353.599966, Self-RAG Decomposed-Shared, Shared LLM (hallucination), n_generated_tokens, 4, 9345419438053243
1787226353.600276, Self-RAG Decomposed-Shared, Shared LLM (hallucination), run, end, 9345419438341836
1787226353.600374, Self-RAG Decomposed-Shared, Shared LLM (generate), first_token, start, 9345419438462956
1787226353.601199, Self-RAG Decomposed-Shared, Hallucination router, run, start, 9345419439270318
1787226353.601987, Self-RAG Decomposed-Shared, Hallucination router, run, end, 9345419440059697
1787226353.602409, Self-RAG Decomposed-Shared, End stage, run, start, 9345419440483922
1787226353.603903, Self-RAG Decomposed-Shared, End stage, run, end, 9345419441973047
1787226353.604156, Self-RAG Decomposed-Shared, pipeline - val, run, end, 90404687107303685817840282899257908336, 1787226350.538269, 1, 1, 9345419442248999
1787226354.254472, Self-RAG Decomposed-Shared, Shared LLM (generate), first_token, end, 9345420092700333
1787226354.405979, Self-RAG Decomposed-Shared, Shared LLM (generate), n_generated_tokens, 4, 9345420244068072
1787226354.406303, Self-RAG Decomposed-Shared, Shared LLM (generate), run, end, 9345420244366793
1787226354.406921, Self-RAG Decomposed-Shared, Hallucination grader formatter, run, start, 9345420245033899
1787226354.408207, Self-RAG Decomposed-Shared, Hallucination grader formatter, run, end, 9345420246296015
1787226354.409025, Self-RAG Decomposed-Shared, Shared LLM (hallucination), run, start, 9345420247109874
1787226354.412714, Self-RAG Decomposed-Shared, Shared LLM (hallucination), first_token, start, 9345420250798445
1787226355.038180, Self-RAG Decomposed-Shared, Shared LLM (hallucination), first_token, end, 9345420876411799
1787226355.187515, Self-RAG Decomposed-Shared, Shared LLM (hallucination), n_generated_tokens, 4, 9345421025602491
1787226355.187843, Self-RAG Decomposed-Shared, Shared LLM (hallucination), run, end, 9345421025909228
1787226355.188649, Self-RAG Decomposed-Shared, Hallucination router, run, start, 9345421026753615
1787226355.188965, Self-RAG Decomposed-Shared, Hallucination router, run, end, 9345421027027407
1787226355.189540, Self-RAG Decomposed-Shared, End stage, run, start, 9345421027632289
1787226355.190590, Self-RAG Decomposed-Shared, End stage, run, end, 9345421028688548
1787226355.191114, Self-RAG Decomposed-Shared, pipeline - val, run, end, 97533469491384282001389865352090976319, 1787226351.962732, 1, 2, 9345421029195654
1787226357.800097, Self-RAG Decomposed-Shared, pipeline - val, run, start, 317478945631548018929056245128751865055, 1787226357.799620, 1, 3, 9345423638187855
1787226357.800414, Self-RAG Decomposed-Shared, Question dataloader, run, start, 9345423638490272
1787226357.800773, Self-RAG Decomposed-Shared, Question dataloader, run, end, 9345423638843201
1787226357.801364, Self-RAG Decomposed-Shared, Document retriever, run, start, 9345423639471235
1787226357.813109, Self-RAG Decomposed-Shared, Document retriever, run, end, 9345423651192903
1787226357.813498, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, start, 9345423651577928
1787226357.814109, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, end, 9345423652183786
1787226357.814216, Self-RAG Decomposed-Shared, Shared LLM (grade), run, start, 9345423652303418
1787226357.816746, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, start, 9345423654811889
1787226358.161114, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, end, 9345423999266358
1787226358.309693, Self-RAG Decomposed-Shared, Shared LLM (grade), n_generated_tokens, 4, 9345424147778664
1787226358.309984, Self-RAG Decomposed-Shared, Shared LLM (grade), run, end, 9345424148049305
1787226358.310318, Self-RAG Decomposed-Shared, Grade router, run, start, 9345424148407978
1787226358.310842, Self-RAG Decomposed-Shared, Grade router, run, end, 9345424148923020
1787226358.311419, Self-RAG Decomposed-Shared, Query rewrite formatter, run, start, 9345424149528270
1787226358.313391, Self-RAG Decomposed-Shared, Query rewrite formatter, run, end, 9345424151473315
1787226358.313582, Self-RAG Decomposed-Shared, Shared LLM (rewrite), run, start, 9345424151668452
1787226358.316424, Self-RAG Decomposed-Shared, Shared LLM (rewrite), first_token, start, 9345424154513485
1787226358.668626, Self-RAG Decomposed-Shared, Shared LLM (rewrite), first_token, end, 9345424506750041
1787226359.174572, Self-RAG Decomposed-Shared, Shared LLM (rewrite), n_generated_tokens, 12, 9345425012662120
1787226359.175103, Self-RAG Decomposed-Shared, Shared LLM (rewrite), run, end, 9345425013181417
1787226359.175668, Self-RAG Decomposed-Shared, Document retriever, run, start, 9345425013752875
1787226359.185650, Self-RAG Decomposed-Shared, Document retriever, run, end, 9345425023731737
1787226359.186171, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, start, 9345425024249259
1787226359.186759, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, end, 9345425024830893
1787226359.186854, Self-RAG Decomposed-Shared, Shared LLM (grade), run, start, 9345425024934381
1787226359.189964, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, start, 9345425028029846
1787226359.651815, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, end, 9345425490047904
1787226359.794344, Self-RAG Decomposed-Shared, Shared LLM (grade), n_generated_tokens, 4, 9345425632432880
1787226359.795692, Self-RAG Decomposed-Shared, Shared LLM (grade), run, end, 9345425633775124
1787226359.795813, Self-RAG Decomposed-Shared, Grade router, run, start, 9345425633893796
1787226359.796159, Self-RAG Decomposed-Shared, Grade router, run, end, 9345425634235333
1787226359.796763, Self-RAG Decomposed-Shared, Query rewrite formatter, run, start, 9345425634849431
1787226359.797314, Self-RAG Decomposed-Shared, Query rewrite formatter, run, end, 9345425635377128
