1787476311.625489, Self-RAG Decomposed-Shared, pipeline, prepare, start, 9595377463922790
1787476311.625960, Self-RAG Decomposed-Shared, Question dataloader, prepare, start, 9595377464022534
1787476313.032234, Self-RAG Decomposed-Shared, Question dataloader, prepare, end, 9595378870305045
1787476313.032286, Self-RAG Decomposed-Shared, Document retriever, prepare, start, 9595378870347765
1787476327.206209, Self-RAG Decomposed-Shared, Document retriever, prepare, end, 9595393044302180
1787476327.206321, Self-RAG Decomposed-Shared, Retrieval grader formatter, prepare, start, 9595393044384484
1787476327.206692, Self-RAG Decomposed-Shared, Retrieval grader formatter, prepare, end, 9595393044756500
1787476327.206714, Self-RAG Decomposed-Shared, Shared LLM (grade), prepare, start, 9595393044773892
1787476373.223973, Self-RAG Decomposed-Shared, Shared LLM (grade), prepare, end, 9595439062053809
1787476373.225555, Self-RAG Decomposed-Shared, Answer generator formatter, prepare, start, 9595439063658640
1787476373.226671, Self-RAG Decomposed-Shared, Answer generator formatter, prepare, end, 9595439064756480
1787476373.226756, Self-RAG Decomposed-Shared, Shared LLM (generate), prepare, start, 9595439064816432
1787476373.227867, Self-RAG Decomposed-Shared, Shared LLM (generate), prepare, end, 9595439065955600
1787476373.227960, Self-RAG Decomposed-Shared, Hallucination grader formatter, prepare, start, 9595439066020608
1787476373.228263, Self-RAG Decomposed-Shared, Hallucination grader formatter, prepare, end, 9595439066349599
1787476373.228347, Self-RAG Decomposed-Shared, Shared LLM (hallucination), prepare, start, 9595439066408223
1787476373.228781, Self-RAG Decomposed-Shared, Shared LLM (hallucination), prepare, end, 9595439066843023
1787476373.228915, Self-RAG Decomposed-Shared, Query rewrite formatter, prepare, start, 9595439066976847
1787476373.229128, Self-RAG Decomposed-Shared, Query rewrite formatter, prepare, end, 9595439067189615
1787476373.229159, Self-RAG Decomposed-Shared, Shared LLM (rewrite), prepare, start, 9595439067219279
1787476373.229288, Self-RAG Decomposed-Shared, Shared LLM (rewrite), prepare, end, 9595439067349599
1787476373.229435, Self-RAG Decomposed-Shared, pipeline, prepare, end, 9595439067873103
1787476373.230721, Self-RAG Decomposed-Shared, pipeline - val, run, start, 319288834291682777180641936487614433723, 1787476373.230642, 1, 1, 9595439068813471
1787476373.231037, Self-RAG Decomposed-Shared, Question dataloader, run, start, 9595439069112591
1787476373.231459, Self-RAG Decomposed-Shared, Question dataloader, run, end, 9595439069529374
1787476373.231645, Self-RAG Decomposed-Shared, Document retriever, run, start, 9595439069730398
1787476373.263532, Self-RAG Decomposed-Shared, Document retriever, run, end, 9595439101618932
1787476373.263934, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, start, 9595439102010516
1787476373.289431, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, end, 9595439127506524
1787476373.289711, Self-RAG Decomposed-Shared, Shared LLM (grade), run, start, 9595439127789755
1787476373.293309, Self-RAG Decomposed-Shared, Shared LLM (grade), n_prompt_tokens, 908, 9595439131410522
1787476373.293428, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, start, 9595439131490426
1787476374.028022, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, end, 9595439866117691
1787476374.189708, Self-RAG Decomposed-Shared, Shared LLM (grade), n_generated_tokens, 4, 9595440027796167
1787476374.190474, Self-RAG Decomposed-Shared, Shared LLM (grade), run, end, 9595440028540759
1787476374.190916, Self-RAG Decomposed-Shared, Grade router, run, start, 9595440028995943
1787476374.191683, Self-RAG Decomposed-Shared, Grade router, run, end, 9595440029759094
