1787220624.855271, Self-RAG Monolith 4B, pipeline, prepare, start, 9339690693597088
1787220624.855754, Self-RAG Monolith 4B, Question dataloader, prepare, start, 9339690693820432
1787220626.279745, Self-RAG Monolith 4B, Question dataloader, prepare, end, 9339692117817998
1787220626.279799, Self-RAG Monolith 4B, Document retriever, prepare, start, 9339692117859982
1787220640.655061, Self-RAG Monolith 4B, Document retriever, prepare, end, 9339706493153943
1787220640.655171, Self-RAG Monolith 4B, Monolith formatter, prepare, start, 9339706493231799
1787220640.655531, Self-RAG Monolith 4B, Monolith formatter, prepare, end, 9339706493594408
1787220640.655550, Self-RAG Monolith 4B, Monolith LLM, prepare, start, 9339706493609784
1787220689.427204, Self-RAG Monolith 4B, Monolith LLM, prepare, end, 9339755265283119
1787220689.430448, Self-RAG Monolith 4B, Query rewrite formatter, prepare, start, 9339755268541992
1787220689.431192, Self-RAG Monolith 4B, Query rewrite formatter, prepare, end, 9339755269268987
1787220689.431252, Self-RAG Monolith 4B, Query rewrite LLM, prepare, start, 9339755269312651
1787220689.431815, Self-RAG Monolith 4B, Query rewrite LLM, prepare, end, 9339755269876540
1787220689.431829, Self-RAG Monolith 4B, pipeline, prepare, end, 9339755270135053
1787220689.434142, Self-RAG Monolith 4B, pipeline - val, run, start, 84377405429766321189009900953094370890, 1787220689.433934, 1, 1, 9339755272230259
1787220689.434584, Self-RAG Monolith 4B, Question dataloader, run, start, 9339755272656693
1787220689.435077, Self-RAG Monolith 4B, Question dataloader, run, end, 9339755273151510
1787220689.435205, Self-RAG Monolith 4B, Document retriever, run, start, 9339755273279750
1787220689.452061, Self-RAG Monolith 4B, Document retriever, run, end, 9339755290143400
1787220689.452528, Self-RAG Monolith 4B, Monolith formatter, run, start, 9339755290601306
1787220689.468796, Self-RAG Monolith 4B, Monolith formatter, run, end, 9339755306873066
1787220689.469853, Self-RAG Monolith 4B, Monolith LLM, run, start, 9339755307962077
1787220689.473581, Self-RAG Monolith 4B, Monolith LLM, first_token, start, 9339755311652984
1787220689.903004, Self-RAG Monolith 4B, pipeline - val, run, start, 32962548484743867664871382364602244790, 1787220689.902576, 1, 2, 9339755741094558
1787220689.903409, Self-RAG Monolith 4B, Question dataloader, run, start, 9339755741495503
1787220689.904143, Self-RAG Monolith 4B, Question dataloader, run, end, 9339755742225265
1787220689.904691, Self-RAG Monolith 4B, Document retriever, run, start, 9339755742784563
1787220689.920720, Self-RAG Monolith 4B, Document retriever, run, end, 9339755758796818
1787220689.920813, Self-RAG Monolith 4B, Monolith formatter, run, start, 9339755758886210
1787220689.921408, Self-RAG Monolith 4B, Monolith formatter, run, end, 9339755759471284
1787220690.323185, Self-RAG Monolith 4B, Monolith LLM, first_token, end, 9339756161278712
1787220691.252328, Self-RAG Monolith 4B, pipeline - val, run, start, 305177058025983924540721031422443423676, 1787220691.251918, 1, 3, 9339757090419474
1787220691.252657, Self-RAG Monolith 4B, Question dataloader, run, start, 9339757090738243
1787220691.252954, Self-RAG Monolith 4B, Question dataloader, run, end, 9339757091018612
1787220691.253146, Self-RAG Monolith 4B, Document retriever, run, start, 9339757091237109
1787220691.265613, Self-RAG Monolith 4B, Document retriever, run, end, 9339757103684345
1787220691.265709, Self-RAG Monolith 4B, Monolith formatter, run, start, 9339757103779098
1787220691.266252, Self-RAG Monolith 4B, Monolith formatter, run, end, 9339757104321403
1787220691.544976, Self-RAG Monolith 4B, Monolith LLM, n_generated_tokens, 26, 9339757383061523
1787220691.545650, Self-RAG Monolith 4B, Monolith LLM, run, end, 9339757383716629
1787220691.545691, Self-RAG Monolith 4B, Monolith LLM, run, start, 9339757383751477
1787220691.545964, Self-RAG Monolith 4B, Monolith router, run, start, 9339757384035638
1787220691.546076, Self-RAG Monolith 4B, Monolith router, run, end, 9339757384137430
1787220691.546390, Self-RAG Monolith 4B, End stage, run, start, 9339757384462423
1787220691.546669, Self-RAG Monolith 4B, End stage, run, end, 9339757384731928
1787220691.546815, Self-RAG Monolith 4B, pipeline - val, run, end, 84377405429766321189009900953094370890, 1787220689.433934, 1, 1, 9339757384895400
1787220691.550055, Self-RAG Monolith 4B, Monolith LLM, first_token, start, 9339757388129282
1787220692.289363, Self-RAG Monolith 4B, Monolith LLM, first_token, end, 9339758127463691
1787220693.465209, Self-RAG Monolith 4B, Monolith LLM, n_generated_tokens, 26, 9339759303295246
1787220693.466546, Self-RAG Monolith 4B, Monolith LLM, run, end, 9339759304621714
1787220693.466625, Self-RAG Monolith 4B, Monolith LLM, run, start, 9339759304687170
1787220693.467021, Self-RAG Monolith 4B, Monolith router, run, start, 9339759305093171
1787220693.467283, Self-RAG Monolith 4B, Monolith router, run, end, 9339759305353908
1787220693.467950, Self-RAG Monolith 4B, End stage, run, start, 9339759306027126
1787220693.468827, Self-RAG Monolith 4B, End stage, run, end, 9339759306907417
1787220693.469386, Self-RAG Monolith 4B, Monolith LLM, first_token, start, 9339759307467467
1787220693.469509, Self-RAG Monolith 4B, pipeline - val, run, end, 32962548484743867664871382364602244790, 1787220689.902576, 1, 2, 9339759307592155
1787220693.878378, Self-RAG Monolith 4B, Monolith LLM, first_token, end, 9339759716484676
1787220694.899714, Self-RAG Monolith 4B, Monolith LLM, n_generated_tokens, 24, 9339760737797806
1787220694.900109, Self-RAG Monolith 4B, Monolith LLM, run, end, 9339760738176704
1787220694.900412, Self-RAG Monolith 4B, Monolith router, run, start, 9339760738493776
1787220694.900565, Self-RAG Monolith 4B, Monolith router, run, end, 9339760738627329
1787220694.900850, Self-RAG Monolith 4B, Query rewrite formatter, run, start, 9339760738931890
1787220694.901292, Self-RAG Monolith 4B, Query rewrite formatter, run, end, 9339760739356627
1787220694.901443, Self-RAG Monolith 4B, Query rewrite LLM, run, start, 9339760739527347
1787220694.903971, Self-RAG Monolith 4B, Query rewrite LLM, first_token, start, 9339760742056683
1787220695.213885, Self-RAG Monolith 4B, Query rewrite LLM, first_token, end, 9339761052013567
1787220695.750796, Self-RAG Monolith 4B, Query rewrite LLM, n_generated_tokens, 12, 9339761588881202
1787220695.751527, Self-RAG Monolith 4B, Query rewrite LLM, run, end, 9339761589592500
1787220695.752499, Self-RAG Monolith 4B, Document retriever, run, start, 9339761590609207
1787220695.764230, Self-RAG Monolith 4B, Document retriever, run, end, 9339761602312921
1787220695.764577, Self-RAG Monolith 4B, Monolith formatter, run, start, 9339761602650986
1787220695.764891, Self-RAG Monolith 4B, Monolith formatter, run, end, 9339761602953883
1787220695.765160, Self-RAG Monolith 4B, Monolith LLM, run, start, 9339761603245036
1787220695.767936, Self-RAG Monolith 4B, Monolith LLM, first_token, start, 9339761606014996
1787220696.306940, Self-RAG Monolith 4B, Monolith LLM, first_token, end, 9339762145038013
1787220696.942116, Self-RAG Monolith 4B, pipeline - val, run, start, 172262185473860640572561132521711219688, 1787220696.941881, 1, 4, 9339762780209538
1787220696.942477, Self-RAG Monolith 4B, Question dataloader, run, start, 9339762780553475
1787220696.943076, Self-RAG Monolith 4B, Question dataloader, run, end, 9339762781149301
1787220696.943715, Self-RAG Monolith 4B, Document retriever, run, start, 9339762781823751
1787220696.957967, Self-RAG Monolith 4B, Document retriever, run, end, 9339762796060241
1787220696.958375, Self-RAG Monolith 4B, Monolith formatter, run, start, 9339762796448546
1787220696.958757, Self-RAG Monolith 4B, Monolith formatter, run, end, 9339762796819091
1787220697.462187, Self-RAG Monolith 4B, Monolith LLM, n_generated_tokens, 26, 9339763300274595
1787220697.462526, Self-RAG Monolith 4B, Monolith LLM, run, end, 9339763300590852
1787220697.462563, Self-RAG Monolith 4B, Monolith LLM, run, start, 9339763300623492
1787220697.462791, Self-RAG Monolith 4B, Monolith router, run, start, 9339763300862069
1787220697.462895, Self-RAG Monolith 4B, Monolith router, run, end, 9339763300956485
1787220697.463083, Self-RAG Monolith 4B, End stage, run, start, 9339763301157974
1787220697.463513, Self-RAG Monolith 4B, End stage, run, end, 9339763301575463
1787220697.463906, Self-RAG Monolith 4B, pipeline - val, run, end, 305177058025983924540721031422443423676, 1787220691.251918, 1, 3, 9339763301989096
1787220697.465731, Self-RAG Monolith 4B, Monolith LLM, first_token, start, 9339763303806878
