1787481441.561539, Self-RAG Monolith 4B, pipeline, prepare, start, 9600507399868977
1787481441.562067, Self-RAG Monolith 4B, Question dataloader, prepare, start, 9600507400133618
1787481443.000097, Self-RAG Monolith 4B, Question dataloader, prepare, end, 9600508838170196
1787481443.000151, Self-RAG Monolith 4B, Document retriever, prepare, start, 9600508838212148
1787481457.125855, Self-RAG Monolith 4B, Document retriever, prepare, end, 9600522963949816
1787481457.125965, Self-RAG Monolith 4B, Monolith formatter, prepare, start, 9600522964026216
1787481457.126334, Self-RAG Monolith 4B, Monolith formatter, prepare, end, 9600522964397176
1787481457.126353, Self-RAG Monolith 4B, Monolith LLM, prepare, start, 9600522964412456
1787481501.764496, Self-RAG Monolith 4B, Monolith LLM, prepare, end, 9600567602577839
1787481501.767093, Self-RAG Monolith 4B, Query rewrite formatter, prepare, start, 9600567605179394
1787481501.768121, Self-RAG Monolith 4B, Query rewrite formatter, prepare, end, 9600567606208531
1787481501.768208, Self-RAG Monolith 4B, Query rewrite LLM, prepare, start, 9600567606268515
1787481501.769303, Self-RAG Monolith 4B, Query rewrite LLM, prepare, end, 9600567607389061
1787481501.769383, Self-RAG Monolith 4B, pipeline, prepare, end, 9600567607708037
1787481501.771876, Self-RAG Monolith 4B, pipeline - val, run, start, 225823482392456831186041605670282049302, 1787481501.771758, 1, 1, 9600567609961480
1787481501.772195, Self-RAG Monolith 4B, Question dataloader, run, start, 9600567610276248
1787481501.772725, Self-RAG Monolith 4B, Question dataloader, run, end, 9600567610801289
1787481501.772848, Self-RAG Monolith 4B, Document retriever, run, start, 9600567610913513
1787481501.789274, Self-RAG Monolith 4B, Document retriever, run, end, 9600567627357052
1787481501.789400, Self-RAG Monolith 4B, Monolith formatter, run, start, 9600567627473933
1787481501.805804, Self-RAG Monolith 4B, Monolith formatter, run, end, 9600567643877920
1787481501.806406, Self-RAG Monolith 4B, Monolith LLM, run, start, 9600567644480689
1787481501.809792, Self-RAG Monolith 4B, Monolith LLM, n_prompt_tokens, 1093, 9600567647865845
1787481501.809845, Self-RAG Monolith 4B, Monolith LLM, first_token, start, 9600567647906293
1787481502.647937, Self-RAG Monolith 4B, Monolith LLM, first_token, end, 9600568486035830
1787481503.898032, Self-RAG Monolith 4B, Monolith LLM, n_generated_tokens, 26, 9600569736141369
1787481503.899144, Self-RAG Monolith 4B, Monolith LLM, run, end, 9600569737219114
1787481503.899682, Self-RAG Monolith 4B, Monolith router, run, start, 9600569737764091
1787481503.899838, Self-RAG Monolith 4B, Monolith router, run, end, 9600569737899755
1787481503.900253, Self-RAG Monolith 4B, End stage, run, start, 9600569738329644
1787481503.900488, Self-RAG Monolith 4B, End stage, run, end, 9600569738550956
1787481503.901037, Self-RAG Monolith 4B, pipeline - val, run, end, 225823482392456831186041605670282049302, 1787481501.771758, 1, 1, 9600569739126205
1787481503.902149, Self-RAG Monolith 4B, pipeline - val, run, start, 16833799355249753148200846400432908680, 1787481503.901518, 1, 2, 9600569740228510
1787481503.903051, Self-RAG Monolith 4B, Question dataloader, run, start, 9600569741139855
1787481503.903559, Self-RAG Monolith 4B, Question dataloader, run, end, 9600569741630160
1787481503.903704, Self-RAG Monolith 4B, Document retriever, run, start, 9600569741776720
1787481503.916303, Self-RAG Monolith 4B, Document retriever, run, end, 9600569754375775
1787481503.916387, Self-RAG Monolith 4B, Monolith formatter, run, start, 9600569754460959
1787481503.916825, Self-RAG Monolith 4B, Monolith formatter, run, end, 9600569754888384
1787481503.916993, Self-RAG Monolith 4B, Monolith LLM, run, start, 9600569755067136
1787481503.920982, Self-RAG Monolith 4B, Monolith LLM, n_prompt_tokens, 1606, 9600569759057973
1787481503.921038, Self-RAG Monolith 4B, Monolith LLM, first_token, start, 9600569759099189
1787481504.663376, Self-RAG Monolith 4B, Monolith LLM, first_token, end, 9600570501487254
