1787227698.470574, Self-RAG Monolith, pipeline, prepare, start, 9346764308905072
1787227698.471079, Self-RAG Monolith, Question dataloader, prepare, start, 9346764309145409
1787227704.957620, Self-RAG Monolith, Question dataloader, prepare, end, 9346770795693974
1787227704.957677, Self-RAG Monolith, Document retriever, prepare, start, 9346770795737750
1787227719.021252, Self-RAG Monolith, Document retriever, prepare, end, 9346784859347109
1787227719.021357, Self-RAG Monolith, Monolith formatter, prepare, start, 9346784859418902
1787227719.021686, Self-RAG Monolith, Monolith formatter, prepare, end, 9346784859749447
1787227719.021707, Self-RAG Monolith, Monolith LLM, prepare, start, 9346784859766791
1787227791.928135, Self-RAG Monolith, Monolith LLM, prepare, end, 9346857766213353
1787227791.929331, Self-RAG Monolith, Query rewrite formatter, prepare, start, 9346857767403740
1787227791.929691, Self-RAG Monolith, Query rewrite formatter, prepare, end, 9346857767775917
1787227791.929763, Self-RAG Monolith, Query rewrite LLM, prepare, start, 9346857767823805
1787227791.930208, Self-RAG Monolith, Query rewrite LLM, prepare, end, 9346857768290351
1787227791.930275, Self-RAG Monolith, pipeline, prepare, end, 9346857768590352
1787227791.932448, Self-RAG Monolith, pipeline - val, run, start, 58217320400890237694275695783565791125, 1787227791.932350, 1, 1, 9346857770531205
1787227791.932722, Self-RAG Monolith, Question dataloader, run, start, 9346857770796838
1787227791.933046, Self-RAG Monolith, Question dataloader, run, end, 9346857771111559
1787227791.933203, Self-RAG Monolith, Document retriever, run, start, 9346857771280952
1787227791.951338, Self-RAG Monolith, Document retriever, run, end, 9346857789421548
1787227791.951529, Self-RAG Monolith, Monolith formatter, run, start, 9346857789604637
1787227791.967553, Self-RAG Monolith, Monolith formatter, run, end, 9346857805629580
1787227791.967695, Self-RAG Monolith, Monolith LLM, run, start, 9346857805768236
1787227791.970998, Self-RAG Monolith, Monolith LLM, first_token, start, 9346857809073782
1787227792.943953, Self-RAG Monolith, Monolith LLM, first_token, end, 9346858782044538
1787227794.758333, Self-RAG Monolith, Monolith LLM, n_generated_tokens, 32, 9346860596444610
1787227794.759660, Self-RAG Monolith, Monolith LLM, run, end, 9346860597743062
1787227794.759987, Self-RAG Monolith, Monolith router, run, start, 9346860598068887
1787227794.760155, Self-RAG Monolith, Monolith router, run, end, 9346860598217352
1787227794.760292, Self-RAG Monolith, End stage, run, start, 9346860598366712
1787227794.760725, Self-RAG Monolith, End stage, run, end, 9346860598798041
1787227794.761121, Self-RAG Monolith, pipeline - val, run, end, 58217320400890237694275695783565791125, 1787227791.932350, 1, 1, 9346860599203786
1787227798.054836, Self-RAG Monolith, pipeline - val, run, start, 206293285872860079914135514108900274190, 1787227798.054637, 1, 2, 9346863892925980
1787227798.055723, Self-RAG Monolith, Question dataloader, run, start, 9346863893812607
1787227798.056042, Self-RAG Monolith, Question dataloader, run, end, 9346863894105791
1787227798.056175, Self-RAG Monolith, Document retriever, run, start, 9346863894249792
1787227798.070652, Self-RAG Monolith, Document retriever, run, end, 9346863908733354
1787227798.070757, Self-RAG Monolith, Monolith formatter, run, start, 9346863908831642
1787227798.071104, Self-RAG Monolith, Monolith formatter, run, end, 9346863909169627
1787227798.071290, Self-RAG Monolith, Monolith LLM, run, start, 9346863909365340
1787227798.075032, Self-RAG Monolith, Monolith LLM, first_token, start, 9346863913100695
1787227799.056980, Self-RAG Monolith, Monolith LLM, first_token, end, 9346864895092837
1787227799.092862, Self-RAG Monolith, pipeline - val, run, start, 91535511333217257520124673965929729360, 1787227799.091790, 1, 3, 9346864930988157
1787227799.094062, Self-RAG Monolith, Question dataloader, run, start, 9346864932206145
1787227799.094987, Self-RAG Monolith, Question dataloader, run, end, 9346864933050116
1787227799.095157, Self-RAG Monolith, Document retriever, run, start, 9346864933236500
1787227799.110019, Self-RAG Monolith, Document retriever, run, end, 9346864948098623
1787227799.110281, Self-RAG Monolith, Monolith formatter, run, start, 9346864948362320
1787227799.110700, Self-RAG Monolith, Monolith formatter, run, end, 9346864948763377
1787227800.906294, Self-RAG Monolith, Monolith LLM, n_generated_tokens, 32, 9346866744383604
1787227800.907517, Self-RAG Monolith, Monolith LLM, run, end, 9346866745599319
1787227800.907611, Self-RAG Monolith, Monolith LLM, run, start, 9346866745672951
1787227800.907811, Self-RAG Monolith, Monolith router, run, start, 9346866745882168
1787227800.907917, Self-RAG Monolith, Monolith router, run, end, 9346866745978664
1787227800.908394, Self-RAG Monolith, End stage, run, start, 9346866746470474
1787227800.908791, Self-RAG Monolith, End stage, run, end, 9346866746864443
1787227800.909169, Self-RAG Monolith, pipeline - val, run, end, 206293285872860079914135514108900274190, 1787227798.054637, 1, 2, 9346866747255772
1787227800.911501, Self-RAG Monolith, Monolith LLM, first_token, start, 9346866749568787
1787227801.459624, Self-RAG Monolith, Monolith LLM, first_token, end, 9346867297733392
1787227801.548482, Self-RAG Monolith, pipeline - val, run, start, 90506479272409160104047074582736288489, 1787227801.548317, 1, 4, 9346867386570259
1787227801.549494, Self-RAG Monolith, Question dataloader, run, start, 9346867387578134
1787227801.550146, Self-RAG Monolith, Question dataloader, run, end, 9346867388226808
1787227801.550274, Self-RAG Monolith, Document retriever, run, start, 9346867388356472
1787227801.562769, Self-RAG Monolith, Document retriever, run, end, 9346867400851869
1787227801.562975, Self-RAG Monolith, Monolith formatter, run, start, 9346867401052909
1787227801.563385, Self-RAG Monolith, Monolith formatter, run, end, 9346867401451135
1787227803.499271, Self-RAG Monolith, Monolith LLM, n_generated_tokens, 35, 9346869337363738
1787227803.499632, Self-RAG Monolith, Monolith LLM, run, end, 9346869337696315
1787227803.499672, Self-RAG Monolith, Monolith LLM, run, start, 9346869337733035
1787227803.500399, Self-RAG Monolith, Monolith router, run, start, 9346869338471213
1787227803.500526, Self-RAG Monolith, Monolith router, run, end, 9346869338588094
1787227803.500682, Self-RAG Monolith, End stage, run, start, 9346869338754782
1787227803.500879, Self-RAG Monolith, End stage, run, end, 9346869338940799
1787227803.501009, Self-RAG Monolith, pipeline - val, run, end, 91535511333217257520124673965929729360, 1787227799.091790, 1, 3, 9346869339088991
1787227803.503516, Self-RAG Monolith, Monolith LLM, first_token, start, 9346869341591990
1787227804.296737, Self-RAG Monolith, Monolith LLM, first_token, end, 9346870134841807
1787227805.420016, Self-RAG Monolith, pipeline - val, run, start, 58981430844851436391264125098362105782, 1787227805.419735, 1, 5, 9346871258103609
1787227805.420630, Self-RAG Monolith, Question dataloader, run, start, 9346871258718603
1787227805.421139, Self-RAG Monolith, Question dataloader, run, end, 9346871259218396
1787227805.421409, Self-RAG Monolith, Document retriever, run, start, 9346871259483005
1787227805.433740, Self-RAG Monolith, Document retriever, run, end, 9346871271821809
1787227805.433972, Self-RAG Monolith, Monolith formatter, run, start, 9346871272048898
1787227805.434449, Self-RAG Monolith, Monolith formatter, run, end, 9346871272514339
1787227806.266139, Self-RAG Monolith, Monolith LLM, n_generated_tokens, 34, 9346872104227724
1787227806.266460, Self-RAG Monolith, Monolith LLM, run, end, 9346872104524669
1787227806.266497, Self-RAG Monolith, Monolith LLM, run, start, 9346872104557085
1787227806.266965, Self-RAG Monolith, Monolith router, run, start, 9346872105035550
1787227806.267065, Self-RAG Monolith, Monolith router, run, end, 9346872105126671
1787227806.267191, Self-RAG Monolith, End stage, run, start, 9346872105262591
1787227806.267387, Self-RAG Monolith, End stage, run, end, 9346872105448688
1787227806.268071, Self-RAG Monolith, pipeline - val, run, end, 90506479272409160104047074582736288489, 1787227801.548317, 1, 4, 9346872106152578
1787227806.269542, Self-RAG Monolith, Monolith LLM, first_token, start, 9346872107615398
1787227806.910116, Self-RAG Monolith, Monolith LLM, first_token, end, 9346872748306434
1787227807.772829, Self-RAG Monolith, pipeline - val, run, start, 141773059442970680572588625946517262596, 1787227807.772405, 1, 6, 9346873610960341
1787227807.773345, Self-RAG Monolith, Question dataloader, run, start, 9346873611454150
1787227807.774462, Self-RAG Monolith, Question dataloader, run, end, 9346873612567754
1787227807.775633, Self-RAG Monolith, Document retriever, run, start, 9346873613714813
1787227807.788098, Self-RAG Monolith, Document retriever, run, end, 9346873626178961
1787227807.788333, Self-RAG Monolith, Monolith formatter, run, start, 9346873626413890
1787227807.788870, Self-RAG Monolith, Monolith formatter, run, end, 9346873626933716
1787227808.913063, Self-RAG Monolith, pipeline - val, run, start, 103726213161652051460036831921431457448, 1787227808.912323, 1, 7, 9346874751153329
1787227808.913573, Self-RAG Monolith, Question dataloader, run, start, 9346874751649011
1787227808.914062, Self-RAG Monolith, Question dataloader, run, end, 9346874752138436
1787227808.914342, Self-RAG Monolith, Document retriever, run, start, 9346874752418501
1787227808.937388, Self-RAG Monolith, Document retriever, run, end, 9346874775492280
1787227808.937523, Self-RAG Monolith, Monolith formatter, run, start, 9346874775602024
1787227808.938146, Self-RAG Monolith, Monolith formatter, run, end, 9346874776209466
1787227809.007346, Self-RAG Monolith, Monolith LLM, n_generated_tokens, 35, 9346874845436484
1787227809.007740, Self-RAG Monolith, Monolith LLM, run, end, 9346874845804709
1787227809.007777, Self-RAG Monolith, Monolith LLM, run, start, 9346874845838501
1787227809.008231, Self-RAG Monolith, Monolith router, run, start, 9346874846310966
1787227809.008471, Self-RAG Monolith, Monolith router, run, end, 9346874846532951
1787227809.008615, Self-RAG Monolith, End stage, run, start, 9346874846687383
1787227809.008875, Self-RAG Monolith, End stage, run, end, 9346874846938568
1787227809.009029, Self-RAG Monolith, pipeline - val, run, end, 58981430844851436391264125098362105782, 1787227805.419735, 1, 5, 9346874847109497
1787227809.010480, Self-RAG Monolith, Monolith LLM, first_token, start, 9346874848555341
1787227809.602966, Self-RAG Monolith, pipeline - val, run, start, 186075124975996855147969656196330088202, 1787227809.602579, 1, 8, 9346875441069356
1787227809.603689, Self-RAG Monolith, Question dataloader, run, start, 9346875441785582
1787227809.604092, Self-RAG Monolith, Question dataloader, run, end, 9346875442154927
1787227809.604331, Self-RAG Monolith, Document retriever, run, start, 9346875442417024
1787227809.624495, Self-RAG Monolith, Document retriever, run, end, 9346875462579642
1787227809.624773, Self-RAG Monolith, Monolith formatter, run, start, 9346875462848955
1787227809.625804, Self-RAG Monolith, Monolith formatter, run, end, 9346875463868622
1787227809.668789, Self-RAG Monolith, Monolith LLM, first_token, end, 9346875506936348
1787227811.625191, Self-RAG Monolith, Monolith LLM, n_generated_tokens, 35, 9346877463278098
1787227811.626189, Self-RAG Monolith, Monolith LLM, run, end, 9346877464266757
1787227811.626275, Self-RAG Monolith, Monolith LLM, run, start, 9346877464336998
1787227811.626675, Self-RAG Monolith, Monolith router, run, start, 9346877464746759
1787227811.626781, Self-RAG Monolith, Monolith router, run, end, 9346877464842487
1787227811.626924, Self-RAG Monolith, End stage, run, start, 9346877465005480
1787227811.627133, Self-RAG Monolith, End stage, run, end, 9346877465195144
1787227811.627474, Self-RAG Monolith, pipeline - val, run, end, 141773059442970680572588625946517262596, 1787227807.772405, 1, 6, 9346877465557049
1787227811.628987, Self-RAG Monolith, Monolith LLM, first_token, start, 9346877467066894
1787227812.224316, Self-RAG Monolith, Monolith LLM, first_token, end, 9346878062446997
1787227814.187916, Self-RAG Monolith, pipeline - val, run, start, 288517254717393247098091671197238932934, 1787227814.187599, 1, 9, 9346880026007761
1787227814.188238, Self-RAG Monolith, Question dataloader, run, start, 9346880026321314
1787227814.189164, Self-RAG Monolith, Question dataloader, run, end, 9346880027245876
1787227814.189603, Self-RAG Monolith, Document retriever, run, start, 9346880027683878
1787227814.216027, Self-RAG Monolith, Document retriever, run, end, 9346880054110019
1787227814.216161, Self-RAG Monolith, Monolith formatter, run, start, 9346880054237715
1787227814.216575, Self-RAG Monolith, Monolith formatter, run, end, 9346880054639604
1787227814.262186, Self-RAG Monolith, Monolith LLM, n_generated_tokens, 34, 9346880100273657
1787227814.262507, Self-RAG Monolith, Monolith LLM, run, end, 9346880100572794
1787227814.262546, Self-RAG Monolith, Monolith LLM, run, start, 9346880100607034
1787227814.262896, Self-RAG Monolith, Monolith router, run, start, 9346880100968091
1787227814.263006, Self-RAG Monolith, Monolith router, run, end, 9346880101067676
1787227814.263249, Self-RAG Monolith, End stage, run, start, 9346880101322076
1787227814.263546, Self-RAG Monolith, End stage, run, end, 9346880101609133
1787227814.263709, Self-RAG Monolith, pipeline - val, run, end, 103726213161652051460036831921431457448, 1787227808.912323, 1, 7, 9346880101789678
1787227814.265839, Self-RAG Monolith, Monolith LLM, first_token, start, 9346880103914324
1787227814.945615, Self-RAG Monolith, Monolith LLM, first_token, end, 9346880783840497
1787227817.063010, Self-RAG Monolith, Monolith LLM, n_generated_tokens, 35, 9346882901098381
1787227817.064076, Self-RAG Monolith, Monolith LLM, run, end, 9346882902142048
1787227817.064119, Self-RAG Monolith, Monolith LLM, run, start, 9346882902180032
1787227817.064641, Self-RAG Monolith, Monolith router, run, start, 9346882902713137
1787227817.064745, Self-RAG Monolith, Monolith router, run, end, 9346882902806802
1787227817.064873, Self-RAG Monolith, End stage, run, start, 9346882902947586
1787227817.065075, Self-RAG Monolith, End stage, run, end, 9346882903137459
1787227817.065530, Self-RAG Monolith, pipeline - val, run, end, 186075124975996855147969656196330088202, 1787227809.602579, 1, 8, 9346882903607892
1787227817.068060, Self-RAG Monolith, Monolith LLM, first_token, start, 9346882906133467
1787227817.944349, Self-RAG Monolith, Monolith LLM, first_token, end, 9346883782504806
1787227819.824998, Self-RAG Monolith, Monolith LLM, n_generated_tokens, 32, 9346885663086255
1787227819.826597, Self-RAG Monolith, Monolith LLM, run, end, 9346885664676276
1787227819.827035, Self-RAG Monolith, Monolith router, run, start, 9346885665120181
1787227819.835731, Self-RAG Monolith, Monolith router, run, end, 9346885673806334
1787227819.836083, Self-RAG Monolith, End stage, run, start, 9346885674161039
1787227819.836682, Self-RAG Monolith, End stage, run, end, 9346885674757249
1787227819.837048, Self-RAG Monolith, pipeline - val, run, end, 288517254717393247098091671197238932934, 1787227814.187599, 1, 9, 9346885675131922
1787227821.832673, Self-RAG Monolith, pipeline - val, run, start, 252456699182039977930833863953575224920, 1787227821.832352, 1, 10, 9346887670761932
1787227821.833138, Self-RAG Monolith, Question dataloader, run, start, 9346887671220958
1787227821.833412, Self-RAG Monolith, Question dataloader, run, end, 9346887671475615
1787227821.833664, Self-RAG Monolith, Document retriever, run, start, 9346887671743135
1787227821.844095, Self-RAG Monolith, Document retriever, run, end, 9346887682174158
1787227821.844191, Self-RAG Monolith, Monolith formatter, run, start, 9346887682267806
1787227821.844868, Self-RAG Monolith, Monolith formatter, run, end, 9346887682932656
1787227821.845005, Self-RAG Monolith, Monolith LLM, run, start, 9346887683083248
1787227821.847272, Self-RAG Monolith, Monolith LLM, first_token, start, 9346887685350503
1787227822.401870, Self-RAG Monolith, Monolith LLM, first_token, end, 9346888239972648
1787227824.313676, Self-RAG Monolith, Monolith LLM, n_generated_tokens, 33, 9346890151762365
1787227824.314999, Self-RAG Monolith, Monolith LLM, run, end, 9346890153074449
1787227824.315531, Self-RAG Monolith, Monolith router, run, start, 9346890153613266
1787227824.315679, Self-RAG Monolith, Monolith router, run, end, 9346890153740771
1787227824.315954, Self-RAG Monolith, End stage, run, start, 9346890154034820
1787227824.316204, Self-RAG Monolith, End stage, run, end, 9346890154268676
1787227824.316331, Self-RAG Monolith, pipeline - val, run, end, 252456699182039977930833863953575224920, 1787227821.832352, 1, 10, 9346890154404789
1787227830.193246, Self-RAG Monolith, pipeline - val, run, start, 81971125576747680471953412729514409815, 1787227830.192876, 1, 11, 9346896031336880
1787227830.193720, Self-RAG Monolith, Question dataloader, run, start, 9346896031803025
1787227830.194216, Self-RAG Monolith, Question dataloader, run, end, 9346896032293138
1787227830.194542, Self-RAG Monolith, Document retriever, run, start, 9346896032626115
