1787484070.181809, Self-RAG Monolith, pipeline, prepare, start, 9603136020833602
1787484070.182894, Self-RAG Monolith, Question dataloader, prepare, start, 9603136020956610
1787484071.584012, Self-RAG Monolith, Question dataloader, prepare, end, 9603137422084275
1787484071.584067, Self-RAG Monolith, Document retriever, prepare, start, 9603137422127763
1787484085.626957, Self-RAG Monolith, Document retriever, prepare, end, 9603151465048075
1787484085.627059, Self-RAG Monolith, Monolith formatter, prepare, start, 9603151465123339
1787484085.627434, Self-RAG Monolith, Monolith formatter, prepare, end, 9603151465497148
1787484085.627455, Self-RAG Monolith, Monolith LLM, prepare, start, 9603151465514908
1787484154.941785, Self-RAG Monolith, Monolith LLM, prepare, end, 9603220779865419
1787484154.943383, Self-RAG Monolith, Query rewrite formatter, prepare, start, 9603220781469505
1787484154.943750, Self-RAG Monolith, Query rewrite formatter, prepare, end, 9603220781835394
1787484154.943829, Self-RAG Monolith, Query rewrite LLM, prepare, start, 9603220781889890
1787484154.944460, Self-RAG Monolith, Query rewrite LLM, prepare, end, 9603220782543316
1787484154.944534, Self-RAG Monolith, pipeline, prepare, end, 9603220782862677
1787484154.946193, Self-RAG Monolith, pipeline - val, run, start, 31087753259259058301572365699474630866, 1787484154.945862, 1, 1, 9603220784275418
1787484154.946889, Self-RAG Monolith, Question dataloader, run, start, 9603220784967852
1787484154.947476, Self-RAG Monolith, Question dataloader, run, end, 9603220785541934
1787484154.947680, Self-RAG Monolith, Document retriever, run, start, 9603220785766766
1787484154.978300, Self-RAG Monolith, Document retriever, run, end, 9603220816384961
1787484154.978452, Self-RAG Monolith, Monolith formatter, run, start, 9603220816542833
1787484154.994728, Self-RAG Monolith, Monolith formatter, run, end, 9603220832795269
1787484154.995432, Self-RAG Monolith, Monolith LLM, run, start, 9603220833521623
1787484155.000808, Self-RAG Monolith, Monolith LLM, n_prompt_tokens, 1093, 9603220838896777
1787484155.000910, Self-RAG Monolith, Monolith LLM, first_token, start, 9603220838975801
1787484155.999898, Self-RAG Monolith, Monolith LLM, first_token, end, 9603221837994758
1787484157.690194, Self-RAG Monolith, Monolith LLM, n_generated_tokens, 32, 9603223528282471
1787484157.690574, Self-RAG Monolith, Monolith LLM, run, end, 9603223528640376
1787484157.690892, Self-RAG Monolith, Monolith router, run, start, 9603223528971465
1787484157.691053, Self-RAG Monolith, Monolith router, run, end, 9603223529114682
1787484157.691571, Self-RAG Monolith, End stage, run, start, 9603223529669483
1787484157.692218, Self-RAG Monolith, End stage, run, end, 9603223530280461
1787484157.692357, Self-RAG Monolith, pipeline - val, run, end, 31087753259259058301572365699474630866, 1787484154.945862, 1, 1, 9603223530438702
1787484157.692866, Self-RAG Monolith, pipeline - val, run, start, 19789815005425853011270368980264501491, 1787484157.692725, 1, 2, 9603223530940863
1787484157.693557, Self-RAG Monolith, Question dataloader, run, start, 9603223531635874
1787484157.693882, Self-RAG Monolith, Question dataloader, run, end, 9603223531945475
1787484157.694305, Self-RAG Monolith, Document retriever, run, start, 9603223532393092
1787484157.717313, Self-RAG Monolith, Document retriever, run, end, 9603223555403102
1787484157.717479, Self-RAG Monolith, Monolith formatter, run, start, 9603223555571295
1787484157.718078, Self-RAG Monolith, Monolith formatter, run, end, 9603223556140144
1787484157.718199, Self-RAG Monolith, Monolith LLM, run, start, 9603223556272289
1787484157.722160, Self-RAG Monolith, Monolith LLM, n_prompt_tokens, 1606, 9603223560227213
1787484157.722194, Self-RAG Monolith, Monolith LLM, first_token, start, 9603223560255294
1787484158.751031, Self-RAG Monolith, Monolith LLM, first_token, end, 9603224589128184
1787484160.548990, Self-RAG Monolith, Monolith LLM, n_generated_tokens, 32, 9603226387074443
1787484160.549796, Self-RAG Monolith, Monolith LLM, run, end, 9603226387875278
