1787215526.777012, Self-RAG Decomposed (multi-hop), pipeline, prepare, start, 9334592615484893
1787215526.777529, Self-RAG Decomposed (multi-hop), Question dataloader, prepare, start, 9334592615592365
1787215528.339498, Self-RAG Decomposed (multi-hop), Question dataloader, prepare, end, 9334594177569209
1787215528.339550, Self-RAG Decomposed (multi-hop), Document retriever, prepare, start, 9334594177611322
1787215545.186414, Self-RAG Decomposed (multi-hop), Document retriever, prepare, end, 9334611024507534
1787215545.186521, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, prepare, start, 9334611024582974
1787215545.186898, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, prepare, end, 9334611024959983
1787215545.186914, Self-RAG Decomposed (multi-hop), Grader LLM, prepare, start, 9334611024973935
1787215590.793206, Self-RAG Decomposed (multi-hop), Grader LLM, prepare, end, 9334656631287503
1787215590.794569, Self-RAG Decomposed (multi-hop), Answer generator formatter, prepare, start, 9334656632662243
1787215590.796019, Self-RAG Decomposed (multi-hop), Answer generator formatter, prepare, end, 9334656634109047
1787215590.796113, Self-RAG Decomposed (multi-hop), Generator LLM, prepare, start, 9334656634174328
1787215635.281417, Self-RAG Decomposed (multi-hop), Generator LLM, prepare, end, 9334701119496313
1787215635.281495, Self-RAG Decomposed (multi-hop), Hallucination grader formatter, prepare, start, 9334701119556041
1787215635.283077, Self-RAG Decomposed (multi-hop), Hallucination grader formatter, prepare, end, 9334701121163869
1787215635.283168, Self-RAG Decomposed (multi-hop), Hallucination LLM, prepare, start, 9334701121228830
1787215681.587772, Self-RAG Decomposed (multi-hop), Hallucination LLM, prepare, end, 9334747425850210
1787215681.588943, Self-RAG Decomposed (multi-hop), Query rewrite formatter, prepare, start, 9334747427054613
1787215681.590281, Self-RAG Decomposed (multi-hop), Query rewrite formatter, prepare, end, 9334747428372073
1787215681.590378, Self-RAG Decomposed (multi-hop), Query rewrite LLM, prepare, start, 9334747428438841
1787215681.590846, Self-RAG Decomposed (multi-hop), Query rewrite LLM, prepare, end, 9334747428927611
1787215681.591114, Self-RAG Decomposed (multi-hop), pipeline, prepare, end, 9334747429410412
1787215681.592463, Self-RAG Decomposed (multi-hop), pipeline - val, run, start, 136146376003418197937900618129956980375, 1787215681.592389, 1, 1, 9334747430548383
1787215681.592757, Self-RAG Decomposed (multi-hop), Question dataloader, run, start, 9334747430831920
1787215681.593369, Self-RAG Decomposed (multi-hop), Question dataloader, run, end, 9334747431441394
1787215681.593528, Self-RAG Decomposed (multi-hop), Document retriever, run, start, 9334747431599506
1787215681.655802, Self-RAG Decomposed (multi-hop), Document retriever, run, end, 9334747493889603
1787215681.655935, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, start, 9334747494026579
1787215681.691041, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, end, 9334747529127895
1787215681.691365, Self-RAG Decomposed (multi-hop), Grader LLM, run, start, 9334747529444152
1787215681.695021, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, start, 9334747533103346
1787215682.377531, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, end, 9334748215623665
1787215682.515455, Self-RAG Decomposed (multi-hop), Grader LLM, n_generated_tokens, 4, 9334748353569928
1787215682.516593, Self-RAG Decomposed (multi-hop), Grader LLM, run, end, 9334748354657995
1787215682.517248, Self-RAG Decomposed (multi-hop), Grade router, run, start, 9334748355329677
1787215682.518010, Self-RAG Decomposed (multi-hop), Grade router, run, end, 9334748356086815
1787215682.518126, Self-RAG Decomposed (multi-hop), Query rewrite formatter, run, start, 9334748356204928
1787215682.519088, Self-RAG Decomposed (multi-hop), Query rewrite formatter, run, end, 9334748357163362
1787215682.519425, Self-RAG Decomposed (multi-hop), Query rewrite LLM, run, start, 9334748357508723
1787215682.522790, Self-RAG Decomposed (multi-hop), Query rewrite LLM, first_token, start, 9334748360872253
1787215682.894917, Self-RAG Decomposed (multi-hop), Query rewrite LLM, first_token, end, 9334748733035372
1787215683.176985, Self-RAG Decomposed (multi-hop), Query rewrite LLM, n_generated_tokens, 7, 9334749015069132
1787215683.177339, Self-RAG Decomposed (multi-hop), Query rewrite LLM, run, end, 9334749015406157
1787215683.177514, Self-RAG Decomposed (multi-hop), Document retriever, run, start, 9334749015586765
1787215683.186939, Self-RAG Decomposed (multi-hop), Document retriever, run, end, 9334749025017720
1787215683.187235, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, start, 9334749025313609
1787215683.187885, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, end, 9334749025960379
1787215683.188012, Self-RAG Decomposed (multi-hop), Grader LLM, run, start, 9334749026082955
1787215683.190535, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, start, 9334749028608114
1787215683.662246, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, end, 9334749500430955
1787215683.831295, Self-RAG Decomposed (multi-hop), Grader LLM, n_generated_tokens, 4, 9334749669381706
1787215683.832050, Self-RAG Decomposed (multi-hop), Grader LLM, run, end, 9334749670115980
1787215683.832317, Self-RAG Decomposed (multi-hop), Grade router, run, start, 9334749670398557
1787215683.832723, Self-RAG Decomposed (multi-hop), Grade router, run, end, 9334749670800926
1787215683.833108, Self-RAG Decomposed (multi-hop), Query rewrite formatter, run, start, 9334749671189119
1787215683.834018, Self-RAG Decomposed (multi-hop), Query rewrite formatter, run, end, 9334749672092978
1787215683.834357, Self-RAG Decomposed (multi-hop), Query rewrite LLM, run, start, 9334749672432723
1787215683.836879, Self-RAG Decomposed (multi-hop), Query rewrite LLM, first_token, start, 9334749674958090
1787215684.260795, Self-RAG Decomposed (multi-hop), Query rewrite LLM, first_token, end, 9334750099020763
1787215684.498608, Self-RAG Decomposed (multi-hop), Query rewrite LLM, n_generated_tokens, 7, 9334750336691165
1787215684.498902, Self-RAG Decomposed (multi-hop), Query rewrite LLM, run, end, 9334750336968798
1787215684.499040, Self-RAG Decomposed (multi-hop), Document retriever, run, start, 9334750337125678
1787215684.508782, Self-RAG Decomposed (multi-hop), Document retriever, run, end, 9334750346858986
1787215684.508994, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, start, 9334750347076283
1787215684.509867, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, end, 9334750347946045
1787215684.509959, Self-RAG Decomposed (multi-hop), Grader LLM, run, start, 9334750348025405
1787215684.512278, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, start, 9334750350346420
1787215684.984562, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, end, 9334750822678431
1787215685.141095, Self-RAG Decomposed (multi-hop), Grader LLM, n_generated_tokens, 4, 9334750979178203
1787215685.141732, Self-RAG Decomposed (multi-hop), Grader LLM, run, end, 9334750979797725
1787215685.142022, Self-RAG Decomposed (multi-hop), Grade router, run, start, 9334750980108701
1787215685.142289, Self-RAG Decomposed (multi-hop), Grade router, run, end, 9334750980359086
1787215685.142429, Self-RAG Decomposed (multi-hop), End stage, run, start, 9334750980526943
1787215685.143028, Self-RAG Decomposed (multi-hop), End stage, run, end, 9334750981098928
1787215685.143110, Self-RAG Decomposed (multi-hop), pipeline - val, run, end, 136146376003418197937900618129956980375, 1787215681.592389, 1, 1, 9334750981198896
1787215685.295979, Self-RAG Decomposed (multi-hop), pipeline - val, run, start, 217896942019500880492831607163943801965, 1787215685.295119, 1, 2, 9334751134073202
1787215685.296322, Self-RAG Decomposed (multi-hop), Question dataloader, run, start, 9334751134398643
1787215685.296866, Self-RAG Decomposed (multi-hop), Question dataloader, run, end, 9334751134936565
1787215685.296990, Self-RAG Decomposed (multi-hop), Document retriever, run, start, 9334751135060437
1787215685.307453, Self-RAG Decomposed (multi-hop), Document retriever, run, end, 9334751145520131
1787215685.307675, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, start, 9334751145754899
1787215685.308444, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, end, 9334751146520437
1787215685.308505, Self-RAG Decomposed (multi-hop), Grader LLM, run, start, 9334751146568806
1787215685.310893, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, start, 9334751148959148
1787215685.654802, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, end, 9334751493049724
1787215685.786030, Self-RAG Decomposed (multi-hop), Grader LLM, n_generated_tokens, 4, 9334751624117375
1787215685.786343, Self-RAG Decomposed (multi-hop), Grader LLM, run, end, 9334751624408624
1787215685.786598, Self-RAG Decomposed (multi-hop), Grade router, run, start, 9334751624679425
1787215685.787021, Self-RAG Decomposed (multi-hop), Grade router, run, end, 9334751625102594
1787215685.787135, Self-RAG Decomposed (multi-hop), Query rewrite formatter, run, start, 9334751625213058
1787215685.796742, Self-RAG Decomposed (multi-hop), Query rewrite formatter, run, end, 9334751634828222
1787215685.797128, Self-RAG Decomposed (multi-hop), Query rewrite LLM, run, start, 9334751635201151
1787215685.799467, Self-RAG Decomposed (multi-hop), Query rewrite LLM, first_token, start, 9334751637532501
1787215686.139459, Self-RAG Decomposed (multi-hop), Query rewrite LLM, first_token, end, 9334751977564730
