1787479520.224808, Self-RAG Decomposed (multi-hop), pipeline, prepare, start, 9598586063142342
1787479520.225219, Self-RAG Decomposed (multi-hop), Question dataloader, prepare, start, 9598586063285207
1787479521.509954, Self-RAG Decomposed (multi-hop), Question dataloader, prepare, end, 9598587348026145
1787479521.510007, Self-RAG Decomposed (multi-hop), Document retriever, prepare, start, 9598587348068593
1787479538.197915, Self-RAG Decomposed (multi-hop), Document retriever, prepare, end, 9598604036016603
1787479538.198026, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, prepare, start, 9598604036090300
1787479538.198410, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, prepare, end, 9598604036473088
1787479538.198427, Self-RAG Decomposed (multi-hop), Grader LLM, prepare, start, 9598604036486928
1787479584.955497, Self-RAG Decomposed (multi-hop), Grader LLM, prepare, end, 9598650793579008
1787479584.956836, Self-RAG Decomposed (multi-hop), Answer generator formatter, prepare, start, 9598650794918828
1787479584.957861, Self-RAG Decomposed (multi-hop), Answer generator formatter, prepare, end, 9598650795947558
1787479584.957955, Self-RAG Decomposed (multi-hop), Generator LLM, prepare, start, 9598650796015606
1787479630.416103, Self-RAG Decomposed (multi-hop), Generator LLM, prepare, end, 9598696254185056
1787479630.416186, Self-RAG Decomposed (multi-hop), Hallucination grader formatter, prepare, start, 9598696254248097
1787479630.417169, Self-RAG Decomposed (multi-hop), Hallucination grader formatter, prepare, end, 9598696255249402
1787479630.417247, Self-RAG Decomposed (multi-hop), Hallucination LLM, prepare, start, 9598696255307930
1787479674.602776, Self-RAG Decomposed (multi-hop), Hallucination LLM, prepare, end, 9598740440857328
1787479674.603759, Self-RAG Decomposed (multi-hop), Query rewrite formatter, prepare, start, 9598740441870825
1787479674.604514, Self-RAG Decomposed (multi-hop), Query rewrite formatter, prepare, end, 9598740442596319
1787479674.604615, Self-RAG Decomposed (multi-hop), Query rewrite LLM, prepare, start, 9598740442676607
1787479674.605058, Self-RAG Decomposed (multi-hop), Query rewrite LLM, prepare, end, 9598740443141251
1787479674.605870, Self-RAG Decomposed (multi-hop), pipeline, prepare, end, 9598740444188796
1787479674.607304, Self-RAG Decomposed (multi-hop), pipeline - val, run, start, 181532100649067198857005735978442353977, 1787479674.607213, 1, 1, 9598740445387622
1787479674.607608, Self-RAG Decomposed (multi-hop), Question dataloader, run, start, 9598740445690552
1787479674.608329, Self-RAG Decomposed (multi-hop), Question dataloader, run, end, 9598740446404574
1787479674.608491, Self-RAG Decomposed (multi-hop), Document retriever, run, start, 9598740446565504
1787479674.672531, Self-RAG Decomposed (multi-hop), Document retriever, run, end, 9598740510614592
1787479674.672665, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, start, 9598740510746417
1787479674.708751, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, end, 9598740546833499
1787479674.709826, Self-RAG Decomposed (multi-hop), Grader LLM, run, start, 9598740547897556
1787479674.712206, Self-RAG Decomposed (multi-hop), Grader LLM, n_prompt_tokens, 689, 9598740550278584
1787479674.712254, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, start, 9598740550314792
1787479675.366788, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, end, 9598741204886976
1787479675.505064, Self-RAG Decomposed (multi-hop), Grader LLM, n_generated_tokens, 4, 9598741343152292
1787479675.505537, Self-RAG Decomposed (multi-hop), Grader LLM, run, end, 9598741343602232
1787479675.505865, Self-RAG Decomposed (multi-hop), Grade router, run, start, 9598741343946506
1787479675.506189, Self-RAG Decomposed (multi-hop), Grade router, run, end, 9598741344261613
1787479675.506561, Self-RAG Decomposed (multi-hop), Query rewrite formatter, run, start, 9598741344638896
1787479675.507516, Self-RAG Decomposed (multi-hop), Query rewrite formatter, run, end, 9598741345589992
1787479675.507756, Self-RAG Decomposed (multi-hop), Query rewrite LLM, run, start, 9598741345831226
1787479675.509836, Self-RAG Decomposed (multi-hop), Query rewrite LLM, n_prompt_tokens, 634, 9598741347902859
1787479675.509867, Self-RAG Decomposed (multi-hop), Query rewrite LLM, first_token, start, 9598741347928587
1787479675.843533, Self-RAG Decomposed (multi-hop), Query rewrite LLM, first_token, end, 9598741681627642
1787479676.144485, Self-RAG Decomposed (multi-hop), Query rewrite LLM, n_generated_tokens, 7, 9598741982568698
1787479676.144746, Self-RAG Decomposed (multi-hop), Query rewrite LLM, run, end, 9598741982811500
1787479676.145087, Self-RAG Decomposed (multi-hop), Document retriever, run, start, 9598741983169951
1787479676.158105, Self-RAG Decomposed (multi-hop), Document retriever, run, end, 9598741996186090
1787479676.158221, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, start, 9598741996301851
1787479676.159271, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, end, 9598741997346883
1787479676.159480, Self-RAG Decomposed (multi-hop), Grader LLM, run, start, 9598741997554101
1787479676.162092, Self-RAG Decomposed (multi-hop), Grader LLM, n_prompt_tokens, 1038, 9598742000164474
1787479676.162143, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, start, 9598742000203419
1787479676.656940, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, end, 9598742495037396
1787479676.794397, Self-RAG Decomposed (multi-hop), Grader LLM, n_generated_tokens, 4, 9598742632484320
1787479676.794982, Self-RAG Decomposed (multi-hop), Grader LLM, run, end, 9598742633065525
1787479676.795352, Self-RAG Decomposed (multi-hop), Grade router, run, start, 9598742633444824
1787479676.795666, Self-RAG Decomposed (multi-hop), Grade router, run, end, 9598742633735114
1787479676.795982, Self-RAG Decomposed (multi-hop), Query rewrite formatter, run, start, 9598742634054909
1787479676.796376, Self-RAG Decomposed (multi-hop), Query rewrite formatter, run, end, 9598742634438816
1787479676.796789, Self-RAG Decomposed (multi-hop), Query rewrite LLM, run, start, 9598742634866484
1787479676.798999, Self-RAG Decomposed (multi-hop), Query rewrite LLM, n_prompt_tokens, 928, 9598742637065622
1787479676.799035, Self-RAG Decomposed (multi-hop), Query rewrite LLM, first_token, start, 9598742637095622
1787479677.233009, Self-RAG Decomposed (multi-hop), Query rewrite LLM, first_token, end, 9598743071098568
1787479677.499601, Self-RAG Decomposed (multi-hop), Query rewrite LLM, n_generated_tokens, 7, 9598743337685304
1787479677.500150, Self-RAG Decomposed (multi-hop), Query rewrite LLM, run, end, 9598743338228269
1787479677.501238, Self-RAG Decomposed (multi-hop), Document retriever, run, start, 9598743339344294
1787479677.511585, Self-RAG Decomposed (multi-hop), Document retriever, run, end, 9598743349662107
1787479677.511819, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, start, 9598743349901213
1787479677.512628, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, end, 9598743350702595
1787479677.512799, Self-RAG Decomposed (multi-hop), Grader LLM, run, start, 9598743350877013
1787479677.515168, Self-RAG Decomposed (multi-hop), Grader LLM, n_prompt_tokens, 1038, 9598743353237496
1787479677.515208, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, start, 9598743353268856
1787479677.999811, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, end, 9598743837905753
1787479678.132809, Self-RAG Decomposed (multi-hop), Grader LLM, n_generated_tokens, 4, 9598743970892685
1787479678.133169, Self-RAG Decomposed (multi-hop), Grader LLM, run, end, 9598743971234144
1787479678.133794, Self-RAG Decomposed (multi-hop), Grade router, run, start, 9598743971873845
1787479678.134094, Self-RAG Decomposed (multi-hop), Grade router, run, end, 9598743972169047
1787479678.134455, Self-RAG Decomposed (multi-hop), End stage, run, start, 9598743972529866
1787479678.134698, Self-RAG Decomposed (multi-hop), End stage, run, end, 9598743972760748
1787479678.135323, Self-RAG Decomposed (multi-hop), pipeline - val, run, end, 181532100649067198857005735978442353977, 1787479674.607213, 1, 1, 9598743973438626
1787479678.136443, Self-RAG Decomposed (multi-hop), pipeline - val, run, start, 53180910823939584659635227257127832377, 1787479678.135895, 1, 2, 9598743974517963
1787479678.136696, Self-RAG Decomposed (multi-hop), Question dataloader, run, start, 9598743974775933
1787479678.137618, Self-RAG Decomposed (multi-hop), Question dataloader, run, end, 9598743975689988
1787479678.137859, Self-RAG Decomposed (multi-hop), Document retriever, run, start, 9598743975929830
1787479678.149847, Self-RAG Decomposed (multi-hop), Document retriever, run, end, 9598743987923961
1787479678.149961, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, start, 9598743988042650
1787479678.150899, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, end, 9598743988975665
1787479678.151462, Self-RAG Decomposed (multi-hop), Grader LLM, run, start, 9598743989535814
1787479678.153429, Self-RAG Decomposed (multi-hop), Grader LLM, n_prompt_tokens, 690, 9598743991497990
1787479678.153475, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, start, 9598743991536214
1787479678.504463, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, end, 9598744342559816
1787479678.631686, Self-RAG Decomposed (multi-hop), Grader LLM, n_generated_tokens, 4, 9598744469771309
1787479678.632024, Self-RAG Decomposed (multi-hop), Grader LLM, run, end, 9598744470090991
1787479678.632288, Self-RAG Decomposed (multi-hop), Grade router, run, start, 9598744470367650
1787479678.632524, Self-RAG Decomposed (multi-hop), Grade router, run, end, 9598744470595300
1787479678.632631, Self-RAG Decomposed (multi-hop), Query rewrite formatter, run, start, 9598744470703076
1787479678.632991, Self-RAG Decomposed (multi-hop), Query rewrite formatter, run, end, 9598744471055223
1787479678.633152, Self-RAG Decomposed (multi-hop), Query rewrite LLM, run, start, 9598744471228409
1787479678.635151, Self-RAG Decomposed (multi-hop), Query rewrite LLM, n_prompt_tokens, 666, 9598744473217817
1787479678.635182, Self-RAG Decomposed (multi-hop), Query rewrite LLM, first_token, start, 9598744473242873
1787479678.977390, Self-RAG Decomposed (multi-hop), Query rewrite LLM, first_token, end, 9598744815484019
1787479679.335452, Self-RAG Decomposed (multi-hop), Query rewrite LLM, n_generated_tokens, 9, 9598745173536347
1787479679.336156, Self-RAG Decomposed (multi-hop), Query rewrite LLM, run, end, 9598745174235249
1787479679.336781, Self-RAG Decomposed (multi-hop), Document retriever, run, start, 9598745174852694
1787479679.346266, Self-RAG Decomposed (multi-hop), Document retriever, run, end, 9598745184343076
1787479679.346373, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, start, 9598745184453717
1787479679.347323, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, end, 9598745185398333
1787479679.347466, Self-RAG Decomposed (multi-hop), Grader LLM, run, start, 9598745185543566
1787479679.350765, Self-RAG Decomposed (multi-hop), Grader LLM, n_prompt_tokens, 1300, 9598745188848009
1787479679.350833, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, start, 9598745188893289
1787479679.959061, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, end, 9598745797194517
1787479680.104965, Self-RAG Decomposed (multi-hop), Grader LLM, n_generated_tokens, 4, 9598745943049728
1787479680.105591, Self-RAG Decomposed (multi-hop), Grader LLM, run, end, 9598745943657189
1787479680.106353, Self-RAG Decomposed (multi-hop), Grade router, run, start, 9598745944434987
1787479680.106861, Self-RAG Decomposed (multi-hop), Grade router, run, end, 9598745944944399
1787479680.107246, Self-RAG Decomposed (multi-hop), Query rewrite formatter, run, start, 9598745945326146
1787479680.108195, Self-RAG Decomposed (multi-hop), Query rewrite formatter, run, end, 9598745946271450
1787479680.108714, Self-RAG Decomposed (multi-hop), Query rewrite LLM, run, start, 9598745946793630
1787479680.111752, Self-RAG Decomposed (multi-hop), Query rewrite LLM, n_prompt_tokens, 1053, 9598745949835527
1787479680.111837, Self-RAG Decomposed (multi-hop), Query rewrite LLM, first_token, start, 9598745949897704
1787479680.619808, Self-RAG Decomposed (multi-hop), Query rewrite LLM, first_token, end, 9598746457929351
1787479681.009157, Self-RAG Decomposed (multi-hop), Query rewrite LLM, n_generated_tokens, 9, 9598746847263259
1787479681.009958, Self-RAG Decomposed (multi-hop), Query rewrite LLM, run, end, 9598746848023473
1787479681.010210, Self-RAG Decomposed (multi-hop), Document retriever, run, start, 9598746848282227
1787479681.020837, Self-RAG Decomposed (multi-hop), Document retriever, run, end, 9598746858914842
1787479681.020953, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, start, 9598746859034123
1787479681.021854, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, end, 9598746859929379
1787479681.022008, Self-RAG Decomposed (multi-hop), Grader LLM, run, start, 9598746860087684
1787479681.025236, Self-RAG Decomposed (multi-hop), Grader LLM, n_prompt_tokens, 1300, 9598746863307710
1787479681.025285, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, start, 9598746863345374
1787479681.634348, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, end, 9598747472441715
1787479681.776681, Self-RAG Decomposed (multi-hop), Grader LLM, n_generated_tokens, 4, 9598747614766991
1787479681.777291, Self-RAG Decomposed (multi-hop), Grader LLM, run, end, 9598747615370084
1787479681.777718, Self-RAG Decomposed (multi-hop), Grade router, run, start, 9598747615806679
1787479681.778255, Self-RAG Decomposed (multi-hop), Grade router, run, end, 9598747616335868
1787479681.778422, Self-RAG Decomposed (multi-hop), End stage, run, start, 9598747616496877
1787479681.778962, Self-RAG Decomposed (multi-hop), End stage, run, end, 9598747617036561
1787479681.779183, Self-RAG Decomposed (multi-hop), pipeline - val, run, end, 53180910823939584659635227257127832377, 1787479678.135895, 1, 2, 9598747617260147
1787479681.779915, Self-RAG Decomposed (multi-hop), pipeline - val, run, start, 135387468901436558727028364036615358896, 1787479681.779849, 1, 3, 9598747617979993
1787479681.780139, Self-RAG Decomposed (multi-hop), Question dataloader, run, start, 9598747618221579
1787479681.780813, Self-RAG Decomposed (multi-hop), Question dataloader, run, end, 9598747618895249
1787479681.781260, Self-RAG Decomposed (multi-hop), Document retriever, run, start, 9598747619335076
1787479681.793574, Self-RAG Decomposed (multi-hop), Document retriever, run, end, 9598747631652777
1787479681.793684, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, start, 9598747631765002
1787479681.794564, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, end, 9598747632638417
1787479681.794748, Self-RAG Decomposed (multi-hop), Grader LLM, run, start, 9598747632821954
1787479681.797094, Self-RAG Decomposed (multi-hop), Grader LLM, n_prompt_tokens, 875, 9598747635163030
1787479681.797133, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, start, 9598747635195078
1787479682.201540, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, end, 9598748039639119
1787479682.340117, Self-RAG Decomposed (multi-hop), Grader LLM, n_generated_tokens, 4, 9598748178202858
1787479682.340433, Self-RAG Decomposed (multi-hop), Grader LLM, run, end, 9598748178499964
1787479682.340849, Self-RAG Decomposed (multi-hop), Grade router, run, start, 9598748178935760
1787479682.341147, Self-RAG Decomposed (multi-hop), Grade router, run, end, 9598748179216338
1787479682.341261, Self-RAG Decomposed (multi-hop), Answer generator formatter, run, start, 9598748179330003
1787479682.341548, Self-RAG Decomposed (multi-hop), Answer generator formatter, run, end, 9598748179610373
1787479682.342090, Self-RAG Decomposed (multi-hop), Generator LLM, run, start, 9598748180191978
1787479682.346687, Self-RAG Decomposed (multi-hop), Generator LLM, n_prompt_tokens, 886, 9598748184766016
1787479682.346758, Self-RAG Decomposed (multi-hop), Generator LLM, first_token, start, 9598748184826272
1787479682.782959, Self-RAG Decomposed (multi-hop), Generator LLM, first_token, end, 9598748621054138
1787479683.018957, Self-RAG Decomposed (multi-hop), Generator LLM, n_generated_tokens, 6, 9598748857041905
1787479683.019849, Self-RAG Decomposed (multi-hop), Generator LLM, run, end, 9598748857927464
1787479683.020498, Self-RAG Decomposed (multi-hop), Hallucination grader formatter, run, start, 9598748858585997
1787479683.021395, Self-RAG Decomposed (multi-hop), Hallucination grader formatter, run, end, 9598748859475252
1787479683.021504, Self-RAG Decomposed (multi-hop), Hallucination LLM, run, start, 9598748859574837
