1787222859.309254, Self-RAG Decomposed-Shared (multi-hop), pipeline, prepare, start, 9341925147700191
1787222859.309746, Self-RAG Decomposed-Shared (multi-hop), Question dataloader, prepare, start, 9341925147810079
1787222865.618166, Self-RAG Decomposed-Shared (multi-hop), Question dataloader, prepare, end, 9341931456237464
1787222865.618221, Self-RAG Decomposed-Shared (multi-hop), Document retriever, prepare, start, 9341931456281865
1787222882.430139, Self-RAG Decomposed-Shared (multi-hop), Document retriever, prepare, end, 9341948268234367
1787222882.430252, Self-RAG Decomposed-Shared (multi-hop), Retrieval grader formatter, prepare, start, 9341948268313695
1787222882.430604, Self-RAG Decomposed-Shared (multi-hop), Retrieval grader formatter, prepare, end, 9341948268667248
1787222882.430623, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), prepare, start, 9341948268682545
1787222929.674745, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), prepare, end, 9341995512824552
1787222929.676839, Self-RAG Decomposed-Shared (multi-hop), Answer generator formatter, prepare, start, 9341995514930510
1787222929.677877, Self-RAG Decomposed-Shared (multi-hop), Answer generator formatter, prepare, end, 9341995515964481
1787222929.677977, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (generate), prepare, start, 9341995516037921
1787222929.679065, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (generate), prepare, end, 9341995517158212
1787222929.679161, Self-RAG Decomposed-Shared (multi-hop), Hallucination grader formatter, prepare, start, 9341995517221620
1787222929.679352, Self-RAG Decomposed-Shared (multi-hop), Hallucination grader formatter, prepare, end, 9341995517414149
1787222929.679367, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (hallucination), prepare, start, 9341995517426405
1787222929.679898, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (hallucination), prepare, end, 9341995517959335
1787222929.680203, Self-RAG Decomposed-Shared (multi-hop), Query rewrite formatter, prepare, start, 9341995518264087
1787222929.680382, Self-RAG Decomposed-Shared (multi-hop), Query rewrite formatter, prepare, end, 9341995518443800
1787222929.680396, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (rewrite), prepare, start, 9341995518455416
1787222929.680674, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (rewrite), prepare, end, 9341995518734297
1787222929.680936, Self-RAG Decomposed-Shared (multi-hop), pipeline, prepare, end, 9341995519360859
1787222929.682627, Self-RAG Decomposed-Shared (multi-hop), pipeline - val, run, start, 110733157206906115418585790227979997064, 1787222929.682513, 1, 1, 9341995520718862
1787222929.682992, Self-RAG Decomposed-Shared (multi-hop), Question dataloader, run, start, 9341995521067247
1787222929.683765, Self-RAG Decomposed-Shared (multi-hop), Question dataloader, run, end, 9341995521838242
1787222929.684035, Self-RAG Decomposed-Shared (multi-hop), Document retriever, run, start, 9341995522109426
1787222929.742880, Self-RAG Decomposed-Shared (multi-hop), Document retriever, run, end, 9341995580963611
1787222929.743050, Self-RAG Decomposed-Shared (multi-hop), Retrieval grader formatter, run, start, 9341995581145051
1787222929.759218, Self-RAG Decomposed-Shared (multi-hop), Retrieval grader formatter, run, end, 9341995597285209
1787222929.759583, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), run, start, 9341995597654474
