1787477451.763366, Self-RAG Decomposed-Shared (multi-hop), pipeline, prepare, start, 9596517601663088
1787477451.763690, Self-RAG Decomposed-Shared (multi-hop), Question dataloader, prepare, start, 9596517601755312
1787477453.168282, Self-RAG Decomposed-Shared (multi-hop), Question dataloader, prepare, end, 9596519006354414
1787477453.168337, Self-RAG Decomposed-Shared (multi-hop), Document retriever, prepare, start, 9596519006399070
1787477470.051756, Self-RAG Decomposed-Shared (multi-hop), Document retriever, prepare, end, 9596535889848551
1787477470.051862, Self-RAG Decomposed-Shared (multi-hop), Retrieval grader formatter, prepare, start, 9596535889924055
1787477470.052234, Self-RAG Decomposed-Shared (multi-hop), Retrieval grader formatter, prepare, end, 9596535890296247
1787477470.052252, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), prepare, start, 9596535890311367
1787477517.052253, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), prepare, end, 9596582890333422
1787477517.053195, Self-RAG Decomposed-Shared (multi-hop), Answer generator formatter, prepare, start, 9596582891303054
1787477517.054074, Self-RAG Decomposed-Shared (multi-hop), Answer generator formatter, prepare, end, 9596582892159581
1787477517.054145, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (generate), prepare, start, 9596582892205917
1787477517.054610, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (generate), prepare, end, 9596582892692237
1787477517.054678, Self-RAG Decomposed-Shared (multi-hop), Hallucination grader formatter, prepare, start, 9596582892739213
1787477517.055234, Self-RAG Decomposed-Shared (multi-hop), Hallucination grader formatter, prepare, end, 9596582893294829
1787477517.055248, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (hallucination), prepare, start, 9596582893307789
1787477517.055954, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (hallucination), prepare, end, 9596582894014973
1787477517.056120, Self-RAG Decomposed-Shared (multi-hop), Query rewrite formatter, prepare, start, 9596582894181885
1787477517.056295, Self-RAG Decomposed-Shared (multi-hop), Query rewrite formatter, prepare, end, 9596582894356029
1787477517.056307, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (rewrite), prepare, start, 9596582894366669
1787477517.056412, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (rewrite), prepare, end, 9596582894473645
1787477517.056538, Self-RAG Decomposed-Shared (multi-hop), pipeline, prepare, end, 9596582894945356
1787477517.058344, Self-RAG Decomposed-Shared (multi-hop), pipeline - val, run, start, 209495485738746334571453147602300254463, 1787477517.058274, 1, 1, 9596582896431004
1787477517.058654, Self-RAG Decomposed-Shared (multi-hop), Question dataloader, run, start, 9596582896736252
1787477517.059357, Self-RAG Decomposed-Shared (multi-hop), Question dataloader, run, end, 9596582897430892
1787477517.059573, Self-RAG Decomposed-Shared (multi-hop), Document retriever, run, start, 9596582897658907
1787477517.137721, Self-RAG Decomposed-Shared (multi-hop), Document retriever, run, end, 9596582975811647
1787477517.137839, Self-RAG Decomposed-Shared (multi-hop), Retrieval grader formatter, run, start, 9596582975910975
1787477517.153620, Self-RAG Decomposed-Shared (multi-hop), Retrieval grader formatter, run, end, 9596582991687417
