1787217365.766841, Self-RAG Monolith 4B (multi-hop), pipeline, prepare, start, 9336431605168144
1787217365.767397, Self-RAG Monolith 4B (multi-hop), Question dataloader, prepare, start, 9336431605464913
1787217367.080392, Self-RAG Monolith 4B (multi-hop), Question dataloader, prepare, end, 9336432918464287
1787217367.080447, Self-RAG Monolith 4B (multi-hop), Document retriever, prepare, start, 9336432918508015
1787217383.794410, Self-RAG Monolith 4B (multi-hop), Document retriever, prepare, end, 9336449632503289
1787217383.794516, Self-RAG Monolith 4B (multi-hop), Monolith formatter, prepare, start, 9336449632579401
1787217383.794880, Self-RAG Monolith 4B (multi-hop), Monolith formatter, prepare, end, 9336449632943274
1787217383.794898, Self-RAG Monolith 4B (multi-hop), Monolith LLM, prepare, start, 9336449632957514
1787217430.130075, Self-RAG Monolith 4B (multi-hop), Monolith LLM, prepare, end, 9336495968154651
1787217430.131427, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, prepare, start, 9336495969528494
1787217430.141132, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, prepare, end, 9336495979231910
1787217430.141256, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, prepare, start, 9336495979316774
1787217430.142359, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, prepare, end, 9336495980440009
1787217430.142425, Self-RAG Monolith 4B (multi-hop), pipeline, prepare, end, 9336495980739849
1787217430.145318, Self-RAG Monolith 4B (multi-hop), pipeline - val, run, start, 258692367507110058184229966264838101942, 1787217430.145182, 1, 1, 9336495983405552
1787217430.145602, Self-RAG Monolith 4B (multi-hop), Question dataloader, run, start, 9336495983677440
1787217430.146233, Self-RAG Monolith 4B (multi-hop), Question dataloader, run, end, 9336495984308050
1787217430.146375, Self-RAG Monolith 4B (multi-hop), Document retriever, run, start, 9336495984449666
1787217430.207054, Self-RAG Monolith 4B (multi-hop), Document retriever, run, end, 9336496045137476
1787217430.207237, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, start, 9336496045327605
1787217430.224120, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, end, 9336496062188797
1787217430.224241, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, start, 9336496062316206
1787217430.227618, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, start, 9336496065713286
1787217430.948916, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, end, 9336496787015008
1787217432.036131, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_generated_tokens, 24, 9336497874238764
1787217432.037083, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, end, 9336497875159854
1787217432.037411, Self-RAG Monolith 4B (multi-hop), Monolith router, run, start, 9336497875492287
1787217432.037573, Self-RAG Monolith 4B (multi-hop), Monolith router, run, end, 9336497875634799
1787217432.037891, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, run, start, 9336497875977872
1787217432.038361, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, run, end, 9336497876424769
1787217432.038534, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, run, start, 9336497876625393
1787217432.041970, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, first_token, start, 9336497880043562
1787217432.404784, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, first_token, end, 9336498242934996
1787217432.665606, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, n_generated_tokens, 7, 9336498503688665
1787217432.665860, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, run, end, 9336498503924122
1787217432.666437, Self-RAG Monolith 4B (multi-hop), Document retriever, run, start, 9336498504511051
1787217432.675724, Self-RAG Monolith 4B (multi-hop), Document retriever, run, end, 9336498513793185
1787217432.675862, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, start, 9336498513955346
1787217432.676277, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, end, 9336498514340371
1787217432.676530, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, start, 9336498514602323
1787217432.679373, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, start, 9336498517444938
1787217433.235563, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, end, 9336499073785159
1787217434.265495, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_generated_tokens, 24, 9336500103583322
1787217434.266418, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, end, 9336500104492524
