1787477740.072422, Self-RAG Monolith 4B (multi-hop), pipeline, prepare, start, 9596805910759073
1787477740.072877, Self-RAG Monolith 4B (multi-hop), Question dataloader, prepare, start, 9596805910941729
1787477741.407231, Self-RAG Monolith 4B (multi-hop), Question dataloader, prepare, end, 9596807245302501
1787477741.407284, Self-RAG Monolith 4B (multi-hop), Document retriever, prepare, start, 9596807245345221
1787477758.242334, Self-RAG Monolith 4B (multi-hop), Document retriever, prepare, end, 9596824080429975
1787477758.242447, Self-RAG Monolith 4B (multi-hop), Monolith formatter, prepare, start, 9596824080508295
1787477758.242828, Self-RAG Monolith 4B (multi-hop), Monolith formatter, prepare, end, 9596824080891383
1787477758.242845, Self-RAG Monolith 4B (multi-hop), Monolith LLM, prepare, start, 9596824080905079
1787477802.978067, Self-RAG Monolith 4B (multi-hop), Monolith LLM, prepare, end, 9596868816146422
1787477802.979684, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, prepare, start, 9596868817762230
1787477802.979988, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, prepare, end, 9596868818066549
1787477802.980049, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, prepare, start, 9596868818110165
1787477802.980314, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, prepare, end, 9596868818393749
1787477802.980424, Self-RAG Monolith 4B (multi-hop), pipeline, prepare, end, 9596868818721701
1787477802.982675, Self-RAG Monolith 4B (multi-hop), pipeline - val, run, start, 48695690440966473020009299611149782522, 1787477802.982374, 1, 1, 9596868820761956
1787477802.982962, Self-RAG Monolith 4B (multi-hop), Question dataloader, run, start, 9596868821034676
1787477802.983400, Self-RAG Monolith 4B (multi-hop), Question dataloader, run, end, 9596868821464740
1787477802.983469, Self-RAG Monolith 4B (multi-hop), Document retriever, run, start, 9596868821537172
1787477803.042550, Self-RAG Monolith 4B (multi-hop), Document retriever, run, end, 9596868880640206
1787477803.042731, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, start, 9596868880827550
