1787485330.932950, Self-RAG Monolith (multi-hop), pipeline, prepare, start, 9604396771280618
1787485330.933670, Self-RAG Monolith (multi-hop), Question dataloader, prepare, start, 9604396771737689
1787485332.257137, Self-RAG Monolith (multi-hop), Question dataloader, prepare, end, 9604398095208427
1787485332.257190, Self-RAG Monolith (multi-hop), Document retriever, prepare, start, 9604398095251419
1787485349.228613, Self-RAG Monolith (multi-hop), Document retriever, prepare, end, 9604415066706896
1787485349.228718, Self-RAG Monolith (multi-hop), Monolith formatter, prepare, start, 9604415066780000
1787485349.229183, Self-RAG Monolith (multi-hop), Monolith formatter, prepare, end, 9604415067246576
1787485349.229202, Self-RAG Monolith (multi-hop), Monolith LLM, prepare, start, 9604415067261936
1787485424.048348, Self-RAG Monolith (multi-hop), Monolith LLM, prepare, end, 9604489886428480
1787485424.050436, Self-RAG Monolith (multi-hop), Query rewrite formatter, prepare, start, 9604489888526062
1787485424.051654, Self-RAG Monolith (multi-hop), Query rewrite formatter, prepare, end, 9604489889760189
1787485424.051794, Self-RAG Monolith (multi-hop), Query rewrite LLM, prepare, start, 9604489889854909
1787485424.052684, Self-RAG Monolith (multi-hop), Query rewrite LLM, prepare, end, 9604489890771164
1787485424.052769, Self-RAG Monolith (multi-hop), pipeline, prepare, end, 9604489891110860
1787485424.055050, Self-RAG Monolith (multi-hop), pipeline - val, run, start, 136584842797387886913549896040449518818, 1787485424.054926, 1, 1, 9604489893134810
1787485424.055355, Self-RAG Monolith (multi-hop), Question dataloader, run, start, 9604489893437754
1787485424.056066, Self-RAG Monolith (multi-hop), Question dataloader, run, end, 9604489894142057
1787485424.056460, Self-RAG Monolith (multi-hop), Document retriever, run, start, 9604489894536409
1787485424.117738, Self-RAG Monolith (multi-hop), Document retriever, run, end, 9604489955823671
1787485424.118213, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 9604489956305799
1787485424.134541, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 9604489972609513
1787485424.135157, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 9604489973229433
1787485424.138379, Self-RAG Monolith (multi-hop), Monolith LLM, n_prompt_tokens, 878, 9604489976457222
1787485424.138441, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, start, 9604489976502022
1787485425.020474, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, end, 9604490858569059
1787485426.730137, Self-RAG Monolith (multi-hop), Monolith LLM, n_generated_tokens, 30, 9604492568228518
1787485426.730539, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 9604492568604646
1787485426.730860, Self-RAG Monolith (multi-hop), Monolith router, run, start, 9604492568941558
1787485426.731206, Self-RAG Monolith (multi-hop), Monolith router, run, end, 9604492569268117
1787485426.731385, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, start, 9604492569458645
1787485426.731808, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, end, 9604492569872037
1787485426.731855, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, start, 9604492569920197
1787485426.734352, Self-RAG Monolith (multi-hop), Query rewrite LLM, n_prompt_tokens, 634, 9604492572425987
