1787213991.215119, Self-RAG Decomposed-Shared (multi-hop), pipeline, prepare, start, 61940420400708
1787213991.215439, Self-RAG Decomposed-Shared (multi-hop), Question dataloader, prepare, start, 61940420563333
1787213993.470748, Self-RAG Decomposed-Shared (multi-hop), Question dataloader, prepare, end, 61942675877000
1787213993.470815, Self-RAG Decomposed-Shared (multi-hop), Document retriever, prepare, start, 61942675933750
1787214024.424609, Self-RAG Decomposed-Shared (multi-hop), Document retriever, prepare, end, 61973629728750
1787214024.424729, Self-RAG Decomposed-Shared (multi-hop), Retrieval grader formatter, prepare, start, 61973629824375
1787214024.424929, Self-RAG Decomposed-Shared (multi-hop), Retrieval grader formatter, prepare, end, 61973630024750
1787214024.425031, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), prepare, start, 61973630124625
1787214027.386247, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), prepare, end, 61976591354041
1787214027.386627, Self-RAG Decomposed-Shared (multi-hop), Answer generator formatter, prepare, start, 61976591724041
1787214027.386779, Self-RAG Decomposed-Shared (multi-hop), Answer generator formatter, prepare, end, 61976591874333
1787214027.386823, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (generate), prepare, start, 61976591916208
1787214027.386925, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (generate), prepare, end, 61976592018125
1787214027.386948, Self-RAG Decomposed-Shared (multi-hop), Hallucination grader formatter, prepare, start, 61976592039833
1787214027.387059, Self-RAG Decomposed-Shared (multi-hop), Hallucination grader formatter, prepare, end, 61976592154791
1787214027.387122, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (hallucination), prepare, start, 61976592219166
1787214027.387316, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (hallucination), prepare, end, 61976592409458
1787214027.387398, Self-RAG Decomposed-Shared (multi-hop), Query rewrite formatter, prepare, start, 61976592491708
1787214027.387508, Self-RAG Decomposed-Shared (multi-hop), Query rewrite formatter, prepare, end, 61976592600833
1787214027.387524, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (rewrite), prepare, start, 61976592616041
1787214027.387599, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (rewrite), prepare, end, 61976592695000
1787214027.387691, Self-RAG Decomposed-Shared (multi-hop), pipeline, prepare, end, 61976592788791
1787214027.388077, Self-RAG Decomposed-Shared (multi-hop), pipeline - val, run, start, 315636389878020559114901346789417102350, 1787214027.388015, 1, 1, 61976593175375
1787214027.388203, Self-RAG Decomposed-Shared (multi-hop), Question dataloader, run, start, 61976593297916
1787214027.388552, Self-RAG Decomposed-Shared (multi-hop), Question dataloader, run, end, 61976593645958
1787214027.388620, Self-RAG Decomposed-Shared (multi-hop), Document retriever, run, start, 61976593714583
1787214027.819765, Self-RAG Decomposed-Shared (multi-hop), Document retriever, run, end, 61977024874833
1787214027.819971, Self-RAG Decomposed-Shared (multi-hop), Retrieval grader formatter, run, start, 61977025067291
1787214027.836047, Self-RAG Decomposed-Shared (multi-hop), Retrieval grader formatter, run, end, 61977041154541
1787214027.836153, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), run, start, 61977041250958
1787214027.836256, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), first_token, start, 61977041351291
1787214030.513564, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), first_token, end, 61979718687333
1787214030.558125, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), n_generated_tokens, 2, 61979763230916
1787214030.558280, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), run, end, 61979763374000
1787214030.558465, Self-RAG Decomposed-Shared (multi-hop), Grade router, run, start, 61979763558000
1787214030.558946, Self-RAG Decomposed-Shared (multi-hop), Grade router, run, end, 61979764042250
1787214030.559044, Self-RAG Decomposed-Shared (multi-hop), Query rewrite formatter, run, start, 61979764136833
1787214030.559417, Self-RAG Decomposed-Shared (multi-hop), Query rewrite formatter, run, end, 61979764510083
1787214030.559473, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (rewrite), run, start, 61979764565291
1787214030.559550, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (rewrite), first_token, start, 61979764642541
1787214032.405480, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (rewrite), first_token, end, 61981610597625
1787214032.512510, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (rewrite), n_generated_tokens, 5, 61981717627041
1787214032.512673, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (rewrite), run, end, 61981717766541
1787214032.512885, Self-RAG Decomposed-Shared (multi-hop), Document retriever, run, start, 61981717986500
1787214032.578936, Self-RAG Decomposed-Shared (multi-hop), Document retriever, run, end, 61981784042791
1787214032.579095, Self-RAG Decomposed-Shared (multi-hop), Retrieval grader formatter, run, start, 61981784190583
1787214032.579479, Self-RAG Decomposed-Shared (multi-hop), Retrieval grader formatter, run, end, 61981784571958
