1787219581.528694, Self-RAG Monolith 4B (multi-hop), pipeline, prepare, start, 67530700645791
1787219581.528954, Self-RAG Monolith 4B (multi-hop), Question dataloader, prepare, start, 67530700764958
1787219583.650228, Self-RAG Monolith 4B (multi-hop), Question dataloader, prepare, end, 67532822065125
1787219583.650399, Self-RAG Monolith 4B (multi-hop), Document retriever, prepare, start, 67532822206166
1787219615.310849, Self-RAG Monolith 4B (multi-hop), Document retriever, prepare, end, 67564482571500
1787219615.310974, Self-RAG Monolith 4B (multi-hop), Monolith formatter, prepare, start, 67564482668583
1787219615.311201, Self-RAG Monolith 4B (multi-hop), Monolith formatter, prepare, end, 67564482899166
1787219615.311301, Self-RAG Monolith 4B (multi-hop), Monolith LLM, prepare, start, 67564482995625
1787219618.022407, Self-RAG Monolith 4B (multi-hop), Monolith LLM, prepare, end, 67567194341333
1787219618.023489, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, prepare, start, 67567195179375
1787219618.023650, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, prepare, end, 67567195336000
1787219618.023677, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, prepare, start, 67567195360625
1787219618.023770, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, prepare, end, 67567195454875
1787219618.023788, Self-RAG Monolith 4B (multi-hop), pipeline, prepare, end, 67567195474083
1787219618.024147, Self-RAG Monolith 4B (multi-hop), pipeline - val, run, start, 98821505160029402597837021900337639866, 1787219618.024079, 1, 1, 67567195833791
1787219618.024261, Self-RAG Monolith 4B (multi-hop), Question dataloader, run, start, 67567195946708
1787219618.024878, Self-RAG Monolith 4B (multi-hop), Question dataloader, run, end, 67567196563208
1787219618.024930, Self-RAG Monolith 4B (multi-hop), Document retriever, run, start, 67567196614333
1787219618.429073, Self-RAG Monolith 4B (multi-hop), Document retriever, run, end, 67567600770750
1787219618.429172, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, start, 67567600859375
1787219618.445162, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, end, 67567616855625
1787219618.445233, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, start, 67567616916958
1787219618.445514, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, start, 67567617205500
1787219621.534566, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, end, 67570706260750
1787219621.993791, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_generated_tokens, 22, 67571165483541
1787219621.993971, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, end, 67571165646041
1787219621.994158, Self-RAG Monolith 4B (multi-hop), Monolith router, run, start, 67571165838083
1787219621.994379, Self-RAG Monolith 4B (multi-hop), Monolith router, run, end, 67571166056000
1787219621.994538, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, run, start, 67571166214000
1787219621.994996, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, run, end, 67571166671833
1787219621.995154, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, run, start, 67571166828916
1787219621.995231, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, first_token, start, 67571166903916
1787219623.849257, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, first_token, end, 67573020944416
1787219623.954704, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, n_generated_tokens, 5, 67573126384000
1787219623.954860, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, run, end, 67573126527583
1787219623.955034, Self-RAG Monolith 4B (multi-hop), Document retriever, run, start, 67573126705458
1787219624.024216, Self-RAG Monolith 4B (multi-hop), Document retriever, run, end, 67573195898583
1787219624.024385, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, start, 67573196052125
1787219624.024626, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, end, 67573196289958
1787219624.024726, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, start, 67573196390708
1787219624.024801, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, start, 67573196468750
1787219627.386091, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, end, 67576557784750
1787219627.844160, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_generated_tokens, 22, 67577015835416
1787219627.844367, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, end, 67577016020916
1787219627.844541, Self-RAG Monolith 4B (multi-hop), Monolith router, run, start, 67577016198791
1787219627.844772, Self-RAG Monolith 4B (multi-hop), Monolith router, run, end, 67577016428416
1787219627.844954, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, run, start, 67577016610125
1787219627.846413, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, run, end, 67577018067875
1787219627.846557, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, run, start, 67577018211708
1787219627.846637, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, first_token, start, 67577018289541
1787219630.398211, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, first_token, end, 67579569873166
1787219630.503768, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, n_generated_tokens, 5, 67579675429708
1787219630.503929, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, run, end, 67579675575583
1787219630.504087, Self-RAG Monolith 4B (multi-hop), Document retriever, run, start, 67579675733083
1787219630.542531, Self-RAG Monolith 4B (multi-hop), Document retriever, run, end, 67579714196458
1787219630.542716, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, start, 67579714363250
1787219630.543053, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, end, 67579714698458
