1787224723.034357, Self-RAG Monolith (multi-hop), pipeline, prepare, start, 72672206837000
1787224723.034631, Self-RAG Monolith (multi-hop), Question dataloader, prepare, start, 72672206959125
1787224725.090854, Self-RAG Monolith (multi-hop), Question dataloader, prepare, end, 72674263195666
1787224725.090922, Self-RAG Monolith (multi-hop), Document retriever, prepare, start, 72674263255416
1787224755.218167, Self-RAG Monolith (multi-hop), Document retriever, prepare, end, 72704390624458
1787224755.218275, Self-RAG Monolith (multi-hop), Monolith formatter, prepare, start, 72704390705041
1787224755.218474, Self-RAG Monolith (multi-hop), Monolith formatter, prepare, end, 72704390908458
1787224755.218563, Self-RAG Monolith (multi-hop), Monolith LLM, prepare, start, 72704390992708
1787224759.290994, Self-RAG Monolith (multi-hop), Monolith LLM, prepare, end, 72708463462166
1787224759.291560, Self-RAG Monolith (multi-hop), Query rewrite formatter, prepare, start, 72708464006541
1787224759.291665, Self-RAG Monolith (multi-hop), Query rewrite formatter, prepare, end, 72708464108166
1787224759.291707, Self-RAG Monolith (multi-hop), Query rewrite LLM, prepare, start, 72708464149416
1787224759.291799, Self-RAG Monolith (multi-hop), Query rewrite LLM, prepare, end, 72708464244666
1787224759.291828, Self-RAG Monolith (multi-hop), pipeline, prepare, end, 72708464273250
1787224759.292168, Self-RAG Monolith (multi-hop), pipeline - val, run, start, 190523375344012067725431970637154625464, 1787224759.292129, 1, 1, 72708464612583
1787224759.292479, Self-RAG Monolith (multi-hop), Question dataloader, run, start, 72708464922541
1787224759.293382, Self-RAG Monolith (multi-hop), Question dataloader, run, end, 72708465824833
1787224759.293653, Self-RAG Monolith (multi-hop), Document retriever, run, start, 72708466095500
1787224759.700417, Self-RAG Monolith (multi-hop), Document retriever, run, end, 72708872874583
1787224759.700761, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 72708873206500
1787224759.715893, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 72708888341083
1787224759.715966, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 72708888410375
1787224759.716012, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, start, 72708888458333
1787224765.798809, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, end, 72714971338833
1787224766.888199, Self-RAG Monolith (multi-hop), Monolith LLM, n_generated_tokens, 31, 72716060682583
1787224766.888376, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 72716060844583
1787224766.888498, Self-RAG Monolith (multi-hop), Monolith router, run, start, 72716060969166
1787224766.888708, Self-RAG Monolith (multi-hop), Monolith router, run, end, 72716061176750
1787224766.888826, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, start, 72716061294833
1787224766.889466, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, end, 72716061935333
1787224766.889587, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, start, 72716062057833
1787224766.889668, Self-RAG Monolith (multi-hop), Query rewrite LLM, first_token, start, 72716062136333
1787224770.141591, Self-RAG Monolith (multi-hop), Query rewrite LLM, first_token, end, 72719314090625
1787224770.520463, Self-RAG Monolith (multi-hop), Query rewrite LLM, n_generated_tokens, 11, 72719692962375
1787224770.520631, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, end, 72719693111750
1787224770.520780, Self-RAG Monolith (multi-hop), Document retriever, run, start, 72719693266125
1787224770.601994, Self-RAG Monolith (multi-hop), Document retriever, run, end, 72719774499541
1787224770.602141, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 72719774623250
1787224770.602587, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 72719775069625
1787224770.602647, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 72719775129125
1787224770.602757, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, start, 72719775236541
1787224775.543390, Self-RAG Monolith (multi-hop), pipeline - val, run, start, 160031319949073629081859987808777833854, 1787224775.543188, 1, 2, 72724715915083
1787224775.543854, Self-RAG Monolith (multi-hop), Question dataloader, run, start, 72724716353416
1787224775.544896, Self-RAG Monolith (multi-hop), Question dataloader, run, end, 72724717393666
1787224775.545002, Self-RAG Monolith (multi-hop), Document retriever, run, start, 72724717500416
1787224775.761734, Self-RAG Monolith (multi-hop), Document retriever, run, end, 72724934251416
