1787480995.151125, Self-RAG Decomposed, pipeline, prepare, start, 165340984973000
1787480995.151444, Self-RAG Decomposed, Question dataloader, prepare, start, 165340985126458
1787480997.442144, Self-RAG Decomposed, Question dataloader, prepare, end, 165343275830541
1787480997.442210, Self-RAG Decomposed, Document retriever, prepare, start, 165343275886041
1787481021.074483, Self-RAG Decomposed, Document retriever, prepare, end, 165366908108833
1787481021.074595, Self-RAG Decomposed, Retrieval grader formatter, prepare, start, 165366908200125
1787481021.074804, Self-RAG Decomposed, Retrieval grader formatter, prepare, end, 165366908413375
1787481021.074913, Self-RAG Decomposed, Grader LLM, prepare, start, 165366908522333
1787481023.913016, Self-RAG Decomposed, Grader LLM, prepare, end, 165369746626250
1787481023.913438, Self-RAG Decomposed, Answer generator formatter, prepare, start, 165369747036916
1787481023.913549, Self-RAG Decomposed, Answer generator formatter, prepare, end, 165369747145083
1787481023.913581, Self-RAG Decomposed, Generator LLM, prepare, start, 165369747176708
1787481026.762472, Self-RAG Decomposed, Generator LLM, prepare, end, 165372596073875
1787481026.762586, Self-RAG Decomposed, Hallucination grader formatter, prepare, start, 165372596177875
1787481026.762717, Self-RAG Decomposed, Hallucination grader formatter, prepare, end, 165372596306583
1787481026.762772, Self-RAG Decomposed, Hallucination LLM, prepare, start, 165372596360083
1787481029.480912, Self-RAG Decomposed, Hallucination LLM, prepare, end, 165375314503583
1787481029.481453, Self-RAG Decomposed, Query rewrite formatter, prepare, start, 165375315039125
1787481029.481606, Self-RAG Decomposed, Query rewrite formatter, prepare, end, 165375315188291
1787481029.481659, Self-RAG Decomposed, Query rewrite LLM, prepare, start, 165375315239125
1787481029.481746, Self-RAG Decomposed, Query rewrite LLM, prepare, end, 165375315328625
1787481029.481865, Self-RAG Decomposed, pipeline, prepare, end, 165375315448750
1787481029.482579, Self-RAG Decomposed, pipeline - val, run, start, 107028917716340703449641923048810535567, 1787481029.482521, 1, 1, 165375316162583
1787481029.483271, Self-RAG Decomposed, Question dataloader, run, start, 165375316852500
1787481029.484664, Self-RAG Decomposed, Question dataloader, run, end, 165375318245000
1787481029.484943, Self-RAG Decomposed, Document retriever, run, start, 165375318525541
1787481032.687869, Self-RAG Decomposed, Document retriever, run, end, 165378521454750
1787481032.688194, Self-RAG Decomposed, Retrieval grader formatter, run, start, 165378521765666
1787481032.708882, Self-RAG Decomposed, Retrieval grader formatter, run, end, 165378542461791
1787481032.708986, Self-RAG Decomposed, Grader LLM, run, start, 165378542559250
1787481032.713173, Self-RAG Decomposed, Grader LLM, n_prompt_tokens, 908, 165378546746291
1787481032.713209, Self-RAG Decomposed, Grader LLM, first_token, start, 165378546778375
1787481047.437745, Self-RAG Decomposed, Grader LLM, first_token, end, 165393271722750
1787481047.491871, Self-RAG Decomposed, Grader LLM, n_generated_tokens, 2, 165393325411833
1787481047.492112, Self-RAG Decomposed, Grader LLM, run, end, 165393325639625
1787481047.492547, Self-RAG Decomposed, Grade router, run, start, 165393326077500
1787481047.493616, Self-RAG Decomposed, Grade router, run, end, 165393327143625
1787481047.493716, Self-RAG Decomposed, Answer generator formatter, run, start, 165393327243208
1787481047.495931, Self-RAG Decomposed, Answer generator formatter, run, end, 165393329458958
1787481047.496017, Self-RAG Decomposed, Generator LLM, run, start, 165393329552125
1787481047.532284, Self-RAG Decomposed, Generator LLM, n_prompt_tokens, 919, 165393365813208
1787481047.532317, Self-RAG Decomposed, Generator LLM, first_token, start, 165393365842250
1787481050.122323, Self-RAG Decomposed, Generator LLM, first_token, end, 165395955991083
1787481050.170829, Self-RAG Decomposed, Generator LLM, n_generated_tokens, 2, 165396004362250
1787481050.171107, Self-RAG Decomposed, Generator LLM, run, end, 165396004627041
1787481050.171261, Self-RAG Decomposed, Hallucination grader formatter, run, start, 165396004779916
1787481050.172556, Self-RAG Decomposed, Hallucination grader formatter, run, end, 165396006077791
