1787204947.022970, Self-RAG Decomposed-Shared, pipeline, prepare, start, 52896213125916
1787204947.023196, Self-RAG Decomposed-Shared, Question dataloader, prepare, start, 52896213223916
1787204949.099987, Self-RAG Decomposed-Shared, Question dataloader, prepare, end, 52898290015333
1787204949.100057, Self-RAG Decomposed-Shared, Document retriever, prepare, start, 52898290076666
1787204975.287292, Self-RAG Decomposed-Shared, Document retriever, prepare, end, 52924477215041
1787204975.287601, Self-RAG Decomposed-Shared, Retrieval grader formatter, prepare, start, 52924477491750
1787204975.287819, Self-RAG Decomposed-Shared, Retrieval grader formatter, prepare, end, 52924477708625
1787204975.287908, Self-RAG Decomposed-Shared, Shared LLM (grade), prepare, start, 52924477796958
1787204978.400276, Self-RAG Decomposed-Shared, Shared LLM (grade), prepare, end, 52927590169375
1787204978.400495, Self-RAG Decomposed-Shared, Answer generator formatter, prepare, start, 52927590372875
1787204978.400656, Self-RAG Decomposed-Shared, Answer generator formatter, prepare, end, 52927590533166
1787204978.400705, Self-RAG Decomposed-Shared, Shared LLM (generate), prepare, start, 52927590579916
1787204978.400792, Self-RAG Decomposed-Shared, Shared LLM (generate), prepare, end, 52927590668958
1787204978.400821, Self-RAG Decomposed-Shared, Hallucination grader formatter, prepare, start, 52927590695458
1787204978.400959, Self-RAG Decomposed-Shared, Hallucination grader formatter, prepare, end, 52927590833750
1787204978.400978, Self-RAG Decomposed-Shared, Shared LLM (hallucination), prepare, start, 52927590850958
1787204978.401057, Self-RAG Decomposed-Shared, Shared LLM (hallucination), prepare, end, 52927590932250
1787204978.401132, Self-RAG Decomposed-Shared, Query rewrite formatter, prepare, start, 52927591006083
1787204978.401227, Self-RAG Decomposed-Shared, Query rewrite formatter, prepare, end, 52927591102833
1787204978.401251, Self-RAG Decomposed-Shared, Shared LLM (rewrite), prepare, start, 52927591123916
1787204978.401336, Self-RAG Decomposed-Shared, Shared LLM (rewrite), prepare, end, 52927591210583
1787204978.401412, Self-RAG Decomposed-Shared, pipeline, prepare, end, 52927591289833
1787204978.401801, Self-RAG Decomposed-Shared, pipeline - val, run, start, 21625985754568816983793767746257978446, 1787204978.401747, 1, 1, 52927591677750
1787204978.401910, Self-RAG Decomposed-Shared, Question dataloader, run, start, 52927591785166
1787204978.403055, Self-RAG Decomposed-Shared, Question dataloader, run, end, 52927592929333
1787204978.403109, Self-RAG Decomposed-Shared, Document retriever, run, start, 52927592983375
1787204978.830576, Self-RAG Decomposed-Shared, Document retriever, run, end, 52928020467250
1787204978.830682, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, start, 52928020559041
1787204978.845848, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, end, 52928035729125
1787204978.845966, Self-RAG Decomposed-Shared, Shared LLM (grade), run, start, 52928035841833
1787204978.846047, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, start, 52928035924500
1787204982.108455, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, end, 52931298453125
1787204982.152594, Self-RAG Decomposed-Shared, Shared LLM (grade), n_generated_tokens, 2, 52931342468791
1787204982.152777, Self-RAG Decomposed-Shared, Shared LLM (grade), run, end, 52931342635791
1787204982.152947, Self-RAG Decomposed-Shared, Grade router, run, start, 52931342807625
1787204982.153345, Self-RAG Decomposed-Shared, Grade router, run, end, 52931343203375
1787204982.153478, Self-RAG Decomposed-Shared, Answer generator formatter, run, start, 52931343339750
1787204982.153868, Self-RAG Decomposed-Shared, Answer generator formatter, run, end, 52931343726625
1787204982.153924, Self-RAG Decomposed-Shared, Shared LLM (generate), run, start, 52931343781083
1787204982.154035, Self-RAG Decomposed-Shared, Shared LLM (generate), first_token, start, 52931343893833
1787204984.721368, Self-RAG Decomposed-Shared, Shared LLM (generate), first_token, end, 52933911248750
1787204984.770477, Self-RAG Decomposed-Shared, Shared LLM (generate), n_generated_tokens, 2, 52933960343666
1787204984.770653, Self-RAG Decomposed-Shared, Shared LLM (generate), run, end, 52933960499666
1787204984.770807, Self-RAG Decomposed-Shared, Hallucination grader formatter, run, start, 52933960657041
1787204984.771488, Self-RAG Decomposed-Shared, Hallucination grader formatter, run, end, 52933961336375
1787204984.771656, Self-RAG Decomposed-Shared, Shared LLM (hallucination), run, start, 52933961502791
