1787482208.702815, Self-RAG Decomposed-Shared, pipeline, prepare, start, 166554545009291
1787482208.703118, Self-RAG Decomposed-Shared, Question dataloader, prepare, start, 166554545161541
1787482210.781171, Self-RAG Decomposed-Shared, Question dataloader, prepare, end, 166556623222916
1787482210.781244, Self-RAG Decomposed-Shared, Document retriever, prepare, start, 166556623286916
1787482234.614485, Self-RAG Decomposed-Shared, Document retriever, prepare, end, 166580456568666
1787482234.614668, Self-RAG Decomposed-Shared, Retrieval grader formatter, prepare, start, 166580456706916
1787482234.614946, Self-RAG Decomposed-Shared, Retrieval grader formatter, prepare, end, 166580456984333
1787482234.615041, Self-RAG Decomposed-Shared, Shared LLM (grade), prepare, start, 166580457078750
1787482237.465913, Self-RAG Decomposed-Shared, Shared LLM (grade), prepare, end, 166583307965416
1787482237.467038, Self-RAG Decomposed-Shared, Answer generator formatter, prepare, start, 166583309079500
1787482237.467173, Self-RAG Decomposed-Shared, Answer generator formatter, prepare, end, 166583309210791
1787482237.467219, Self-RAG Decomposed-Shared, Shared LLM (generate), prepare, start, 166583309257000
1787482237.467317, Self-RAG Decomposed-Shared, Shared LLM (generate), prepare, end, 166583309357375
1787482237.467371, Self-RAG Decomposed-Shared, Hallucination grader formatter, prepare, start, 166583309408541
1787482237.467464, Self-RAG Decomposed-Shared, Hallucination grader formatter, prepare, end, 166583309500791
1787482237.467481, Self-RAG Decomposed-Shared, Shared LLM (hallucination), prepare, start, 166583309517166
1787482237.467572, Self-RAG Decomposed-Shared, Shared LLM (hallucination), prepare, end, 166583309611083
1787482237.467673, Self-RAG Decomposed-Shared, Query rewrite formatter, prepare, start, 166583309711500
1787482237.467747, Self-RAG Decomposed-Shared, Query rewrite formatter, prepare, end, 166583309784958
1787482237.467767, Self-RAG Decomposed-Shared, Shared LLM (rewrite), prepare, start, 166583309803333
1787482237.467876, Self-RAG Decomposed-Shared, Shared LLM (rewrite), prepare, end, 166583309913625
1787482237.467951, Self-RAG Decomposed-Shared, pipeline, prepare, end, 166583309992125
1787482237.468278, Self-RAG Decomposed-Shared, pipeline - val, run, start, 107008650396650649274776503463177821402, 1787482237.468238, 1, 1, 166583310317250
1787482237.468391, Self-RAG Decomposed-Shared, Question dataloader, run, start, 166583310428166
1787482237.469498, Self-RAG Decomposed-Shared, Question dataloader, run, end, 166583311535000
1787482237.469582, Self-RAG Decomposed-Shared, Document retriever, run, start, 166583311623166
1787482237.901925, Self-RAG Decomposed-Shared, Document retriever, run, end, 166583743974458
1787482237.902021, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, start, 166583744059875
1787482237.927519, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, end, 166583769561500
1787482237.927639, Self-RAG Decomposed-Shared, Shared LLM (grade), run, start, 166583769679000
1787482237.930983, Self-RAG Decomposed-Shared, Shared LLM (grade), n_prompt_tokens, 908, 166583773022041
1787482237.931009, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, start, 166583773045125
1787482241.100746, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, end, 166586942889166
1787482241.143513, Self-RAG Decomposed-Shared, Shared LLM (grade), n_generated_tokens, 2, 166586985562125
1787482241.143711, Self-RAG Decomposed-Shared, Shared LLM (grade), run, end, 166586985750291
1787482241.143918, Self-RAG Decomposed-Shared, Grade router, run, start, 166586985958583
1787482241.145018, Self-RAG Decomposed-Shared, Grade router, run, end, 166586987056458
1787482241.145158, Self-RAG Decomposed-Shared, Answer generator formatter, run, start, 166586987203958
1787482241.145844, Self-RAG Decomposed-Shared, Answer generator formatter, run, end, 166586987882958
1787482241.145975, Self-RAG Decomposed-Shared, Shared LLM (generate), run, start, 166586988012250
1787482241.148385, Self-RAG Decomposed-Shared, Shared LLM (generate), n_prompt_tokens, 919, 166586990423500
1787482241.148422, Self-RAG Decomposed-Shared, Shared LLM (generate), first_token, start, 166586990457875
1787482243.701419, Self-RAG Decomposed-Shared, Shared LLM (generate), first_token, end, 166589543476083
