1787206136.740191, Self-RAG Monolith 4B, pipeline, prepare, start, 54085912686500
1787206136.740443, Self-RAG Monolith 4B, Question dataloader, prepare, start, 54085912801416
1787206138.612733, Self-RAG Monolith 4B, Question dataloader, prepare, end, 54087785086416
1787206138.612804, Self-RAG Monolith 4B, Document retriever, prepare, start, 54087785148375
1787206162.943015, Self-RAG Monolith 4B, Document retriever, prepare, end, 54112115206708
1787206162.943935, Self-RAG Monolith 4B, Monolith formatter, prepare, start, 54112116098166
1787206162.944163, Self-RAG Monolith 4B, Monolith formatter, prepare, end, 54112116325625
1787206162.944259, Self-RAG Monolith 4B, Monolith LLM, prepare, start, 54112116419666
1787206165.890039, Self-RAG Monolith 4B, Monolith LLM, prepare, end, 54115062273791
1787206165.890733, Self-RAG Monolith 4B, Query rewrite formatter, prepare, start, 54115062875583
1787206165.890869, Self-RAG Monolith 4B, Query rewrite formatter, prepare, end, 54115063010250
1787206165.890899, Self-RAG Monolith 4B, Query rewrite LLM, prepare, start, 54115063036500
1787206165.891000, Self-RAG Monolith 4B, Query rewrite LLM, prepare, end, 54115063139416
1787206165.891020, Self-RAG Monolith 4B, pipeline, prepare, end, 54115063160708
1787206165.891400, Self-RAG Monolith 4B, pipeline - val, run, start, 112648874495160857452293313350106189991, 1787206165.891351, 1, 1, 54115063543916
1787206165.891529, Self-RAG Monolith 4B, Question dataloader, run, start, 54115063669375
1787206165.892476, Self-RAG Monolith 4B, Question dataloader, run, end, 54115064615625
1787206165.892614, Self-RAG Monolith 4B, Document retriever, run, start, 54115064753375
1787206166.349227, Self-RAG Monolith 4B, Document retriever, run, end, 54115521376541
1787206166.349319, Self-RAG Monolith 4B, Monolith formatter, run, start, 54115521455250
1787206166.365089, Self-RAG Monolith 4B, Monolith formatter, run, end, 54115537228916
1787206166.365168, Self-RAG Monolith 4B, Monolith LLM, run, start, 54115537304125
1787206166.365257, Self-RAG Monolith 4B, Monolith LLM, first_token, start, 54115537392750
1787206169.931361, Self-RAG Monolith 4B, Monolith LLM, first_token, end, 54119103640416
1787206170.094738, Self-RAG Monolith 4B, pipeline - val, run, start, 146295511054430768211698800377045361360, 1787206170.094509, 1, 2, 54119266859583
1787206170.095104, Self-RAG Monolith 4B, Question dataloader, run, start, 54119267218458
1787206170.096202, Self-RAG Monolith 4B, Question dataloader, run, end, 54119268313791
1787206170.096416, Self-RAG Monolith 4B, Document retriever, run, start, 54119268541541
1787206170.268182, Self-RAG Monolith 4B, Document retriever, run, end, 54119440334166
1787206170.268566, Self-RAG Monolith 4B, Monolith formatter, run, start, 54119440686541
1787206170.269623, Self-RAG Monolith 4B, Monolith formatter, run, end, 54119441743166
1787206170.447032, Self-RAG Monolith 4B, Monolith LLM, n_generated_tokens, 24, 54119619154125
1787206170.447219, Self-RAG Monolith 4B, Monolith LLM, run, end, 54119619326125
1787206170.447347, Self-RAG Monolith 4B, Monolith LLM, run, start, 54119619456166
1787206170.447420, Self-RAG Monolith 4B, Monolith router, run, start, 54119619530458
1787206170.447554, Self-RAG Monolith 4B, Monolith LLM, first_token, start, 54119619661916
1787206170.447801, Self-RAG Monolith 4B, Monolith router, run, end, 54119619907958
1787206170.447975, Self-RAG Monolith 4B, End stage, run, start, 54119620082875
1787206170.449015, Self-RAG Monolith 4B, End stage, run, end, 54119621123166
1787206170.449089, Self-RAG Monolith 4B, pipeline - val, run, end, 112648874495160857452293313350106189991, 1787206165.891351, 1, 1, 54119621195125
1787206174.823265, Self-RAG Monolith 4B, Monolith LLM, first_token, end, 54123995378708
1787206175.334490, Self-RAG Monolith 4B, Monolith LLM, n_generated_tokens, 24, 54124506581625
1787206175.334747, Self-RAG Monolith 4B, Monolith LLM, run, end, 54124506817750
1787206175.334848, Self-RAG Monolith 4B, Monolith router, run, start, 54124506918166
1787206175.335107, Self-RAG Monolith 4B, Monolith router, run, end, 54124507178916
1787206175.335277, Self-RAG Monolith 4B, End stage, run, start, 54124507347166
1787206175.336477, Self-RAG Monolith 4B, End stage, run, end, 54124508547666
1787206175.336526, Self-RAG Monolith 4B, pipeline - val, run, end, 146295511054430768211698800377045361360, 1787206170.094509, 1, 2, 54124508595833
1787206183.051673, Self-RAG Monolith 4B, pipeline - val, run, start, 277515774821734301273518931304392327625, 1787206183.051476, 1, 3, 54132223714875
1787206183.052024, Self-RAG Monolith 4B, Question dataloader, run, start, 54132224045583
1787206183.052607, Self-RAG Monolith 4B, Question dataloader, run, end, 54132224625041
1787206183.052828, Self-RAG Monolith 4B, Document retriever, run, start, 54132224845375
