1787487530.171744, Self-RAG Monolith 4B, pipeline, prepare, start, 171875998251375
1787487530.172023, Self-RAG Monolith 4B, Question dataloader, prepare, start, 171875998389208
1787487532.007717, Self-RAG Monolith 4B, Question dataloader, prepare, end, 171877834092791
1787487532.007794, Self-RAG Monolith 4B, Document retriever, prepare, start, 171877834158208
1787487555.402242, Self-RAG Monolith 4B, Document retriever, prepare, end, 171901228609166
1787487555.402358, Self-RAG Monolith 4B, Monolith formatter, prepare, start, 171901228705625
1787487555.402548, Self-RAG Monolith 4B, Monolith formatter, prepare, end, 171901228896666
1787487555.402633, Self-RAG Monolith 4B, Monolith LLM, prepare, start, 171901228979708
1787487558.180552, Self-RAG Monolith 4B, Monolith LLM, prepare, end, 171904006908833
1787487558.181719, Self-RAG Monolith 4B, Query rewrite formatter, prepare, start, 171904008066333
1787487558.181868, Self-RAG Monolith 4B, Query rewrite formatter, prepare, end, 171904008218583
1787487558.181906, Self-RAG Monolith 4B, Query rewrite LLM, prepare, start, 171904008250833
1787487558.182012, Self-RAG Monolith 4B, Query rewrite LLM, prepare, end, 171904008357416
1787487558.182033, Self-RAG Monolith 4B, pipeline, prepare, end, 171904008379208
1787487558.182374, Self-RAG Monolith 4B, pipeline - val, run, start, 264122958828056942628905247497333830286, 1787487558.182320, 1, 1, 171904008723125
1787487558.182501, Self-RAG Monolith 4B, Question dataloader, run, start, 171904008848208
1787487558.182936, Self-RAG Monolith 4B, Question dataloader, run, end, 171904009283416
1787487558.183031, Self-RAG Monolith 4B, Document retriever, run, start, 171904009378125
1787487558.594068, Self-RAG Monolith 4B, Document retriever, run, end, 171904420437125
1787487558.594185, Self-RAG Monolith 4B, Monolith formatter, run, start, 171904420532875
1787487558.610780, Self-RAG Monolith 4B, Monolith formatter, run, end, 171904437135958
1787487558.610857, Self-RAG Monolith 4B, Monolith LLM, run, start, 171904437203416
1787487558.613749, Self-RAG Monolith 4B, Monolith LLM, n_prompt_tokens, 1093, 171904440097583
1787487558.613781, Self-RAG Monolith 4B, Monolith LLM, first_token, start, 171904440125916
1787487562.303896, Self-RAG Monolith 4B, Monolith LLM, first_token, end, 171908130321375
1787487562.804563, Self-RAG Monolith 4B, Monolith LLM, n_generated_tokens, 24, 171908630927041
1787487562.804770, Self-RAG Monolith 4B, Monolith LLM, run, end, 171908631115416
1787487562.804905, Self-RAG Monolith 4B, Monolith router, run, start, 171908631249833
1787487562.805193, Self-RAG Monolith 4B, Monolith router, run, end, 171908631540791
1787487562.805376, Self-RAG Monolith 4B, End stage, run, start, 171908631721666
1787487562.806168, Self-RAG Monolith 4B, End stage, run, end, 171908632517416
1787487562.806290, Self-RAG Monolith 4B, pipeline - val, run, end, 264122958828056942628905247497333830286, 1787487558.182320, 1, 1, 171908632634583
1787487562.806571, Self-RAG Monolith 4B, pipeline - val, run, start, 179884640555842867943610704882440216946, 1787487562.806499, 1, 2, 171908632920958
1787487562.806719, Self-RAG Monolith 4B, Question dataloader, run, start, 171908633065666
1787487562.807261, Self-RAG Monolith 4B, Question dataloader, run, end, 171908633606958
1787487562.807359, Self-RAG Monolith 4B, Document retriever, run, start, 171908633703125
1787487562.891752, Self-RAG Monolith 4B, Document retriever, run, end, 171908718115708
1787487562.891978, Self-RAG Monolith 4B, Monolith formatter, run, start, 171908718325500
1787487562.892379, Self-RAG Monolith 4B, Monolith formatter, run, end, 171908718724166
1787487562.892513, Self-RAG Monolith 4B, Monolith LLM, run, start, 171908718860041
1787487562.896316, Self-RAG Monolith 4B, Monolith LLM, n_prompt_tokens, 1606, 171908722660416
1787487562.896345, Self-RAG Monolith 4B, Monolith LLM, first_token, start, 171908722686500
