1787207236.694225, Self-RAG Monolith, pipeline, prepare, start, 55185858584250
1787207236.694531, Self-RAG Monolith, Question dataloader, prepare, start, 55185858743500
1787207238.655587, Self-RAG Monolith, Question dataloader, prepare, end, 55187819794875
1787207238.655660, Self-RAG Monolith, Document retriever, prepare, start, 55187819857708
1787207262.169844, Self-RAG Monolith, Document retriever, prepare, end, 55211333903125
1787207262.169950, Self-RAG Monolith, Monolith formatter, prepare, start, 55211333972333
1787207262.170194, Self-RAG Monolith, Monolith formatter, prepare, end, 55211334216833
1787207262.170223, Self-RAG Monolith, Monolith LLM, prepare, start, 55211334243458
1787207267.012214, Self-RAG Monolith, Monolith LLM, prepare, end, 55216176386958
1787207267.013335, Self-RAG Monolith, Query rewrite formatter, prepare, start, 55216177322208
1787207267.013701, Self-RAG Monolith, Query rewrite formatter, prepare, end, 55216177689208
1787207267.013747, Self-RAG Monolith, Query rewrite LLM, prepare, start, 55216177735458
1787207267.013833, Self-RAG Monolith, Query rewrite LLM, prepare, end, 55216177818458
1787207267.013861, Self-RAG Monolith, pipeline, prepare, end, 55216177848000
1787207267.014468, Self-RAG Monolith, pipeline - val, run, start, 267454738725596994289650933578554347387, 1787207267.014429, 1, 1, 55216178455208
1787207267.014867, Self-RAG Monolith, Question dataloader, run, start, 55216178853916
1787207267.018779, Self-RAG Monolith, Question dataloader, run, end, 55216182764958
1787207267.018860, Self-RAG Monolith, Document retriever, run, start, 55216182845416
1787207267.632453, Self-RAG Monolith, Document retriever, run, end, 55216796446125
1787207267.632542, Self-RAG Monolith, Monolith formatter, run, start, 55216796525958
1787207267.649895, Self-RAG Monolith, Monolith formatter, run, end, 55216813879875
1787207267.649947, Self-RAG Monolith, Monolith LLM, run, start, 55216813927708
1787207267.650051, Self-RAG Monolith, Monolith LLM, first_token, start, 55216814033500
1787207275.597134, Self-RAG Monolith, Monolith LLM, first_token, end, 55224761106125
1787207276.774472, Self-RAG Monolith, Monolith LLM, n_generated_tokens, 33, 55225938426041
1787207276.774800, Self-RAG Monolith, Monolith LLM, run, end, 55225938718916
1787207276.774949, Self-RAG Monolith, Monolith router, run, start, 55225938867333
1787207276.775437, Self-RAG Monolith, Monolith router, run, end, 55225939357250
1787207276.775636, Self-RAG Monolith, End stage, run, start, 55225939554583
1787207276.777139, Self-RAG Monolith, End stage, run, end, 55225941057958
1787207276.777282, Self-RAG Monolith, pipeline - val, run, end, 267454738725596994289650933578554347387, 1787207267.014429, 1, 1, 55225941203541
1787207281.473575, Self-RAG Monolith, pipeline - val, run, start, 162003890802231018810691291074135937277, 1787207281.473157, 1, 2, 55230637632875
1787207281.474569, Self-RAG Monolith, Question dataloader, run, start, 55230638476916
1787207281.476079, Self-RAG Monolith, Question dataloader, run, end, 55230639973041
1787207281.476307, Self-RAG Monolith, Document retriever, run, start, 55230640197416
1787207281.708405, Self-RAG Monolith, Document retriever, run, end, 55230872294750
1787207281.708564, Self-RAG Monolith, Monolith formatter, run, start, 55230872445041
1787207281.708840, Self-RAG Monolith, Monolith formatter, run, end, 55230872720333
