1787482913.714323, Self-RAG Monolith, pipeline, prepare, start, 167259556370583
1787482913.714548, Self-RAG Monolith, Question dataloader, prepare, start, 167259556469833
1787482915.705804, Self-RAG Monolith, Question dataloader, prepare, end, 167261547735958
1787482915.705881, Self-RAG Monolith, Document retriever, prepare, start, 167261547802875
1787482939.275595, Self-RAG Monolith, Document retriever, prepare, end, 167285117535791
1787482939.276481, Self-RAG Monolith, Monolith formatter, prepare, start, 167285118400625
1787482939.276724, Self-RAG Monolith, Monolith formatter, prepare, end, 167285118641333
1787482939.276821, Self-RAG Monolith, Monolith LLM, prepare, start, 167285118738041
1787482944.645317, Self-RAG Monolith, Monolith LLM, prepare, end, 167290487249666
1787482944.646530, Self-RAG Monolith, Query rewrite formatter, prepare, start, 167290488447833
1787482944.646935, Self-RAG Monolith, Query rewrite formatter, prepare, end, 167290488851041
1787482944.647381, Self-RAG Monolith, Query rewrite LLM, prepare, start, 167290489295708
1787482944.647481, Self-RAG Monolith, Query rewrite LLM, prepare, end, 167290489398625
1787482944.647510, Self-RAG Monolith, pipeline, prepare, end, 167290489428708
1787482944.647889, Self-RAG Monolith, pipeline - val, run, start, 138494352448712906998276342027353982513, 1787482944.647823, 1, 1, 167290489816958
1787482944.648041, Self-RAG Monolith, Question dataloader, run, start, 167290489956791
1787482944.648466, Self-RAG Monolith, Question dataloader, run, end, 167290490384583
1787482944.648536, Self-RAG Monolith, Document retriever, run, start, 167290490451750
1787482946.256701, Self-RAG Monolith, Document retriever, run, end, 167292098629333
1787482946.256790, Self-RAG Monolith, Monolith formatter, run, start, 167292098705625
1787482946.275644, Self-RAG Monolith, Monolith formatter, run, end, 167292117565458
1787482946.275702, Self-RAG Monolith, Monolith LLM, run, start, 167292117617750
1787482946.279281, Self-RAG Monolith, Monolith LLM, n_prompt_tokens, 1093, 167292121197875
1787482946.279308, Self-RAG Monolith, Monolith LLM, first_token, start, 167292121222291
1787482955.697361, Self-RAG Monolith, Monolith LLM, first_token, end, 167301539515500
1787482956.880854, Self-RAG Monolith, Monolith LLM, n_generated_tokens, 33, 167302722817250
1787482956.881341, Self-RAG Monolith, Monolith LLM, run, end, 167302723259083
1787482956.881595, Self-RAG Monolith, Monolith router, run, start, 167302723512583
1787482956.883194, Self-RAG Monolith, Monolith router, run, end, 167302725114750
1787482956.883898, Self-RAG Monolith, End stage, run, start, 167302725826000
1787482956.885972, Self-RAG Monolith, End stage, run, end, 167302727888875
1787482956.886095, Self-RAG Monolith, pipeline - val, run, end, 138494352448712906998276342027353982513, 1787482944.647823, 1, 1, 167302728013500
1787482956.886458, Self-RAG Monolith, pipeline - val, run, start, 185859750975652298538017927956973814062, 1787482956.886354, 1, 2, 167302728373625
1787482956.886955, Self-RAG Monolith, Question dataloader, run, start, 167302729207791
1787482956.899784, Self-RAG Monolith, Question dataloader, run, end, 167302741700958
1787482956.899950, Self-RAG Monolith, Document retriever, run, start, 167302741888958
1787482957.546210, Self-RAG Monolith, Document retriever, run, end, 167303388135416
1787482957.546352, Self-RAG Monolith, Monolith formatter, run, start, 167303388266541
1787482957.547000, Self-RAG Monolith, Monolith formatter, run, end, 167303388915666
1787482957.547065, Self-RAG Monolith, Monolith LLM, run, start, 167303388978625
1787482957.555389, Self-RAG Monolith, Monolith LLM, n_prompt_tokens, 1606, 167303397305500
1787482957.555424, Self-RAG Monolith, Monolith LLM, first_token, start, 167303397335958
1787482965.510684, Self-RAG Monolith, Monolith LLM, first_token, end, 167311352732291
1787482966.709154, Self-RAG Monolith, Monolith LLM, n_generated_tokens, 33, 167312551112166
1787482966.709629, Self-RAG Monolith, Monolith LLM, run, end, 167312551546750
1787482966.709849, Self-RAG Monolith, Monolith router, run, start, 167312551765333
1787482966.710671, Self-RAG Monolith, Monolith router, run, end, 167312552585250
1787482966.711032, Self-RAG Monolith, End stage, run, start, 167312552959041
1787482966.712967, Self-RAG Monolith, End stage, run, end, 167312554881541
1787482966.713081, Self-RAG Monolith, pipeline - val, run, end, 185859750975652298538017927956973814062, 1787482956.886354, 1, 2, 167312554995291
1787482966.713437, Self-RAG Monolith, pipeline - val, run, start, 223555278338443460445080213235116157336, 1787482966.713331, 1, 3, 167312555361750
1787482966.713734, Self-RAG Monolith, Question dataloader, run, start, 167312555652333
1787482966.715453, Self-RAG Monolith, Question dataloader, run, end, 167312557371000
1787482966.715636, Self-RAG Monolith, Document retriever, run, start, 167312557558416
1787482967.044771, Self-RAG Monolith, Document retriever, run, end, 167312886695250
1787482967.044874, Self-RAG Monolith, Monolith formatter, run, start, 167312886786291
1787482967.045521, Self-RAG Monolith, Monolith formatter, run, end, 167312887435625
1787482967.045609, Self-RAG Monolith, Monolith LLM, run, start, 167312887524666
1787482967.051199, Self-RAG Monolith, Monolith LLM, n_prompt_tokens, 882, 167312893113208
1787482967.051229, Self-RAG Monolith, Monolith LLM, first_token, start, 167312893138541
1787482971.499398, Self-RAG Monolith, Monolith LLM, first_token, end, 167317341353083
1787482972.609861, Self-RAG Monolith, Monolith LLM, n_generated_tokens, 31, 167318451818708
1787482972.610200, Self-RAG Monolith, Monolith LLM, run, end, 167318452116666
1787482972.610425, Self-RAG Monolith, Monolith router, run, start, 167318452345583
1787482972.611238, Self-RAG Monolith, Monolith router, run, end, 167318453154250
1787482972.611457, Self-RAG Monolith, Query rewrite formatter, run, start, 167318453372291
1787482972.612977, Self-RAG Monolith, Query rewrite formatter, run, end, 167318454892041
1787482972.613204, Self-RAG Monolith, Query rewrite LLM, run, start, 167318455118416
1787482972.619840, Self-RAG Monolith, Query rewrite LLM, n_prompt_tokens, 587, 167318461759750
1787482972.619899, Self-RAG Monolith, Query rewrite LLM, first_token, start, 167318461810041
1787482975.739339, Self-RAG Monolith, Query rewrite LLM, first_token, end, 167321581271291
1787482976.587994, Self-RAG Monolith, Query rewrite LLM, n_generated_tokens, 24, 167322429942791
1787482976.588453, Self-RAG Monolith, Query rewrite LLM, run, end, 167322430374250
1787482976.588749, Self-RAG Monolith, Document retriever, run, start, 167322430694166
1787482976.930473, Self-RAG Monolith, Document retriever, run, end, 167322772396041
1787482976.930566, Self-RAG Monolith, Monolith formatter, run, start, 167322772476708
1787482976.930859, Self-RAG Monolith, Monolith formatter, run, end, 167322772771000
1787482976.930934, Self-RAG Monolith, Monolith LLM, run, start, 167322772843833
1787482976.933893, Self-RAG Monolith, Monolith LLM, n_prompt_tokens, 1236, 167322775803750
1787482976.933919, Self-RAG Monolith, Monolith LLM, first_token, start, 167322775827625
1787482983.049779, Self-RAG Monolith, Monolith LLM, first_token, end, 167328891895250
1787482984.164422, Self-RAG Monolith, Monolith LLM, n_generated_tokens, 31, 167330006381625
1787482984.165010, Self-RAG Monolith, Monolith LLM, run, end, 167330006926208
1787482984.165283, Self-RAG Monolith, Monolith router, run, start, 167330007197083
1787482984.166410, Self-RAG Monolith, Monolith router, run, end, 167330008321208
1787482984.167252, Self-RAG Monolith, Query rewrite formatter, run, start, 167330009171666
1787482984.170975, Self-RAG Monolith, Query rewrite formatter, run, end, 167330012889208
1787482984.171071, Self-RAG Monolith, Query rewrite LLM, run, start, 167330012982333
