1787208394.788576, Self-RAG Decomposed (multi-hop), pipeline, prepare, start, 56343966308958
1787208394.788791, Self-RAG Decomposed (multi-hop), Question dataloader, prepare, start, 56343966403375
1787208398.567698, Self-RAG Decomposed (multi-hop), Question dataloader, prepare, end, 56347745334125
1787208398.567859, Self-RAG Decomposed (multi-hop), Document retriever, prepare, start, 56347745467750
1787208428.941142, Self-RAG Decomposed (multi-hop), Document retriever, prepare, end, 56378118725625
1787208428.941284, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, prepare, start, 56378118834333
1787208428.941542, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, prepare, end, 56378119094250
1787208428.941655, Self-RAG Decomposed (multi-hop), Grader LLM, prepare, start, 56378119205083
1787208432.086794, Self-RAG Decomposed (multi-hop), Grader LLM, prepare, end, 56381264350250
1787208432.087740, Self-RAG Decomposed (multi-hop), Answer generator formatter, prepare, start, 56381265285333
1787208432.087884, Self-RAG Decomposed (multi-hop), Answer generator formatter, prepare, end, 56381265430875
1787208432.087943, Self-RAG Decomposed (multi-hop), Generator LLM, prepare, start, 56381265487208
1787208434.787333, Self-RAG Decomposed (multi-hop), Generator LLM, prepare, end, 56383964884000
1787208434.787438, Self-RAG Decomposed (multi-hop), Hallucination grader formatter, prepare, start, 56383964978833
1787208434.787570, Self-RAG Decomposed (multi-hop), Hallucination grader formatter, prepare, end, 56383965108958
1787208434.787615, Self-RAG Decomposed (multi-hop), Hallucination LLM, prepare, start, 56383965153291
1787208437.831443, Self-RAG Decomposed (multi-hop), Hallucination LLM, prepare, end, 56387008992541
1787208437.831741, Self-RAG Decomposed (multi-hop), Query rewrite formatter, prepare, start, 56387009278000
1787208437.831878, Self-RAG Decomposed (multi-hop), Query rewrite formatter, prepare, end, 56387009412833
1787208437.831939, Self-RAG Decomposed (multi-hop), Query rewrite LLM, prepare, start, 56387009472625
1787208437.832043, Self-RAG Decomposed (multi-hop), Query rewrite LLM, prepare, end, 56387009577916
1787208437.832138, Self-RAG Decomposed (multi-hop), pipeline, prepare, end, 56387009674708
1787208437.832976, Self-RAG Decomposed (multi-hop), pipeline - val, run, start, 174428605867661972704536870564164449685, 1787208437.832911, 1, 1, 56387010510666
1787208437.833500, Self-RAG Decomposed (multi-hop), Question dataloader, run, start, 56387011034291
