1787478291.208869, Self-RAG Decomposed (multi-hop), pipeline, prepare, start, 162637045193250
1787478291.209150, Self-RAG Decomposed (multi-hop), Question dataloader, prepare, start, 162637045332291
1787478293.762338, Self-RAG Decomposed (multi-hop), Question dataloader, prepare, end, 162639598528416
1787478293.762429, Self-RAG Decomposed (multi-hop), Document retriever, prepare, start, 162639598605583
1787478324.086012, Self-RAG Decomposed (multi-hop), Document retriever, prepare, end, 162669922144458
1787478324.086312, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, prepare, start, 162669922407833
1787478324.086548, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, prepare, end, 162669922641666
1787478324.086653, Self-RAG Decomposed (multi-hop), Grader LLM, prepare, start, 162669922744500
1787478326.795727, Self-RAG Decomposed (multi-hop), Grader LLM, prepare, end, 162672631823625
1787478326.795957, Self-RAG Decomposed (multi-hop), Answer generator formatter, prepare, start, 162672632047500
1787478326.796083, Self-RAG Decomposed (multi-hop), Answer generator formatter, prepare, end, 162672632169250
1787478326.796131, Self-RAG Decomposed (multi-hop), Generator LLM, prepare, start, 162672632216708
1787478329.635250, Self-RAG Decomposed (multi-hop), Generator LLM, prepare, end, 162675471341791
1787478329.635377, Self-RAG Decomposed (multi-hop), Hallucination grader formatter, prepare, start, 162675471456500
1787478329.635500, Self-RAG Decomposed (multi-hop), Hallucination grader formatter, prepare, end, 162675471578791
1787478329.635546, Self-RAG Decomposed (multi-hop), Hallucination LLM, prepare, start, 162675471622750
1787478332.509763, Self-RAG Decomposed (multi-hop), Hallucination LLM, prepare, end, 162678345854333
1787478332.510066, Self-RAG Decomposed (multi-hop), Query rewrite formatter, prepare, start, 162678346138958
1787478332.510179, Self-RAG Decomposed (multi-hop), Query rewrite formatter, prepare, end, 162678346248666
1787478332.510211, Self-RAG Decomposed (multi-hop), Query rewrite LLM, prepare, start, 162678346279875
1787478332.510271, Self-RAG Decomposed (multi-hop), Query rewrite LLM, prepare, end, 162678346339208
1787478332.510357, Self-RAG Decomposed (multi-hop), pipeline, prepare, end, 162678346429875
1787478332.511011, Self-RAG Decomposed (multi-hop), pipeline - val, run, start, 261282588301376627698869177653957585218, 1787478332.510951, 1, 1, 162678347084250
1787478332.511435, Self-RAG Decomposed (multi-hop), Question dataloader, run, start, 162678347505041
1787478332.520694, Self-RAG Decomposed (multi-hop), Question dataloader, run, end, 162678356763583
1787478332.521002, Self-RAG Decomposed (multi-hop), Document retriever, run, start, 162678357071750
1787478336.018702, Self-RAG Decomposed (multi-hop), Document retriever, run, end, 162681854778291
1787478336.019096, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, start, 162681855157583
1787478336.039164, Self-RAG Decomposed (multi-hop), Retrieval grader formatter, run, end, 162681875234500
1787478336.039290, Self-RAG Decomposed (multi-hop), Grader LLM, run, start, 162681875351208
1787478336.042688, Self-RAG Decomposed (multi-hop), Grader LLM, n_prompt_tokens, 689, 162681878749791
1787478336.042720, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, start, 162681878779333
1787478348.610458, Self-RAG Decomposed (multi-hop), Grader LLM, first_token, end, 162694446644458
1787478348.657901, Self-RAG Decomposed (multi-hop), Grader LLM, n_generated_tokens, 2, 162694493939291
1787478348.658156, Self-RAG Decomposed (multi-hop), Grader LLM, run, end, 162694494188208
1787478348.658876, Self-RAG Decomposed (multi-hop), Grade router, run, start, 162694494904791
1787478348.659602, Self-RAG Decomposed (multi-hop), Grade router, run, end, 162694495630583
1787478348.659722, Self-RAG Decomposed (multi-hop), Query rewrite formatter, run, start, 162694495749625
