1787489393.520200, Self-RAG Decomposed-Shared (multi-hop), pipeline, prepare, start, 173739319852708
1787489393.520449, Self-RAG Decomposed-Shared (multi-hop), Question dataloader, prepare, start, 173739319977125
1787489395.710267, Self-RAG Decomposed-Shared (multi-hop), Question dataloader, prepare, end, 173741509789625
1787489395.710329, Self-RAG Decomposed-Shared (multi-hop), Document retriever, prepare, start, 173741509842125
1787489425.893842, Self-RAG Decomposed-Shared (multi-hop), Document retriever, prepare, end, 173771693223958
1787489425.894174, Self-RAG Decomposed-Shared (multi-hop), Retrieval grader formatter, prepare, start, 173771693508791
1787489425.894448, Self-RAG Decomposed-Shared (multi-hop), Retrieval grader formatter, prepare, end, 173771693784625
1787489425.894569, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), prepare, start, 173771693903000
1787489428.587198, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), prepare, end, 173774386527125
1787489428.588226, Self-RAG Decomposed-Shared (multi-hop), Answer generator formatter, prepare, start, 173774387547583
1787489428.588371, Self-RAG Decomposed-Shared (multi-hop), Answer generator formatter, prepare, end, 173774387690916
1787489428.588423, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (generate), prepare, start, 173774387740958
1787489428.588536, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (generate), prepare, end, 173774387854750
1787489428.588561, Self-RAG Decomposed-Shared (multi-hop), Hallucination grader formatter, prepare, start, 173774387877625
1787489428.588633, Self-RAG Decomposed-Shared (multi-hop), Hallucination grader formatter, prepare, end, 173774387949791
1787489428.588671, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (hallucination), prepare, start, 173774387988000
1787489428.588760, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (hallucination), prepare, end, 173774388079041
1787489428.588862, Self-RAG Decomposed-Shared (multi-hop), Query rewrite formatter, prepare, start, 173774388179291
1787489428.588959, Self-RAG Decomposed-Shared (multi-hop), Query rewrite formatter, prepare, end, 173774388276541
1787489428.588981, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (rewrite), prepare, start, 173774388296875
1787489428.589048, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (rewrite), prepare, end, 173774388364750
1787489428.589145, Self-RAG Decomposed-Shared (multi-hop), pipeline, prepare, end, 173774388466458
1787489428.589471, Self-RAG Decomposed-Shared (multi-hop), pipeline - val, run, start, 171673686487555163078740619994881189213, 1787489428.589384, 1, 1, 173774388790041
1787489428.589590, Self-RAG Decomposed-Shared (multi-hop), Question dataloader, run, start, 173774388909458
1787489428.590155, Self-RAG Decomposed-Shared (multi-hop), Question dataloader, run, end, 173774389473458
1787489428.590209, Self-RAG Decomposed-Shared (multi-hop), Document retriever, run, start, 173774389525500
1787489429.007480, Self-RAG Decomposed-Shared (multi-hop), Document retriever, run, end, 173774806807500
1787489429.007578, Self-RAG Decomposed-Shared (multi-hop), Retrieval grader formatter, run, start, 173774806894833
1787489429.023959, Self-RAG Decomposed-Shared (multi-hop), Retrieval grader formatter, run, end, 173774823283291
1787489429.024031, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), run, start, 173774823346125
1787489429.026047, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), n_prompt_tokens, 689, 173774825364875
1787489429.026076, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), first_token, start, 173774825389958
1787489431.511126, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), first_token, end, 173777310445625
1787489431.553704, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), n_generated_tokens, 2, 173777353015416
1787489431.553904, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (grade), run, end, 173777353209541
1787489431.553997, Self-RAG Decomposed-Shared (multi-hop), Grade router, run, start, 173777353299416
1787489431.554246, Self-RAG Decomposed-Shared (multi-hop), Grade router, run, end, 173777353549416
1787489431.554313, Self-RAG Decomposed-Shared (multi-hop), Query rewrite formatter, run, start, 173777353615958
1787489431.554684, Self-RAG Decomposed-Shared (multi-hop), Query rewrite formatter, run, end, 173777353985833
1787489431.554731, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (rewrite), run, start, 173777354031166
1787489431.556562, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (rewrite), n_prompt_tokens, 634, 173777355863125
1787489431.556589, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (rewrite), first_token, start, 173777355888333
1787489433.378021, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (rewrite), first_token, end, 173779177331333
1787489433.483764, Self-RAG Decomposed-Shared (multi-hop), Shared LLM (rewrite), n_generated_tokens, 5, 173779283072250
