1787489856.905364, Self-RAG Monolith 4B (multi-hop), pipeline, prepare, start, 174202707299208
1787489856.905663, Self-RAG Monolith 4B (multi-hop), Question dataloader, prepare, start, 174202707434708
1787489858.985129, Self-RAG Monolith 4B (multi-hop), Question dataloader, prepare, end, 174204787772708
1787489858.985202, Self-RAG Monolith 4B (multi-hop), Document retriever, prepare, start, 174204787835958
1787489889.079129, Self-RAG Monolith 4B (multi-hop), Document retriever, prepare, end, 174234886900125
1787489889.080197, Self-RAG Monolith 4B (multi-hop), Monolith formatter, prepare, start, 174234887936500
1787489889.080416, Self-RAG Monolith 4B (multi-hop), Monolith formatter, prepare, end, 174234888153083
1787489889.080513, Self-RAG Monolith 4B (multi-hop), Monolith LLM, prepare, start, 174234888250666
1787489891.859132, Self-RAG Monolith 4B (multi-hop), Monolith LLM, prepare, end, 174237667014208
1787489891.859737, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, prepare, start, 174237667611041
1787489891.859850, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, prepare, end, 174237667723291
1787489891.859889, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, prepare, start, 174237667760666
1787489891.859982, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, prepare, end, 174237667852208
1787489891.860012, Self-RAG Monolith 4B (multi-hop), pipeline, prepare, end, 174237667884583
1787489891.860654, Self-RAG Monolith 4B (multi-hop), pipeline - val, run, start, 307373669399255875502623990271901006300, 1787489891.860612, 1, 1, 174237668525666
1787489891.860772, Self-RAG Monolith 4B (multi-hop), Question dataloader, run, start, 174237668642708
1787489891.865567, Self-RAG Monolith 4B (multi-hop), Question dataloader, run, end, 174237673439791
1787489891.865661, Self-RAG Monolith 4B (multi-hop), Document retriever, run, start, 174237673532083
1787489892.324974, Self-RAG Monolith 4B (multi-hop), Document retriever, run, end, 174238132877666
1787489892.325064, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, start, 174238132956708
1787489892.340548, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, end, 174238148444833
1787489892.340601, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, start, 174238148493666
1787489892.342985, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_prompt_tokens, 878, 174238150879291
1787489892.343014, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, start, 174238150905666
1787489895.449677, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, end, 174241257743458
1787489895.918447, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_generated_tokens, 22, 174241726532166
1787489895.918802, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, end, 174241726832500
1787489895.919014, Self-RAG Monolith 4B (multi-hop), Monolith router, run, start, 174241727047750
1787489895.919414, Self-RAG Monolith 4B (multi-hop), Monolith router, run, end, 174241727444625
1787489895.919621, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, run, start, 174241727656833
1787489895.920359, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, run, end, 174241728388833
1787489895.920509, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, run, start, 174241728541916
1787489895.922726, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, n_prompt_tokens, 634, 174241730758541
1787489895.922778, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, first_token, start, 174241730805666
1787489897.767212, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, first_token, end, 174243575317125
1787489897.872707, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, n_generated_tokens, 5, 174243680813333
1787489897.872894, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, run, end, 174243680985916
1787489897.873106, Self-RAG Monolith 4B (multi-hop), Document retriever, run, start, 174243681202416
1787489898.155178, Self-RAG Monolith 4B (multi-hop), Document retriever, run, end, 174243963289416
1787489898.155348, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, start, 174243963446791
1787489898.155595, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, end, 174243963692666
1787489898.155736, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, start, 174243963833916
1787489898.158309, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_prompt_tokens, 1237, 174243966406166
1787489898.158335, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, start, 174243966429458
1787489901.525276, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, end, 174247333485791
1787489901.984994, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_generated_tokens, 22, 174247793207000
1787489901.985177, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, end, 174247793370291
