1787490230.719525, Self-RAG Monolith (multi-hop), pipeline, prepare, start, 174576527315291
1787490230.719813, Self-RAG Monolith (multi-hop), Question dataloader, prepare, start, 174576527450708
1787490232.934483, Self-RAG Monolith (multi-hop), Question dataloader, prepare, end, 174578742121666
1787490232.934547, Self-RAG Monolith (multi-hop), Document retriever, prepare, start, 174578742176500
1787490263.237781, Self-RAG Monolith (multi-hop), Document retriever, prepare, end, 174609045361416
1787490263.238155, Self-RAG Monolith (multi-hop), Monolith formatter, prepare, start, 174609045702875
1787490263.238380, Self-RAG Monolith (multi-hop), Monolith formatter, prepare, end, 174609045926958
1787490263.238481, Self-RAG Monolith (multi-hop), Monolith LLM, prepare, start, 174609046025916
1787490268.643324, Self-RAG Monolith (multi-hop), Monolith LLM, prepare, end, 174614450871250
1787490268.643970, Self-RAG Monolith (multi-hop), Query rewrite formatter, prepare, start, 174614451499916
1787490268.644070, Self-RAG Monolith (multi-hop), Query rewrite formatter, prepare, end, 174614451600125
1787490268.644106, Self-RAG Monolith (multi-hop), Query rewrite LLM, prepare, start, 174614451633375
1787490268.644178, Self-RAG Monolith (multi-hop), Query rewrite LLM, prepare, end, 174614451705583
1787490268.644200, Self-RAG Monolith (multi-hop), pipeline, prepare, end, 174614451729375
1787490268.645056, Self-RAG Monolith (multi-hop), pipeline - val, run, start, 82239717262710018414742523034123195277, 1787490268.645009, 1, 1, 174614452586500
1787490268.645172, Self-RAG Monolith (multi-hop), Question dataloader, run, start, 174614452700000
1787490268.656374, Self-RAG Monolith (multi-hop), Question dataloader, run, end, 174614463902625
1787490268.656695, Self-RAG Monolith (multi-hop), Document retriever, run, start, 174614464224333
1787490270.441142, Self-RAG Monolith (multi-hop), Document retriever, run, end, 174616248677916
1787490270.441247, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 174616248771208
1787490270.458917, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 174616266444041
1787490270.458983, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 174616266508333
1787490270.461935, Self-RAG Monolith (multi-hop), Monolith LLM, n_prompt_tokens, 878, 174616269459875
1787490270.461961, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, start, 174616269483250
1787490277.926702, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, end, 174623734330083
1787490279.031500, Self-RAG Monolith (multi-hop), Monolith LLM, n_generated_tokens, 31, 174624839034125
1787490279.031932, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 174624839435083
1787490279.032237, Self-RAG Monolith (multi-hop), Monolith router, run, start, 174624839743375
1787490279.032847, Self-RAG Monolith (multi-hop), Monolith router, run, end, 174624840350125
1787490279.033099, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, start, 174624840609666
1787490279.035704, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, end, 174624843206375
1787490279.035839, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, start, 174624843339333
1787490279.040437, Self-RAG Monolith (multi-hop), Query rewrite LLM, n_prompt_tokens, 634, 174624847940291
1787490279.040476, Self-RAG Monolith (multi-hop), Query rewrite LLM, first_token, start, 174624847975333
1787490282.319372, Self-RAG Monolith (multi-hop), Query rewrite LLM, first_token, end, 174628126888291
1787490282.700515, Self-RAG Monolith (multi-hop), Query rewrite LLM, n_generated_tokens, 11, 174628508015750
1787490282.700691, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, end, 174628508182000
1787490282.700817, Self-RAG Monolith (multi-hop), Document retriever, run, start, 174628508304833
1787490283.046798, Self-RAG Monolith (multi-hop), Document retriever, run, end, 174628854298833
1787490283.046909, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 174628854397958
1787490283.047217, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 174628854707041
1787490283.047297, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 174628854788458
1787490283.050999, Self-RAG Monolith (multi-hop), Monolith LLM, n_prompt_tokens, 1226, 174628858488125
1787490283.051026, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, start, 174628858512458
1787490289.161542, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, end, 174634969121041
1787490290.272775, Self-RAG Monolith (multi-hop), Monolith LLM, n_generated_tokens, 31, 174636080283875
1787490290.273266, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 174636080738458
1787490290.273583, Self-RAG Monolith (multi-hop), Monolith router, run, start, 174636081058583
1787490290.274160, Self-RAG Monolith (multi-hop), Monolith router, run, end, 174636081632625
1787490290.274435, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, start, 174636081915375
1787490290.276420, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, end, 174636083892708
1787490290.276562, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, start, 174636084037875
1787490290.283963, Self-RAG Monolith (multi-hop), Query rewrite LLM, n_prompt_tokens, 940, 174636091436041
1787490290.284010, Self-RAG Monolith (multi-hop), Query rewrite LLM, first_token, start, 174636091476583
1787490295.050249, Self-RAG Monolith (multi-hop), Query rewrite LLM, first_token, end, 174640857722875
1787490295.443624, Self-RAG Monolith (multi-hop), Query rewrite LLM, n_generated_tokens, 11, 174641251103666
1787490295.443852, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, end, 174641251311208
1787490295.444106, Self-RAG Monolith (multi-hop), Document retriever, run, start, 174641251568333
1787490295.859829, Self-RAG Monolith (multi-hop), Document retriever, run, end, 174641667294458
1787490295.859955, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 174641667407958
1787490295.860310, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 174641667761708
1787490295.860360, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 174641667810583
1787490295.863051, Self-RAG Monolith (multi-hop), Monolith LLM, n_prompt_tokens, 1226, 174641670505500
1787490295.863089, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, start, 174641670539333
1787490301.977848, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, end, 174647785407083
1787490303.103260, Self-RAG Monolith (multi-hop), Monolith LLM, n_generated_tokens, 31, 174648910729500
1787490303.103730, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 174648911165875
1787490303.104042, Self-RAG Monolith (multi-hop), Monolith router, run, start, 174648911481333
1787490303.104632, Self-RAG Monolith (multi-hop), Monolith router, run, end, 174648912068875
1787490303.104903, Self-RAG Monolith (multi-hop), End stage, run, start, 174648912347750
1787490303.107102, Self-RAG Monolith (multi-hop), End stage, run, end, 174648914537291
1787490303.107235, Self-RAG Monolith (multi-hop), pipeline - val, run, end, 82239717262710018414742523034123195277, 1787490268.645009, 1, 1, 174648914668708
1787490303.107604, Self-RAG Monolith (multi-hop), pipeline - val, run, start, 53065001167240673999988772722703865153, 1787490303.107499, 1, 2, 174648915047291
1787490303.107877, Self-RAG Monolith (multi-hop), Question dataloader, run, start, 174648915311583
1787490303.122078, Self-RAG Monolith (multi-hop), Question dataloader, run, end, 174648929512916
1787490303.122251, Self-RAG Monolith (multi-hop), Document retriever, run, start, 174648929682833
1787490303.543969, Self-RAG Monolith (multi-hop), Document retriever, run, end, 174649351412125
1787490303.544072, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 174649351503000
1787490303.544744, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 174649352175583
1787490303.544796, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 174649352225000
1787490303.549703, Self-RAG Monolith (multi-hop), Monolith LLM, n_prompt_tokens, 874, 174649357134500
1787490303.549732, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, start, 174649357159750
1787490308.003106, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, end, 174653810643000
1787490309.111795, Self-RAG Monolith (multi-hop), Monolith LLM, n_generated_tokens, 31, 174654919243958
1787490309.112100, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 174654919517291
1787490309.112279, Self-RAG Monolith (multi-hop), Monolith router, run, start, 174654919701375
1787490309.112590, Self-RAG Monolith (multi-hop), Monolith router, run, end, 174654920007708
1787490309.112787, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, start, 174654920209750
1787490309.113822, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, end, 174654921241833
1787490309.114008, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, start, 174654921427250
1787490309.117354, Self-RAG Monolith (multi-hop), Query rewrite LLM, n_prompt_tokens, 666, 174654924771375
1787490309.117392, Self-RAG Monolith (multi-hop), Query rewrite LLM, first_token, start, 174654924805416
1787490312.572252, Self-RAG Monolith (multi-hop), Query rewrite LLM, first_token, end, 174658379685166
1787490312.886859, Self-RAG Monolith (multi-hop), Query rewrite LLM, n_generated_tokens, 9, 174658694281541
1787490312.887069, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, end, 174658694477916
1787490312.887200, Self-RAG Monolith (multi-hop), Document retriever, run, start, 174658694605750
1787490313.163050, Self-RAG Monolith (multi-hop), Document retriever, run, end, 174658970466125
1787490313.163169, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 174658970572625
1787490313.163494, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 174658970899083
1787490313.163575, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 174658970977375
1787490313.167846, Self-RAG Monolith (multi-hop), Monolith LLM, n_prompt_tokens, 1403, 174658975249791
1787490313.167873, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, start, 174658975274041
1787490320.033208, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, end, 174665840727333
1787490321.170250, Self-RAG Monolith (multi-hop), Monolith LLM, n_generated_tokens, 31, 174666977686750
1787490321.171300, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 174666978700333
1787490321.171552, Self-RAG Monolith (multi-hop), Monolith router, run, start, 174666978942583
1787490321.172263, Self-RAG Monolith (multi-hop), Monolith router, run, end, 174666979648250
1787490321.172518, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, start, 174666979917875
1787490321.174693, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, end, 174666982078208
1787490321.174796, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, start, 174666982184208
1787490321.182980, Self-RAG Monolith (multi-hop), Query rewrite LLM, n_prompt_tokens, 986, 174666990369041
1787490321.183032, Self-RAG Monolith (multi-hop), Query rewrite LLM, first_token, start, 174666990411916
1787490326.119929, Self-RAG Monolith (multi-hop), Query rewrite LLM, first_token, end, 174671927315041
1787490326.481205, Self-RAG Monolith (multi-hop), Query rewrite LLM, n_generated_tokens, 10, 174672288606291
1787490326.481462, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, end, 174672288832666
1787490326.481684, Self-RAG Monolith (multi-hop), Document retriever, run, start, 174672289052083
1787490326.870041, Self-RAG Monolith (multi-hop), Document retriever, run, end, 174672677418666
1787490326.870165, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 174672677529750
1787490326.870521, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 174672677887166
1787490326.870602, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 174672677965750
1787490326.873131, Self-RAG Monolith (multi-hop), Monolith LLM, n_prompt_tokens, 1403, 174672680495208
1787490326.873157, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, start, 174672680518875
1787490333.771621, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, end, 174679579162791
1787490334.925897, Self-RAG Monolith (multi-hop), Monolith LLM, n_generated_tokens, 31, 174680733281375
1787490334.926446, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 174680733791958
1787490334.926764, Self-RAG Monolith (multi-hop), Monolith router, run, start, 174680734109500
1787490334.927709, Self-RAG Monolith (multi-hop), Monolith router, run, end, 174680735052541
1787490334.928584, Self-RAG Monolith (multi-hop), End stage, run, start, 174680735938291
1787490334.930474, Self-RAG Monolith (multi-hop), End stage, run, end, 174680737821291
1787490334.930551, Self-RAG Monolith (multi-hop), pipeline - val, run, end, 53065001167240673999988772722703865153, 1787490303.107499, 1, 2, 174680737894750
1787490334.931021, Self-RAG Monolith (multi-hop), pipeline - val, run, start, 167157326124583586078147451265765909811, 1787490334.930924, 1, 3, 174680738371375
1787490334.931499, Self-RAG Monolith (multi-hop), Question dataloader, run, start, 174680738842000
1787490334.947457, Self-RAG Monolith (multi-hop), Question dataloader, run, end, 174680754801208
1787490334.947632, Self-RAG Monolith (multi-hop), Document retriever, run, start, 174680754974708
1787490335.384441, Self-RAG Monolith (multi-hop), Document retriever, run, end, 174681191794875
1787490335.384569, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 174681191909666
1787490335.385326, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 174681192666041
1787490335.385430, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 174681192772458
1787490335.392131, Self-RAG Monolith (multi-hop), Monolith LLM, n_prompt_tokens, 1064, 174681199475458
1787490335.392167, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, start, 174681199505375
1787490340.807902, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, end, 174686615427083
1787490342.053475, Self-RAG Monolith (multi-hop), Monolith LLM, n_generated_tokens, 35, 174687860907875
1787490342.054064, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 174687861385333
1787490342.054255, Self-RAG Monolith (multi-hop), Monolith router, run, start, 174687861578666
1787490342.054940, Self-RAG Monolith (multi-hop), Monolith router, run, end, 174687862262666
1787490342.055570, Self-RAG Monolith (multi-hop), End stage, run, start, 174687862898375
1787490342.056923, Self-RAG Monolith (multi-hop), End stage, run, end, 174687864245083
1787490342.057012, Self-RAG Monolith (multi-hop), pipeline - val, run, end, 167157326124583586078147451265765909811, 1787490334.930924, 1, 3, 174687864332625
1787490342.057258, Self-RAG Monolith (multi-hop), pipeline - val, run, start, 139980706984060799351830026543332354696, 1787490342.057193, 1, 4, 174687864581458
1787490342.057595, Self-RAG Monolith (multi-hop), Question dataloader, run, start, 174687864918833
1787490342.070294, Self-RAG Monolith (multi-hop), Question dataloader, run, end, 174687877615750
1787490342.070415, Self-RAG Monolith (multi-hop), Document retriever, run, start, 174687877736333
1787490342.543015, Self-RAG Monolith (multi-hop), Document retriever, run, end, 174688350346791
