1787239240.249452, Self-RAG Monolith 4B, pipeline, prepare, start, 9358306087776055
1787239240.249961, Self-RAG Monolith 4B, Question dataloader, prepare, start, 9358306088027320
1787239246.857855, Self-RAG Monolith 4B, Question dataloader, prepare, end, 9358312695928787
1787239246.857913, Self-RAG Monolith 4B, Document retriever, prepare, start, 9358312695974755
1787239261.291343, Self-RAG Monolith 4B, Document retriever, prepare, end, 9358327129435041
1787239261.291444, Self-RAG Monolith 4B, Monolith formatter, prepare, start, 9358327129505569
1787239261.291828, Self-RAG Monolith 4B, Monolith formatter, prepare, end, 9358327129891169
1787239261.291846, Self-RAG Monolith 4B, Monolith LLM, prepare, start, 9358327129906385
1787239304.686444, Self-RAG Monolith 4B, Monolith LLM, prepare, end, 9358370524523248
1787239304.688473, Self-RAG Monolith 4B, Query rewrite formatter, prepare, start, 9358370526558353
1787239304.688874, Self-RAG Monolith 4B, Query rewrite formatter, prepare, end, 9358370526956897
1787239304.688964, Self-RAG Monolith 4B, Query rewrite LLM, prepare, start, 9358370527024993
1787239304.689562, Self-RAG Monolith 4B, Query rewrite LLM, prepare, end, 9358370527645649
1787239304.689640, Self-RAG Monolith 4B, pipeline, prepare, end, 9358370527705633
1787239304.690882, Self-RAG Monolith 4B, pipeline - val, run, start, 182990432811392457992068298389211474451, 1787239304.690769, 1, 1, 9358370528970418
1787239304.691210, Self-RAG Monolith 4B, Question dataloader, run, start, 9358370529279186
1787239304.691504, Self-RAG Monolith 4B, Question dataloader, run, end, 9358370529567266
1787239304.691668, Self-RAG Monolith 4B, Document retriever, run, start, 9358370529744274
1787239304.725105, Self-RAG Monolith 4B, Document retriever, run, end, 9358370563196915
1787239304.725221, Self-RAG Monolith 4B, Monolith formatter, run, start, 9358370563293747
1787239304.741921, Self-RAG Monolith 4B, Monolith formatter, run, end, 9358370579990043
1787239304.742415, Self-RAG Monolith 4B, Monolith LLM, run, start, 9358370580488972
1787239304.746113, Self-RAG Monolith 4B, Monolith LLM, first_token, start, 9358370584201309
1787239305.452786, Self-RAG Monolith 4B, pipeline - val, run, start, 222938228652941759457551979897909607410, 1787239305.452404, 1, 2, 9358371290882155
1787239305.453425, Self-RAG Monolith 4B, Question dataloader, run, start, 9358371291494796
1787239305.453875, Self-RAG Monolith 4B, Question dataloader, run, end, 9358371291944876
1787239305.454096, Self-RAG Monolith 4B, Document retriever, run, start, 9358371292174316
1787239305.508217, Self-RAG Monolith 4B, Document retriever, run, end, 9358371346334567
1787239305.508619, Self-RAG Monolith 4B, Monolith formatter, run, start, 9358371346704327
1787239305.509243, Self-RAG Monolith 4B, Monolith formatter, run, end, 9358371347306247
1787239305.565602, Self-RAG Monolith 4B, Monolith LLM, first_token, end, 9358371403695731
1787239307.657182, Self-RAG Monolith 4B, Monolith LLM, n_generated_tokens, 26, 9358373495286367
1787239307.658617, Self-RAG Monolith 4B, Monolith LLM, run, end, 9358373496691808
1787239307.658691, Self-RAG Monolith 4B, Monolith LLM, run, start, 9358373496752752
1787239307.659086, Self-RAG Monolith 4B, Monolith router, run, start, 9358373497156624
1787239307.659193, Self-RAG Monolith 4B, Monolith router, run, end, 9358373497255264
1787239307.659748, Self-RAG Monolith 4B, End stage, run, start, 9358373497834833
1787239307.661124, Self-RAG Monolith 4B, End stage, run, end, 9358373499209041
1787239307.661242, Self-RAG Monolith 4B, pipeline - val, run, end, 182990432811392457992068298389211474451, 1787239304.690769, 1, 1, 9358373499323873
1787239307.663128, Self-RAG Monolith 4B, Monolith LLM, first_token, start, 9358373501203474
1787239308.345841, Self-RAG Monolith 4B, Monolith LLM, first_token, end, 9358374184075845
1787239308.728648, Self-RAG Monolith 4B, pipeline - val, run, start, 243334419320672635128345253488715135978, 1787239308.728379, 1, 3, 9358374566737618
1787239308.729059, Self-RAG Monolith 4B, Question dataloader, run, start, 9358374567131234
1787239308.739189, Self-RAG Monolith 4B, Question dataloader, run, end, 9358374577279447
1787239308.740350, Self-RAG Monolith 4B, Document retriever, run, start, 9358374578433816
1787239308.771396, Self-RAG Monolith 4B, Document retriever, run, end, 9358374609482167
1787239308.771527, Self-RAG Monolith 4B, Monolith formatter, run, start, 9358374609604359
1787239308.772105, Self-RAG Monolith 4B, Monolith formatter, run, end, 9358374610168504
1787239310.403821, Self-RAG Monolith 4B, Monolith LLM, n_generated_tokens, 26, 9358376241909985
1787239310.405021, Self-RAG Monolith 4B, Monolith LLM, run, end, 9358376243105233
1787239310.405119, Self-RAG Monolith 4B, Monolith LLM, run, start, 9358376243180065
1787239310.405771, Self-RAG Monolith 4B, Monolith router, run, start, 9358376243853890
1787239310.405906, Self-RAG Monolith 4B, Monolith router, run, end, 9358376243968162
1787239310.406299, Self-RAG Monolith 4B, End stage, run, start, 9358376244374722
1787239310.406636, Self-RAG Monolith 4B, End stage, run, end, 9358376244706834
1787239310.407667, Self-RAG Monolith 4B, pipeline - val, run, end, 222938228652941759457551979897909607410, 1787239305.452404, 1, 2, 9358376245751747
1787239310.408032, Self-RAG Monolith 4B, Monolith LLM, first_token, start, 9358376246106739
1787239310.767606, Self-RAG Monolith 4B, Monolith LLM, first_token, end, 9358376605712789
1787239311.351412, Self-RAG Monolith 4B, pipeline - val, run, start, 231386593941472918320955156326893422681, 1787239311.351143, 1, 4, 9358377189534854
1787239311.351885, Self-RAG Monolith 4B, Question dataloader, run, start, 9358377189959143
1787239311.352312, Self-RAG Monolith 4B, Question dataloader, run, end, 9358377190374167
1787239311.352472, Self-RAG Monolith 4B, Document retriever, run, start, 9358377190551543
1787239311.382705, Self-RAG Monolith 4B, Document retriever, run, end, 9358377220795318
1787239311.382826, Self-RAG Monolith 4B, Monolith formatter, run, start, 9358377220900998
1787239311.383345, Self-RAG Monolith 4B, Monolith formatter, run, end, 9358377221407654
1787239312.607849, Self-RAG Monolith 4B, Monolith LLM, n_generated_tokens, 24, 9358378445931989
1787239312.608625, Self-RAG Monolith 4B, Monolith LLM, run, end, 9358378446698693
1787239312.608694, Self-RAG Monolith 4B, Monolith LLM, run, start, 9358378446755285
1787239312.609487, Self-RAG Monolith 4B, Monolith router, run, start, 9358378447592694
1787239312.609758, Self-RAG Monolith 4B, Monolith router, run, end, 9358378447821446
1787239312.610005, Self-RAG Monolith 4B, Query rewrite formatter, run, start, 9358378448088390
1787239312.610666, Self-RAG Monolith 4B, Query rewrite formatter, run, end, 9358378448736598
1787239312.610791, Self-RAG Monolith 4B, Query rewrite LLM, run, start, 9358378448868550
1787239312.611930, Self-RAG Monolith 4B, Monolith LLM, first_token, start, 9358378449997943
1787239313.142693, Self-RAG Monolith 4B, Monolith LLM, first_token, end, 9358378980917886
1787239314.545855, Self-RAG Monolith 4B, pipeline - val, run, start, 64821250779231701504105402492541105755, 1787239314.545655, 1, 5, 9358380383948230
1787239314.546165, Self-RAG Monolith 4B, Question dataloader, run, start, 9358380384236774
1787239314.546479, Self-RAG Monolith 4B, Question dataloader, run, end, 9358380384541190
1787239314.546643, Self-RAG Monolith 4B, Document retriever, run, start, 9358380384723958
1787239314.576776, Self-RAG Monolith 4B, Document retriever, run, end, 9358380414865589
1787239314.576951, Self-RAG Monolith 4B, Monolith formatter, run, start, 9358380415030325
1787239314.577663, Self-RAG Monolith 4B, Monolith formatter, run, end, 9358380415726886
1787239315.322179, Self-RAG Monolith 4B, Monolith LLM, n_generated_tokens, 28, 9358381160268919
1787239315.322306, Self-RAG Monolith 4B, Query rewrite LLM, first_token, start, 9358381160398663
1787239315.324226, Self-RAG Monolith 4B, Monolith LLM, run, end, 9358381162309816
1787239315.324590, Self-RAG Monolith 4B, Monolith LLM, run, start, 9358381162651560
1787239315.325163, Self-RAG Monolith 4B, Monolith router, run, start, 9358381163235993
1787239315.325310, Self-RAG Monolith 4B, Monolith router, run, end, 9358381163372393
1787239315.325637, Self-RAG Monolith 4B, End stage, run, start, 9358381163715289
1787239315.326376, Self-RAG Monolith 4B, End stage, run, end, 9358381164448473
1787239315.327188, Self-RAG Monolith 4B, pipeline - val, run, end, 231386593941472918320955156326893422681, 1787239311.351143, 1, 4, 9358381165272346
1787239315.647133, Self-RAG Monolith 4B, Query rewrite LLM, first_token, end, 9358381485231128
1787239316.467570, Self-RAG Monolith 4B, Query rewrite LLM, n_generated_tokens, 11, 9358382305654591
1787239316.467846, Self-RAG Monolith 4B, Monolith LLM, first_token, start, 9358382305937904
1787239316.468983, Self-RAG Monolith 4B, Query rewrite LLM, run, end, 9358382307076016
1787239316.469770, Self-RAG Monolith 4B, Document retriever, run, start, 9358382307858737
1787239316.507787, Self-RAG Monolith 4B, Document retriever, run, end, 9358382345877459
1787239316.508240, Self-RAG Monolith 4B, Monolith formatter, run, start, 9358382346314372
1787239316.508531, Self-RAG Monolith 4B, Monolith formatter, run, end, 9358382346593124
1787239316.911261, Self-RAG Monolith 4B, Monolith LLM, first_token, end, 9358382749383483
1787239319.095180, Self-RAG Monolith 4B, Monolith LLM, n_generated_tokens, 29, 9358384933266951
1787239319.095523, Self-RAG Monolith 4B, Monolith LLM, run, end, 9358384933588295
1787239319.095564, Self-RAG Monolith 4B, Monolith LLM, run, start, 9358384933625655
1787239319.096010, Self-RAG Monolith 4B, Monolith router, run, start, 9358384934081095
1787239319.096111, Self-RAG Monolith 4B, Monolith router, run, end, 9358384934172343
1787239319.096721, Self-RAG Monolith 4B, End stage, run, start, 9358384934819879
1787239319.097039, Self-RAG Monolith 4B, End stage, run, end, 9358384935100967
1787239319.097493, Self-RAG Monolith 4B, pipeline - val, run, end, 64821250779231701504105402492541105755, 1787239314.545655, 1, 5, 9358384935580184
1787239319.099535, Self-RAG Monolith 4B, Monolith LLM, first_token, start, 9358384937608537
1787239319.869601, Self-RAG Monolith 4B, Monolith LLM, first_token, end, 9358385707699271
1787239321.735100, Self-RAG Monolith 4B, Monolith LLM, n_generated_tokens, 26, 9358387573187093
1787239321.735801, Self-RAG Monolith 4B, Monolith LLM, run, end, 9358387573880805
1787239321.736339, Self-RAG Monolith 4B, Monolith router, run, start, 9358387574455158
1787239321.736638, Self-RAG Monolith 4B, Monolith router, run, end, 9358387574700502
1787239321.737041, Self-RAG Monolith 4B, End stage, run, start, 9358387575129254
1787239321.737327, Self-RAG Monolith 4B, End stage, run, end, 9358387575389094
1787239321.737642, Self-RAG Monolith 4B, pipeline - val, run, end, 243334419320672635128345253488715135978, 1787239308.728379, 1, 3, 9358387575724454
1787239325.420397, Self-RAG Monolith 4B, pipeline - val, run, start, 50274892663109065681048954977408343977, 1787239325.420037, 1, 6, 9358391258488123
1787239325.421030, Self-RAG Monolith 4B, Question dataloader, run, start, 9358391259106427
1787239325.421293, Self-RAG Monolith 4B, Question dataloader, run, end, 9358391259356251
1787239325.421627, Self-RAG Monolith 4B, Document retriever, run, start, 9358391259705627
1787239325.442734, Self-RAG Monolith 4B, Document retriever, run, end, 9358391280818853
1787239325.443165, Self-RAG Monolith 4B, Monolith formatter, run, start, 9358391281237334
1787239325.443463, Self-RAG Monolith 4B, Monolith formatter, run, end, 9358391281526486
