case,preprocess_s,inference_s,total_s,pre_frac_pct,n_subvolumes,image_shape,dice_kidney,dice_tumor,dice_mean,error
case_00000,3.5,17.38,20.89,16.8,50,192x384x384,0.9731,0.8403,0.9067,
case_00003,4.05,23.36,27.41,14.8,50,192x384x384,0.9709,0.8356,0.9033,
case_00005,10.47,32.52,42.99,24.4,108,256x448x448,0.7778,0.586,0.6819,
case_00006,3.19,31.03,34.22,9.3,64,320x320x320,0.956,0.8168,0.8864,
case_00012,2.1,12.07,14.17,14.8,48,256x320x320,0.9404,0.8841,0.9123,
case_00024,2.13,6.3,8.44,25.3,27,256x256x256,0.96,0.9348,0.9474,
case_00034,3.23,26.98,30.2,10.7,100,320x384x384,0.9618,0.791,0.8764,
case_00041,0.92,4.32,5.24,17.6,16,128x320x320,0.9567,0.7863,0.8715,
case_00044,3.38,24.25,27.64,12.2,100,320x384x384,0.9396,0.8986,0.9191,
case_00049,7.45,13.04,20.49,36.4,50,192x384x384,0.9527,0.774,0.8634,
case_00052,7.92,12.06,19.98,39.6,50,192x384x384,0.9732,0.8872,0.9302,
case_00056,2.48,10.99,13.47,18.4,48,256x320x320,0.9597,0.9373,0.9485,
case_00061,1.04,8.54,9.58,10.9,36,128x448x448,0.9586,0.8771,0.9178,
case_00065,1.95,7.47,9.42,20.7,32,192x320x320,0.9558,0.7209,0.8384,
case_00066,6.68,23.46,30.14,22.2,100,320x384x384,0.9693,0.8948,0.932,
case_00070,1.4,8.22,9.61,14.5,32,192x320x320,0.9509,0.9086,0.9297,
case_00076,1.44,7.57,9.01,16.0,32,192x320x320,0.9494,0.7627,0.856,
case_00078,4.62,12.09,16.71,27.7,50,192x384x384,0.9563,0.9215,0.9389,
case_00080,2.21,12.46,14.67,15.1,48,256x320x320,0.9592,0.8715,0.9153,
case_00084,6.15,36.82,42.97,14.3,144,320x448x448,0.9442,0.6796,0.8119,
case_00086,3.45,16.0,19.45,17.7,64,320x320x320,0.9506,0.8899,0.9203,
case_00087,1.17,4.31,5.48,21.4,16,128x320x320,0.9537,0.5371,0.7454,
case_00092,2.1,16.53,18.63,11.3,64,320x320x320,0.9428,0.8932,0.918,
case_00111,3.25,14.62,17.86,18.2,64,320x320x320,0.9596,0.8505,0.9051,
case_00112,1.86,4.33,6.19,30.0,16,128x320x320,0.9581,0.7851,0.8716,
case_00125,4.43,34.24,38.67,11.5,144,320x448x448,0.9643,0.8426,0.9034,
case_00128,4.37,22.47,26.84,16.3,100,320x384x384,0.9609,0.8523,0.9066,
case_00138,1.38,4.34,5.72,24.1,16,128x320x320,0.9615,0.7076,0.8346,
case_00157,7.27,10.97,18.24,39.9,50,192x384x384,0.9639,0.9134,0.9387,
case_00160,4.36,2.22,6.57,66.3,8,128x192x320,0.9493,0.7435,0.8464,
case_00161,1.54,12.98,14.52,10.6,50,192x384x384,0.9378,0.6046,0.7712,
case_00162,1.77,7.88,9.64,18.3,36,320x256x256,0.9501,0.8739,0.912,
case_00169,2.57,15.58,18.14,14.2,64,320x320x320,0.9522,0.6771,0.8147,
case_00171,3.49,19.55,23.04,15.1,80,384x320x320,0.9573,0.917,0.9371,
case_00176,3.69,34.12,37.81,9.8,144,320x448x448,0.9364,0.6568,0.7966,
case_00185,4.92,30.22,35.14,14.0,125,384x384x384,0.9455,0.6315,0.7885,
case_00187,1.65,7.1,8.74,18.8,27,256x256x256,0.8804,0.6562,0.7683,
case_00189,3.5,23.29,26.79,13.1,96,448x320x320,0.9488,0.9298,0.9393,
case_00198,4.74,23.23,27.97,16.9,96,448x320x320,0.9485,0.435,0.6918,
case_00203,7.59,11.7,19.28,39.3,45,384x256x256,0.9438,0.6862,0.815,
case_00206,2.05,11.44,13.49,15.2,50,192x384x384,0.9405,0.8312,0.8858,
case_00207,3.79,23.25,27.04,14.0,96,448x320x320,0.9603,0.7578,0.859,
