case,preprocess_s,inference_s,total_s,pre_frac_pct,n_subvolumes,image_shape,dice_kidney,dice_tumor,dice_mean,error
case_00000,3.51,10.21,13.72,25.6,50,192x384x384,0.9731,0.8403,0.9067,
case_00003,1.92,9.94,11.85,16.2,50,192x384x384,0.9709,0.8356,0.9033,
case_00005,4.94,20.0,24.94,19.8,108,256x448x448,0.7778,0.586,0.6819,
case_00006,1.59,12.53,14.12,11.3,64,320x320x320,0.956,0.8168,0.8864,
case_00012,1.15,5.55,6.7,17.1,48,256x320x320,0.9404,0.8841,0.9123,
case_00024,0.96,3.16,4.13,23.4,27,256x256x256,0.96,0.9348,0.9474,
case_00034,1.61,12.53,14.14,11.4,100,320x384x384,0.9618,0.791,0.8764,
case_00041,0.47,1.93,2.4,19.8,16,128x320x320,0.9567,0.7863,0.8715,
case_00044,1.7,11.49,13.19,12.9,100,320x384x384,0.9396,0.8986,0.9191,
case_00049,4.04,5.79,9.84,41.1,50,192x384x384,0.9527,0.774,0.8634,
case_00052,4.01,5.79,9.8,40.9,50,192x384x384,0.9732,0.8872,0.9302,
case_00056,1.23,5.58,6.81,18.1,48,256x320x320,0.9597,0.9373,0.9485,
case_00061,0.5,4.26,4.76,10.5,36,128x448x448,0.9586,0.8771,0.9178,
case_00065,1.0,3.76,4.76,21.0,32,192x320x320,0.9558,0.7209,0.8384,
case_00066,3.23,11.52,14.75,21.9,100,320x384x384,0.9693,0.8948,0.932,
case_00070,0.72,3.76,4.48,16.1,32,192x320x320,0.9509,0.9086,0.9297,
case_00076,0.77,3.76,4.53,17.0,32,192x320x320,0.9494,0.7627,0.856,
case_00078,2.39,5.79,8.18,29.2,50,192x384x384,0.9563,0.9215,0.9389,
case_00080,1.14,5.6,6.74,16.9,48,256x320x320,0.9592,0.8715,0.9153,
case_00084,2.77,17.98,20.75,13.3,144,320x448x448,0.9442,0.6796,0.8119,
case_00086,1.83,7.44,9.28,19.8,64,320x320x320,0.9506,0.8899,0.9203,
case_00087,0.59,1.94,2.52,23.2,16,128x320x320,0.9537,0.5371,0.7454,
case_00092,1.19,7.43,8.62,13.8,64,320x320x320,0.9428,0.8932,0.918,
case_00111,1.65,7.43,9.08,18.1,64,320x320x320,0.9596,0.8505,0.9051,
case_00112,0.91,1.95,2.86,32.0,16,128x320x320,0.9581,0.7851,0.8716,
case_00125,2.24,16.61,18.85,11.9,144,320x448x448,0.9643,0.8426,0.9034,
case_00128,2.07,11.56,13.64,15.2,100,320x384x384,0.9609,0.8523,0.9066,
case_00138,0.72,1.94,2.66,27.1,16,128x320x320,0.9615,0.7076,0.8346,
case_00157,3.65,5.82,9.47,38.5,50,192x384x384,0.9639,0.9134,0.9387,
case_00160,2.37,0.99,3.37,70.5,8,128x192x320,0.9493,0.7435,0.8464,
case_00161,0.9,5.82,6.72,13.3,50,192x384x384,0.9378,0.6046,0.7712,
case_00162,0.91,4.23,5.13,17.7,36,320x256x256,0.9501,0.8739,0.912,
case_00169,1.26,7.43,8.68,14.5,64,320x320x320,0.9522,0.6771,0.8147,
case_00171,1.74,9.26,11.0,15.8,80,384x320x320,0.9573,0.917,0.9371,
case_00176,1.92,16.63,18.54,10.3,144,320x448x448,0.9364,0.6568,0.7966,
case_00185,2.47,14.47,16.94,14.6,125,384x384x384,0.9455,0.6315,0.7885,
case_00187,0.9,3.19,4.09,22.0,27,256x256x256,0.8804,0.6562,0.7683,
case_00189,1.85,11.11,12.96,14.3,96,448x320x320,0.9488,0.9298,0.9393,
case_00198,2.5,11.11,13.6,18.3,96,448x320x320,0.9485,0.435,0.6918,
case_00203,4.08,5.26,9.34,43.6,45,384x256x256,0.9438,0.6862,0.815,
case_00206,1.05,5.83,6.88,15.2,50,192x384x384,0.9405,0.8312,0.8858,
case_00207,1.87,11.11,12.98,14.4,96,448x320x320,0.9603,0.7578,0.859,
