case,preprocess_s,inference_s,total_s,pre_frac_pct,n_subvolumes,image_shape,dice_kidney,dice_tumor,dice_mean,error
case_00000,6.67,63.71,70.39,9.5,50,192x384x384,0.9731,0.8403,0.9067,
case_00003,4.05,63.4,67.46,6.0,50,192x384x384,0.9709,0.8356,0.9033,
case_00005,9.67,137.11,146.78,6.6,108,256x448x448,0.7778,0.5861,0.6819,
case_00006,3.86,81.24,85.1,4.5,64,320x320x320,0.956,0.8168,0.8864,
case_00012,2.99,60.51,63.5,4.7,48,256x320x320,0.9404,0.8841,0.9123,
case_00024,2.49,34.09,36.58,6.8,27,256x256x256,0.96,0.9348,0.9474,
case_00034,4.27,127.03,131.3,3.2,100,320x384x384,0.9618,0.791,0.8764,
case_00041,1.09,20.41,21.5,5.1,16,128x320x320,0.9567,0.7863,0.8715,
case_00044,4.53,127.37,131.9,3.4,100,320x384x384,0.9396,0.8986,0.9191,
case_00049,6.55,64.45,70.99,9.2,50,192x384x384,0.9527,0.774,0.8634,
case_00052,7.51,63.63,71.14,10.6,50,192x384x384,0.9732,0.8873,0.9303,
case_00056,3.3,60.76,64.06,5.2,48,256x320x320,0.9597,0.9373,0.9485,
case_00061,0.79,45.7,46.49,1.7,36,128x448x448,0.9586,0.8771,0.9178,
case_00065,2.29,40.51,42.8,5.3,32,192x320x320,0.9558,0.7209,0.8384,
case_00066,7.48,127.74,135.22,5.5,100,320x384x384,0.9693,0.8948,0.932,
case_00070,1.72,40.92,42.65,4.0,32,192x320x320,0.9509,0.9086,0.9297,
case_00076,1.73,40.48,42.21,4.1,32,192x320x320,0.9494,0.7627,0.856,
case_00078,5.46,63.79,69.25,7.9,50,192x384x384,0.9563,0.9215,0.9389,
case_00080,3.21,60.87,64.07,5.0,48,256x320x320,0.9592,0.8715,0.9154,
case_00084,8.0,185.0,193.0,4.1,144,320x448x448,0.9442,0.6797,0.8119,
case_00086,4.85,82.54,87.39,5.6,64,320x320x320,0.9506,0.8899,0.9203,
case_00087,1.23,20.48,21.71,5.6,16,128x320x320,0.9537,0.5372,0.7454,
case_00092,3.39,81.47,84.86,4.0,64,320x320x320,0.9428,0.8932,0.918,
case_00111,4.15,81.72,85.87,4.8,64,320x320x320,0.9596,0.8506,0.9051,
case_00112,1.95,20.43,22.38,8.7,16,128x320x320,0.9581,0.7851,0.8716,
case_00125,7.18,185.12,192.31,3.7,144,320x448x448,0.9643,0.8426,0.9034,
case_00128,6.44,128.22,134.66,4.8,100,320x384x384,0.9609,0.8523,0.9066,
case_00138,1.86,20.56,22.42,8.3,16,128x320x320,0.9615,0.7075,0.8345,
case_00157,5.93,63.37,69.29,8.6,50,192x384x384,0.9639,0.9134,0.9387,
case_00160,3.14,10.25,13.4,23.5,8,128x192x320,0.9493,0.7435,0.8464,
case_00161,1.96,63.72,65.68,3.0,50,192x384x384,0.9378,0.6046,0.7712,
case_00162,2.08,45.78,47.86,4.3,36,320x256x256,0.9501,0.8739,0.912,
case_00169,3.39,83.24,86.63,3.9,64,320x320x320,0.9522,0.6771,0.8147,
case_00171,4.55,102.63,107.18,4.2,80,384x320x320,0.9573,0.917,0.9371,
case_00176,4.93,186.64,191.57,2.6,144,320x448x448,0.9364,0.6568,0.7966,
case_00185,7.71,161.55,169.26,4.6,125,384x384x384,0.9456,0.6316,0.7886,
case_00187,2.51,35.7,38.21,6.6,27,256x256x256,0.8804,0.6562,0.7683,
case_00189,5.87,122.86,128.73,4.6,96,448x320x320,0.9488,0.9298,0.9393,
case_00198,5.99,123.05,129.04,4.6,96,448x320x320,0.9485,0.435,0.6918,
case_00203,6.78,57.83,64.61,10.5,45,384x256x256,0.9438,0.6862,0.815,
case_00206,2.57,65.64,68.21,3.8,50,192x384x384,0.9405,0.8312,0.8858,
case_00207,5.47,123.4,128.87,4.2,96,448x320x320,0.9603,0.758,0.8591,
